4,S,1,Match,Round,5,Year,2,Tournament,Surface,3
2.0,1,3.0,Djokovic N.,SF,,2008,7.0,US Open,,5.0
,1,6.0,Federer R.,SF,,2008,3.0,Monte Carlo,,
,0,3.0,Djokovic N.,SF,,2008,2.0,Monte Carlo,,
,3,7.0,Djokovic N.,SF,,2008,6.0,Australian Open,,7.0
,0,5.0,Federer R.,SF,,2008,3.0,Australian Open,,6.0
,3,7.0,Federer R.,F,,2007,7.0,US Open,,6.0
,0,6.0,Djokovic N.,F,,2007,6.0,US Open,,4.0
,2,7.0,Djokovic N.,F,,2007,2.0,Montreal,,7.0
,1,6.0,Federer R.,F,,2007,6.0,Montreal,,6.0
,2,6.0,Federer R.,QF,,2007,6.0,Dubai,,6.0
,1,3.0,Djokovic N.,QF,,2007,7.0,Dubai,,3.0
,3,6.0,Federer R.,R16,,2007,7.0,Australian Open,,6.0
,0,2.0,Djokovic N.,R16,,2007,5.0,Australian Open,,3.0
,3,6.0,Federer R.,,,2006,6.0,Davis Cup,,6.0
,0,3.0,Djokovic N.,,,2006,2.0,Davis Cup,,3.0
,2,6.0,Federer R.,1R,,2006,2.0,Monte Carlo,,6.0
,1,3.0,Djokovic N.,1R,,2006,6.0,Monte Carlo,,3.0
