4,S,1,Match,Round,5,Year,2,Tournament,Surface,3
,2,7,Nadal R.,SF,,2008,2,Hamburg,,6.0
,1,5,Djokovic N.,SF,,2008,6,Hamburg,,2.0
,2,6,Djokovic N.,SF,,2008,6,Indian Wells,,
,0,3,Nadal R.,SF,,2008,2,Indian Wells,,
,2,6,Nadal R.,,,2007,6,Masters Cup ATP,,
,0,4,Djokovic N.,,,2007,4,Masters Cup ATP,,
,2,7,Djokovic N.,SF,,2007,6,Montreal,,
,0,5,Nadal R.,SF,,2007,3,Montreal,,
,1,3,Nadal R.,SF,,2007,6,Wimbledon,,4.0
,0,6,Djokovic N.,SF,,2007,1,Wimbledon,,1.0
,3,7,Nadal R.,SF,,2007,6,French Open,,6.0
,0,5,Djokovic N.,SF,,2007,4,French Open,,2.0
,2,6,Nadal R.,QF,,2007,6,Rome,,
,0,2,Djokovic N.,QF,,2007,3,Rome,,
,2,6,Djokovic N.,QF,,2007,6,Miami,,
,0,3,Nadal R.,QF,,2007,4,Miami,,
,2,6,Nadal R.,F,,2007,7,Indian Wells,,
,0,2,Djokovic N.,F,,2007,5,Indian Wells,,
,1,6,Nadal R.,QF,,2006,6,French Open,,
,0,4,Djokovic N.,QF,,2006,4,French Open,,
