date,tournament,player1,player2,sets1,sets2,score,odd1,odd2
2026-01-01,Futures 2025,Jianu F.,Delage P.,2,0,6-2 6-1,1.18,4.37
2026-01-01,Futures 2025,Bennani R.,Garcia Longo N.,2,0,6-3 6-2,1.05,7.84
2026-01-01,Futures 2025,Toffanin N.,M'chich A.,2,1,62-7 6-3 6-4,1.86,1.84
2026-01-01,Futures 2025,Chepelev A.,Lahjomri Y.,2,0,6-1 6-4,1.04,8.44
2026-01-01,Futures 2025,Andreev A.,Mencaglia S.,2,0,6-3 6-2,1.10,5.93
2026-01-01,Futures 2025,Cuenin S.,De Krom M.,2,0,6-4 6-3,1.61,2.20
2026-01-01,Futures 2025,Sanchez Quilez A.,Perfetti N.,2,0,6-1 6-2,1.25,3.65
2026-01-01,Futures 2025,Dedura-Palomero D.,Miletich I.,2,0,6-3 6-3,1.18,4.41
2026-01-01,Futures 2025,Baragiola Mordini T.,Ngijol Carre P.,2,0,7-66 7-62,1.32,2.73
2026-01-01,Futures 2025,Dugardin R.,Dong C.,1,0,6-4 0-0,1.92,1.79
2026-01-01,Futures 2025,Munk Mesa B.,Sarksian D.,2,0,6-4 6-4,1.59,2.23
2026-01-01,Futures 2025,Kirkin E.,Yilmaz K.,2,0,6-2 6-3,1.14,4.97
2026-01-01,Futures 2025,D'Agostino S.,Bosio G.,2,0,7-5 7-63,2.29,1.56
2026-01-01,Futures 2025,Sakellaridis D.,Etty E.,2,0,7-5 7-64,1.04,9.51
2026-01-01,Futures 2025,Kelm Y.,Todoran M.,2,0,6-2 6-2,1.43,2.67
2026-01-01,Futures 2025,Derepasko T.,Shirur R.,2,1,6-4 4-6 7-62,1.11,5.56
2026-01-01,UTR Pro Tennis Series 3,Woestendick C.,Tyagi K.,2,0,6-3 6-1,1.20,3.82
2026-01-01,UTR Pro Tennis Series 3,Iantosca N.,Deem A.,2,0,6-1 6-3,1.20,3.75
2026-01-01,UTR Pro Tennis Series 3,Adesoro A.,Fayerman D.,2,0,6-3 6-2,1.15,4.47
2026-01-01,UTR Pro Tennis Series 3,Komopisut P.,Kilmer L.,2,0,6-3 6-4,1.45,2.47
2026-01-01,UTR Pro Tennis Series 3,Vaughan M.,Bain A.,2,1,3-6 7-5 6-1,,
2026-01-01,UTR Pro Tennis Series 3,Gurenko V.,Hedgecoe D.,2,1,3-6 6-2 6-4,1.65,2.02
2026-01-01,UTR Pro Tennis Series 3,Siekanowicz P.,Mize K.,2,0,6-3 6-0,1.34,2.87
2026-01-01,UTR Pro Tennis Series 3,Kalinin A.,Henceroth C.,2,0,6-3 6-2,1.25,3.30
2026-01-01,UTR Pro Tennis Series 3,Day J.,Nejedly B.,2,0,6-4 6-1,1.30,3.07
2026-01-01,UTR Pro Tennis Series 3,Harazaki A.,Mahjoob C.,2,0,6-0 6-4,1.56,2.21
2026-01-01,UTR Pro Tennis Series 3,Mitsui S.,Yang V.,2,0,6-1 6-4,1.02,9.50
2026-01-01,UTR Pro Tennis Series 3,Ekpenyong D.,Kissell C.,2,1,3-6 6-4 6-3,5.33,1.10
2026-01-01,UTR Pro Tennis Series 3,Apltauer F.,Ross M.,2,1,6-3 4-6 6-1,1.82,1.82
2026-01-01,UTR Pro Tennis Series 9,Salim R.,Dillon C.,2,0,6-1 6-1,1.24,3.50
2026-01-01,UTR Pro Tennis Series 9,Konowczuk W.,Bakker S.,2,0,6-3 6-3,1.30,3.00
2026-01-01,UTR Pro Tennis Series 9,Aggarwal P.,Kolluru V.,2,0,6-1 6-2,1.28,3.15
2026-01-01,UTR Pro Tennis Series 9,Trismuwantara G.,Vishenchuk Vishenko D.,2,0,6-2 6-1,1.29,3.12
2026-01-01,UTR Pro Tennis Series 9,Pade L.,Lumanau C.,2,0,6-1 6-2,1.55,2.18
2026-01-01,UTR Pro Tennis Series 9,Kamath M.,Kos D.,2,1,6-3 65-7 6-3,1.18,4.00
2026-01-01,UTR Pro Tennis Series 9,Aguiard E.,Eldin R.,2,0,7-5 6-1,1.01,9.00
2026-01-02,United Cup,Tsitsipas S.,Mochizuki S.,2,0,6-3 6-4,1.41,2.89
2026-01-02,United Cup,Baez S.,Munar J.,2,0,6-4 6-4,4.39,1.21
2026-01-02,Futures 2025,Jianu F.,Toffanin N.,2,0,6-2 6-0,1.02,12.84
2026-01-02,Futures 2025,Bennani R.,Chepelev A.,2,1,4-6 6-3 6-2,1.63,2.15
2026-01-02,Futures 2025,Dedura-Palomero D.,Sanchez Quilez A.,2,1,5-7 6-4 6-1,1.33,2.97
2026-01-02,Futures 2025,Cuenin S.,Andreev A.,2,1,63-7 6-2 7-5,2.03,1.68
2026-01-02,Futures 2025,Baragiola Mordini T.,Munk Mesa B.,2,0,6-4 6-3,2.41,1.50
2026-01-02,Futures 2025,Kelm Y.,Kirkin E.,2,0,6-3 7-66,3.75,1.24
2026-01-02,Futures 2025,Dugardin R.,Derepasko T.,2,0,6-2 6-4,2.72,1.38
2026-01-02,Futures 2025,D'Agostino S.,Sakellaridis D.,2,0,6-2 7-64,1.92,1.79
2026-01-02,UTR Pro Tennis Series 3,Bain A.,Nejedly B.,2,0,6-2 6-2,1.69,1.97
2026-01-02,UTR Pro Tennis Series 3,Ekpenyong D.,Koong A.,2,1,6-1 3-6 7-5,,
2026-01-02,UTR Pro Tennis Series 3,Harazaki A.,Mitsui S.,2,0,7-65 6-3,4.10,1.18
2026-01-02,UTR Pro Tennis Series 3,Ciric A.,Govila A.,2,1,4-6 6-3 7-5,1.20,3.78
2026-01-02,UTR Pro Tennis Series 3,Tyagi K.,Gurenko V.,2,0,6-3 6-1,1.19,3.92
2026-01-02,UTR Pro Tennis Series 3,Adesoro A.,Robin C.,2,0,6-3 6-4,1.61,2.08
2026-01-02,UTR Pro Tennis Series 3,Dussault M.,Zamani A.,2,0,7-62 6-4,1.19,3.90
2026-01-02,UTR Pro Tennis Series 3,Komopisut P.,Bharathy N.,2,1,7-5 2-6 6-3,1.18,4.03
2026-01-02,UTR Pro Tennis Series 3,Apltauer F.,Nortey I.,2,0,6-1 6-3,1.34,2.88
2026-01-02,UTR Pro Tennis Series 3,Battle L.,Siekanowicz P.,2,1,1-6 6-3 6-2,2.26,1.54
2026-01-02,UTR Pro Tennis Series 3,Kalinin A.,Aronson S.,2,0,6-2 6-4,1.93,1.70
2026-01-02,UTR Pro Tennis Series 3,Chung J.,Spurling N.,2,0,6-2 6-4,2.11,1.60
2026-01-02,UTR Pro Tennis Series 3,Woestendick C.,Kakhniuk D.,2,1,4-6 6-4 7-63,1.17,4.17
2026-01-02,UTR Pro Tennis Series 3,Ross M.,Iantosca N.,2,0,7-5 6-3,1.14,4.57
2026-01-02,UTR Pro Tennis Series 3,Chung J.,Chinlund C.,2,1,1-6 7-66 6-0,2.41,1.47
2026-01-02,UTR Pro Tennis Series 3,Bharadwaj P.,Spurling N.,2,1,3-6 6-3 6-3,2.11,1.59
2026-01-02,UTR Pro Tennis Series 3,Tripathi A.,Soohoo R.,2,0,6-0 6-1,,
2026-01-02,UTR Pro Tennis Series 3,Rivera H.,Djakouris A.,2,0,6-1 6-2,1.27,3.17
2026-01-02,UTR Pro Tennis Series 3,Johnson S.,Breazu V.,2,0,6-1 7-62,1.23,3.60
2026-01-02,UTR Pro Tennis Series 3,Ventre A.,Cross J.,2,1,6-2 4-6 6-3,1.49,2.34
2026-01-02,UTR Pro Tennis Series 3,Djakouris C.,Di Giulio P.,2,1,6-4 65-7 6-3,1.30,3.07
2026-01-02,UTR Pro Tennis Series 5,Hammes T.,Koenders R.,2,0,6-3 7-65,1.15,4.35
2026-01-02,UTR Pro Tennis Series 5,Naw H.,Van Donselaar F.,2,0,6-3 6-4,1.05,6.75
2026-01-02,UTR Pro Tennis Series 5,Van Zijl T.,Admiraal A.,2,1,2-6 6-4 7-65,1.40,2.50
2026-01-02,UTR Pro Tennis Series 5,Bredschneijder O.,Steveker P.,2,0,6-2 6-4,1.78,1.85
2026-01-02,UTR Pro Tennis Series 5,Hamrouni Z.,Stuurman R.,2,0,6-3 6-4,1.53,2.29
2026-01-02,UTR Pro Tennis Series 5,Huysmans A.,Mos S.,2,0,6-2 6-2,1.82,1.82
2026-01-02,UTR Pro Tennis Series 5,Bozemoj S.,Bult J.,2,0,6-2 6-4,2.78,1.34
2026-01-02,UTR Pro Tennis Series 5,Naw H.,Steveker P.,2,0,6-0 6-3,1.20,3.70
2026-01-02,UTR Pro Tennis Series 5,Nijboer R.,Koenders R.,2,0,7-63 6-3,1.01,9.00
2026-01-02,UTR Pro Tennis Series 9,Kovarik D.,Konowczuk W.,2,1,6-0 4-6 6-3,1.80,1.80
2026-01-02,UTR Pro Tennis Series 9,Shen J.,Bakker S.,2,0,7-65 6-3,2.77,1.35
2026-01-02,UTR Pro Tennis Series 9,Salim R.,Aggarwal P.,2,1,66-7 6-1 6-3,1.42,2.50
2026-01-02,UTR Pro Tennis Series 9,Kos D.,Vishenchuk Vishenko D.,2,1,6-0 1-6 6-2,2.07,1.63
2026-01-02,UTR Pro Tennis Series 9,Aguiard E.,Dickson B.,2,0,6-1 6-0,1.02,13.50
2026-01-02,UTR Pro Tennis Series 9,Van Sambeek F.,Kolluru V.,2,0,6-2 6-1,1.02,13.00
