date,tournament,category,round,surface,winner,score,loser
"Jan 22, 1986*",Masters,ATP Finals,F,Carpet,Ivan Lendl #1,6-2 7-6 6-3,Boris Becker #6
"Jan 21, 1986*",Masters,ATP Finals,SF,Carpet,Boris Becker #6,6-3 6-4,Anders Jarryd #8
"Jan 21, 1986*",Masters,ATP Finals,SF,Carpet,Ivan Lendl #1,6-4 7-5,Andres Gomez #15
"Jan 20, 1986*",Masters,ATP Finals,QF,Carpet,Boris Becker #6,6-4 4-6 6-3,Mats Wilander #3
"Jan 20, 1986*",Masters,ATP Finals,QF,Carpet,Andres Gomez #15,6-3 6-2,Johan Kriek #14
"Jan 20, 1986*",Masters,ATP Finals,QF,Carpet,Anders Jarryd #8,6-1 6-2,Brad Gilbert #18
"Jan 20, 1986*",Masters,ATP Finals,QF,Carpet,Ivan Lendl #1,6-3 6-3,Tim Mayotte #12
"Jan 19, 1986*",Masters,ATP Finals,R16,Carpet,Ivan Lendl #1,6-1 6-0,Tomas Smid #19
"Jan 19, 1986*",Masters,ATP Finals,R16,Carpet,Mats Wilander #3,6-3 6-4,Scott Davis #17
"Jan 19, 1986*",Masters,ATP Finals,R16,Carpet,Brad Gilbert #18,5-7 6-4 6-1,John McEnroe #2
"Jan 19, 1986*",Masters,ATP Finals,R16,Carpet,Boris Becker #6,3-6 6-3 6-2,Paul Annacone #13
"Jan 19, 1986*",Masters,ATP Finals,R16,Carpet,Anders Jarryd #8,0-6 6-1 6-4,Joakim Nystrom #11
"Jan 19, 1986*",Masters,ATP Finals,R16,Carpet,Tim Mayotte #12,6-4 6-4,Yannick Noah #7
"Jan 19, 1986*",Masters,ATP Finals,R16,Carpet,Johan Kriek #14,6-2 4-6 6-2,Stefan Edberg #5
"Jan 19, 1986*",Masters,ATP Finals,R16,Carpet,Andres Gomez #15,7-6 6-1,Henri Leconte #16
"Dec 29, 1985*",Melbourne,ATP 250,F,Grass,Jonathan Canter #91,5-7 6-3 6-4,Peter Doohan #110
"Dec 28, 1985*",Melbourne,ATP 250,SF,Grass,Peter Doohan #110,6-4 6-3,Mark Kratzmann #271
"Dec 28, 1985*",Melbourne,ATP 250,SF,Grass,Jonathan Canter #91,7-6 7-6,Mark Edmondson #146
"Dec 28, 1985*",Melbourne,ATP 250,QF,Grass,Mark Kratzmann #271,6-3 6-4,Bill Scanlon #187
"Dec 28, 1985*",Melbourne,ATP 250,QF,Grass,Jonathan Canter #91,6-2 6-3,Broderick Dyke #126
"Dec 28, 1985*",Melbourne,ATP 250,QF,Grass,Peter Doohan #110,7-5 6-1,Michael Robertson #192
