date,tournament,category,round,surface,winner,score,loser
"Dec 16, 1991*",Grand Slam Cup,ATP Finals,F,Carpet,David Wheaton #17,7-5 6-2 6-4,Michael Chang #15
"Dec 15, 1991*",Grand Slam Cup,ATP Finals,SF,Carpet,David Wheaton #17,7-6 7-6 7-6,Michael Stich #4
"Dec 15, 1991*",Grand Slam Cup,ATP Finals,SF,Carpet,Michael Chang #15,2-6 4-6 6-4 7-6 9-7,Ivan Lendl #5
"Dec 15, 1991*",Grand Slam Cup,ATP Finals,QF,Carpet,David Wheaton #17,6-4 7-6,Todd Woodbridge #78
"Dec 15, 1991*",Grand Slam Cup,ATP Finals,QF,Carpet,Michael Stich #4,7-6 6-4,Guy Forget #7
"Dec 15, 1991*",Grand Slam Cup,ATP Finals,QF,Carpet,Ivan Lendl #5,7-6 6-3,Jakob Hlasek #20
"Dec 15, 1991*",Grand Slam Cup,ATP Finals,QF,Carpet,Michael Chang #15,6-2 6-4,Patrick McEnroe #36
"Dec 14, 1991*",Grand Slam Cup,ATP Finals,R16,Carpet,Jakob Hlasek #20,0-6 6-4 6-4,Jimmy Connors #49
"Dec 14, 1991*",Grand Slam Cup,ATP Finals,R16,Carpet,Michael Stich #4,6-4 6-3,Goran Prpic #18
"Dec 14, 1991*",Grand Slam Cup,ATP Finals,R16,Carpet,Ivan Lendl #5,6-4 6-1,Cristiano Caratti #42
"Dec 14, 1991*",Grand Slam Cup,ATP Finals,R16,Carpet,Guy Forget #7,6-3 6-3,Jaime Yzaga #53
"Dec 14, 1991*",Grand Slam Cup,ATP Finals,R16,Carpet,Patrick McEnroe #36,4-6 6-1 6-4,Thierry Champion #48
"Dec 14, 1991*",Grand Slam Cup,ATP Finals,R16,Carpet,Todd Woodbridge #78,6-3 6-3,Aaron Krickstein #34
"Dec 14, 1991*",Grand Slam Cup,ATP Finals,R16,Carpet,David Wheaton #17,1-6 6-3 6-2,Paul Haarhuis #37
"Dec 14, 1991*",Grand Slam Cup,ATP Finals,R16,Carpet,Michael Chang #15,6-4 6-2,Jim Courier #2
"Nov 20, 1991*",Tour Finals,ATP Finals,F,Carpet,Pete Sampras #6,3-6 7-6(5) 6-3 6-4,Jim Courier #2
"Nov 19, 1991*",Tour Finals,ATP Finals,SF,Carpet,Pete Sampras #6,6-2 6-3,Ivan Lendl #5
"Nov 19, 1991*",Tour Finals,ATP Finals,SF,Carpet,Jim Courier #2,6-3 7-5,Andre Agassi #10
"Nov 12, 1991",Tour Finals,ATP Finals,RR,Carpet,Andre Agassi #8,6-3 7-5,Boris Becker #3
"Nov 12, 1991",Tour Finals,ATP Finals,RR,Carpet,Ivan Lendl #5,6-2 6-4,Guy Forget #6
"Nov 12, 1991",Tour Finals,ATP Finals,RR,Carpet,Boris Becker #3,6-4 6-7(3) 6-1,Pete Sampras #7
"Nov 12, 1991",Tour Finals,ATP Finals,RR,Carpet,Ivan Lendl #5,6-2 6-2,Karel Novacek #9
"Nov 12, 1991",Tour Finals,ATP Finals,RR,Carpet,Andre Agassi #8,7-5 6-3,Michael Stich #4
"Nov 12, 1991",Tour Finals,ATP Finals,RR,Carpet,Jim Courier #2,6-7(6) 7-5 6-4,Karel Novacek #9
"Nov 12, 1991",Tour Finals,ATP Finals,RR,Carpet,Boris Becker #3,7-6(1) 6-3,Michael Stich #4
"Nov 12, 1991",Tour Finals,ATP Finals,RR,Carpet,Jim Courier #2,7-6(4) 6-4,Guy Forget #6
"Nov 12, 1991",Tour Finals,ATP Finals,RR,Carpet,Guy Forget #6,6-3 7-6(3),Karel Novacek #9
