date,tournament,category,round,surface,winner,score,loser
"Jun 16, 2026",Terra Wortmann Open,ATP 500,R32,Grass,Mattia Bellucci #74,7-6(6) 6-1,Alexander Bublik #11
"Jun 16, 2026",Terra Wortmann Open,ATP 500,R32,Grass,Raphael Collignon #51,6-4 6-2,Alexei Popyrin #90
"Jun 16, 2026",Terra Wortmann Open,ATP 500,R32,Grass,Ethan Quinn #66,1-6 6-4 6-4,Karen Khachanov #18
"Jun 15, 2026",HSBC Championships,ATP 500,R32,Grass,Denis Shapovalov #41,6-4 4-6 7-6(3),Jack Pinnington Jones #147
"Jun 15, 2026",Terra Wortmann Open,ATP 500,R32,Grass,Terence Atmane #53,6-3 3-6 7-6(2),Martin Landaluce #55
"Jun 15, 2026",Terra Wortmann Open,ATP 500,R32,Grass,Frances Tiafoe #26,6-2 7-6(4),Flavio Cobolli #10
"Jun 15, 2026",Terra Wortmann Open,ATP 500,R32,Grass,Felix Auger-Aliassime #4,6-3 3-6 6-3,Nuno Borges #54
"Jun 15, 2026",Terra Wortmann Open,ATP 500,R32,Grass,Daniel Altmaier #81,7-5 6-4,Nikoloz Basilashvili #118
"Jun 15, 2026",Terra Wortmann Open,ATP 500,R32,Grass,Learner Tien #19,6-2 6-4,Max Schoenhaus #336
"Jun 15, 2026",HSBC Championships,ATP 500,R32,Grass,Tommy Paul #28,7-5 6-3,Zachary Svajda #69
"Jun 15, 2026",HSBC Championships,ATP 500,R32,Grass,Botic van de Zandschulp #56,6-4 7-6(5),Harry Wendelken #224
"Jun 15, 2026*",HSBC Championships,ATP 500,Q2,Grass,Rinky Hijikata #104,7-5 6-7(4) 6-1,Marcos Giron #86
"Jun 15, 2026*",HSBC Championships,ATP 500,Q2,Grass,Martin Damm #108,6-3 7-6(2),Zachary Svajda #69
"Jun 15, 2026*",HSBC Championships,ATP 500,Q2,Grass,Giovanni Mpetshi Perricard #87,6-3 6-4,Aleksandar Kovacevic #68
"Jun 15, 2026*",HSBC Championships,ATP 500,Q2,Grass,Harry Wendelken #224,7-6(7) 6-1,Aleksandar Vukic #98
"Jun 14, 2026",Libema Open,ATP 250,F,Grass,Kamil Majchrzak #76,6-3 2-6 7-6(5),Alex de Minaur #6
"Jun 14, 2026",Boss Open,ATP 250,F,Grass,Ben Shelton #5,6-4 2-6 6-4,Taylor Fritz #9
"Jun 14, 2026",Terra Wortmann Open,ATP 500,Q2,Grass,Mattia Bellucci #78,6-7(5) 7-5 6-3,Alex Bolt #157
"Jun 14, 2026",Terra Wortmann Open,ATP 500,Q2,Grass,Nikoloz Basilashvili #118,6-4 6-4,Lorenzo Sonego #66
"Jun 14, 2026",Terra Wortmann Open,ATP 500,Q2,Grass,Martin Landaluce #58,7-5 6-4,Tom Gentzsch #229
"Jun 14, 2026",Terra Wortmann Open,ATP 500,Q2,Grass,Raphael Collignon #51,6-2 6-4,Roberto Bautista Agut #116
"Jun 13, 2026",Libema Open,ATP 250,SF,Grass,Kamil Majchrzak #76,7-6(4) 6-1,Daniil Medvedev #8
"Jun 13, 2026",Boss Open,ATP 250,SF,Grass,Ben Shelton #5,6-7(4) 7-6(14) 7-6(6),Jiri Lehecka #12
"Jun 13, 2026",Boss Open,ATP 250,SF,Grass,Taylor Fritz #9,6-4 6-4,Alexander Bublik #11
"Jun 13, 2026",Libema Open,ATP 250,SF,Grass,Alex de Minaur #6,6-4 6-0,Adrian Mannarino #46
"Jun 13, 2026",Boss Open,ATP 250,QF,Grass,Ben Shelton #5,4-6 6-3 6-4,Sho Shimabukuro #104
"Jun 13, 2026",Libema Open,ATP 250,QF,Grass,Daniil Medvedev #8,6-2 3-6 6-1,Marin Cilic #47
"Jun 13, 2026",HSBC Championships,ATP 500,Q1,Grass,Giovanni Mpetshi Perricard #93,6-4 6-3,Johannus Monday #274
"Jun 13, 2026",HSBC Championships,ATP 500,Q1,Grass,Aleksandar Kovacevic #69,7-6(4) 6-4,Michael Mmoh #195
"Jun 13, 2026",HSBC Championships,ATP 500,Q1,Grass,Rinky Hijikata #106,4-6 6-4 7-5,Dino Prizmic #70
"Jun 13, 2026",HSBC Championships,ATP 500,Q1,Grass,Aleksandar Vukic #100,6-3 6-2,James Duckworth #79
"Jun 13, 2026",HSBC Championships,ATP 500,Q1,Grass,Marcos Giron #88,7-5 2-6 6-1,Daniel Evans #217
"Jun 13, 2026",HSBC Championships,ATP 500,Q1,Grass,Harry Wendelken #224,6-3 6-7(5) 6-3,Adam Walton #91
"Jun 13, 2026",Terra Wortmann Open,ATP 500,Q1,Grass,Alex Bolt #157,4-6 6-1 7-6(3),Jamie Mackenzie #1097
"Jun 13, 2026",Terra Wortmann Open,ATP 500,Q1,Grass,Mattia Bellucci #78,6-4 6-3,Mikhail Kukushkin #303
"Jun 13, 2026",Terra Wortmann Open,ATP 500,Q1,Grass,Nikoloz Basilashvili #118,7-6(6) 6-3,Diego Dedura #262
