date,tournament,category,round,surface,winner,score,loser
"Jan 7, 1969*",Valencia,ATP 250,F,Clay,Manuel Santana,6-3 4-6 6-4 6-1,Juan Gisbert
"Jan 5, 1969*",Hobart,ATP 250,F,Grass,Ray Ruffels,3-6 6-8 7-5 7-5 6-2,Graham Stilwell
"Jan 4, 1969*",Hobart,ATP 250,SF,Grass,Graham Stilwell,6-4 6-8 1-6 6-4 6-2,Allan Stone
"Jan 4, 1969*",Hobart,ATP 250,SF,Grass,Ray Ruffels,20-18 4-6 9-7 6-1,Dick Crealy
"Jan 4, 1969*",Hobart,ATP 250,QF,Grass,Graham Stilwell,6-3 14-16 6-2,Bob Giltinan
"Jan 4, 1969*",Hobart,ATP 250,QF,Grass,Dick Crealy,7-5 6-4,Henry Ladyman
"Jan 4, 1969*",Hobart,ATP 250,QF,Grass,Ray Ruffels,6-0 6-0,Remzi Aydin
"Jan 4, 1969*",Hobart,ATP 250,QF,Grass,Allan Stone,6-2 3-6 6-3,Peter Curtis
"Jan 3, 1969*",Hobart,ATP 250,R16,Grass,Ray Ruffels,6-2 6-1,Philip Holton
"Jan 3, 1969*",Hobart,ATP 250,R16,Grass,Dick Crealy,7-5 6-4,Sutarjo Sugiarto
"Jan 3, 1969*",Hobart,ATP 250,R16,Grass,Bob Giltinan,7-5 6-3,Phil Dent
"Jan 3, 1969*",Hobart,ATP 250,R16,Grass,Allan Stone,6-4 6-2,Wayne Reid
"Jan 3, 1969*",Hobart,ATP 250,R16,Grass,Peter Curtis,6-4 8-6,Cedric Mason
"Jan 3, 1969*",Hobart,ATP 250,R16,Grass,Graham Stilwell,6-1 6-1,Tony Hammond
"Jan 2, 1969*",New Orleans 2,ATP 250,F,Carpet,Cliff Richey,6-4 6-4 4-6 8-6,Ron Holmberg
"Jan 2, 1969*",Hobart,ATP 250,R32,Grass,Bob Giltinan,6-1 6-3,J Glassen
"Jan 2, 1969*",Hobart,ATP 250,R32,Grass,Peter Curtis,6-4 6-1,W Field
