date,tournament,category,round,surface,winner,score,loser
"Jan 1, 1971*",New Orleans,ATP 250,F,Carpet,Erik Van Dillen,6-1 6-1,Haroon Rahim
"Dec 31, 1970*",New Orleans,ATP 250,SF,Carpet,Erik Van Dillen,6-5 5-6 6-3,Tom Gorman
"Dec 31, 1970*",New Orleans,ATP 250,SF,Carpet,Haroon Rahim,6-3 6-4,Charlie Pasarell
"Dec 31, 1970*",New Orleans,ATP 250,QF,Carpet,Tom Gorman,6-3 6-5,Richard Russell
"Dec 31, 1970*",New Orleans,ATP 250,QF,Carpet,Charlie Pasarell,6-4 6-5,Jim Osborne
"Dec 31, 1970*",New Orleans,ATP 250,QF,Carpet,Haroon Rahim,6-5 6-4,Jim Mcmanus
"Dec 25, 1970*",Adelaide,ATP 250,F,Grass,Alex Metreveli,6-3 4-6 6-3 6-2,Ian Fletcher
"Dec 24, 1970*",Adelaide,ATP 250,SF,Grass,Ian Fletcher,6-2 3-6 9-7 6-4,Bob Giltinan
"Dec 24, 1970*",Adelaide,ATP 250,QF,Grass,Barry Phillips Moore,2-6 11-9 6-3 6-3,Ross Case
"Dec 24, 1970*",Adelaide,ATP 250,QF,Grass,Bob Giltinan,6-4 4-6 6-4 6-4,Jean Loup Rouyer
"Dec 24, 1970*",Adelaide,ATP 250,QF,Grass,Ian Fletcher,6-1 6-3 6-3,Geoff Masters
"Dec 24, 1970*",Adelaide,ATP 250,QF,Grass,Alex Metreveli,6-4 6-3 16-14,Colin Dibley
"Dec 23, 1970*",Adelaide,ATP 250,R16,Grass,Ross Case,6-2 2-6 6-2,Syd Ball
"Dec 23, 1970*",Adelaide,ATP 250,R16,Grass,Ian Fletcher,1-6 6-1 7-5,John Bartlett
"Dec 23, 1970*",Adelaide,ATP 250,R16,Grass,Barry Phillips Moore,6-0 6-0,Graeme Thomson
"Dec 23, 1970*",Adelaide,ATP 250,R16,Grass,Jean Loup Rouyer,6-4 6-3,Geoff Sara
"Dec 23, 1970*",Adelaide,ATP 250,R16,Grass,Geoff Masters,4-6 10-8 6-3,Jim Ward
"Dec 23, 1970*",Adelaide,ATP 250,R16,Grass,Colin Dibley,6-2 6-2,Cliff Letcher
"Dec 23, 1970*",Adelaide,ATP 250,R16,Grass,Bob Giltinan,6-3 6-3,Ian Bidmeade
"Dec 22, 1970*",Adelaide,ATP 250,R32,Grass,Ross Case,7-5 6-4,John Marks
"Dec 22, 1970*",Adelaide,ATP 250,R32,Grass,Syd Ball,6-1 6-2,Lynton Franzi
"Dec 22, 1970*",Adelaide,ATP 250,R32,Grass,Colin Dibley,6-2 6-2,P Arndt
"Dec 22, 1970*",Adelaide,ATP 250,R32,Grass,Ian Fletcher,6-2 6-2,Kim Warwick
"Dec 22, 1970*",Adelaide,ATP 250,R32,Grass,Jean Loup Rouyer,5-7 6-3 6-2,William Durham
"Dec 22, 1970*",Adelaide,ATP 250,R32,Grass,Alex Metreveli,6-1 3-6 6-1,Doug Crawford
