date,tournament,category,round,surface,winner,score,loser
"Jan 1, 1970*",New Orleans,ATP 250,F,Carpet,Cliff Richey,6-4 6-4 6-2,Jim Osborne
"Dec 31, 1969*",New Orleans,ATP 250,SF,Carpet,Cliff Richey,6-1 6-2,Gene Scott
"Dec 31, 1969*",New Orleans,ATP 250,SF,Carpet,Jim Osborne,6-3 3-6 6-2,Peter Curtis
"Dec 31, 1969*",New Orleans,ATP 250,QF,Carpet,Peter Curtis,6-3 6-4,Roy Barth
"Dec 31, 1969*",New Orleans,ATP 250,QF,Carpet,Gene Scott,6-2 6-2,Tom Mozur
"Dec 31, 1969*",New Orleans,ATP 250,QF,Carpet,Cliff Richey,7-9 6-3 6-3,Armistead Neely
"Dec 31, 1969*",New Orleans,ATP 250,QF,Carpet,Jim Osborne,6-1 6-2,Steve Faulk
"Dec 7, 1969*",Brisbane,ATP 250,F,Grass,Ray Ruffels,8-6 4-6 6-3 6-3,Allan Stone
"Dec 6, 1969*",Brisbane,ATP 250,SF,Grass,Ray Ruffels,3-6 6-3 6-4 6-4,John Alexander
"Dec 6, 1969*",Brisbane,ATP 250,SF,Grass,Allan Stone,12-10 6-3 6-4,Ian Fletcher
"Dec 6, 1969*",Brisbane,ATP 250,QF,Grass,Ian Fletcher,6-3 6-4 5-7 6-4,John Cooper
"Dec 6, 1969*",Brisbane,ATP 250,QF,Grass,Allan Stone,6-2 6-2 6-2,Phil Dent
"Dec 6, 1969*",Brisbane,ATP 250,QF,Grass,Ray Ruffels,6-1 3-6 8-10 6-3 6-4,Bob Giltinan
"Dec 6, 1969*",Brisbane,ATP 250,QF,Grass,John Alexander,4-6 7-5 6-3 6-4,Syd Ball
"Dec 5, 1969*",Brisbane,ATP 250,R16,Grass,Bob Giltinan,6-1 6-4,Peter Doerner
"Dec 5, 1969*",Brisbane,ATP 250,R16,Grass,Ray Ruffels,6-3 8-6,Ross Case
"Dec 5, 1969*",Brisbane,ATP 250,R16,Grass,Phil Dent,10-8 4-6 6-3,Richard Russell
"Dec 5, 1969*",Brisbane,ATP 250,R16,Grass,John Alexander,6-2 6-4,Karl Coombes
"Dec 5, 1969*",Brisbane,ATP 250,R16,Grass,Syd Ball,6-8 6-2 6-2,Geoff Olsson
"Dec 5, 1969*",Brisbane,ATP 250,R16,Grass,Ian Fletcher,6-2 17-15,Geoff Masters
"Dec 5, 1969*",Brisbane,ATP 250,R16,Grass,Allan Stone,6-4 6-4,Alvin Gardiner
"Dec 4, 1969*",Brisbane,ATP 250,R32,Grass,Peter Doerner,2-6 8-6 6-2,Adi Kourim
"Dec 4, 1969*",Brisbane,ATP 250,R32,Grass,Ross Case,10-12 6-2 6-4,Bob Kreiss
"Dec 4, 1969*",Brisbane,ATP 250,R32,Grass,Ray Ruffels,8-6 6-3,Tom Kreiss
"Dec 4, 1969*",Brisbane,ATP 250,R32,Grass,Phil Dent,6-2 7-5,Gondo Widjojo
"Dec 4, 1969*",Brisbane,ATP 250,R32,Grass,Karl Coombes,7-5 6-4,John Bartlett
"Dec 4, 1969*",Brisbane,ATP 250,R32,Grass,Geoff Masters,3-6 18-16 6-3,Allan McDonald
"Dec 4, 1969*",Brisbane,ATP 250,R32,Grass,Richard Russell,8-6 6-3,Rod Frawley
"Dec 4, 1969*",Brisbane,ATP 250,R32,Grass,Bob Giltinan,6-1 6-1,C Bothwell
"Dec 4, 1969*",Brisbane,ATP 250,R32,Grass,Ian Fletcher,6-3 6-4,Elwyn Mccabe
"Dec 4, 1969*",Brisbane,ATP 250,R32,Grass,Allan Stone,6-3 6-3,Atet Wijono
"Dec 4, 1969*",Brisbane,ATP 250,R32,Grass,Alvin Gardiner,6-2 8-6,Peter Campbell
"Dec 4, 1969*",Brisbane,ATP 250,R32,Grass,John Cooper,3-6 6-3 7-5,Bill Bowrey
"Dec 4, 1969*",Brisbane,ATP 250,R32,Grass,John Alexander,6-1 6-1,Graeme Scott
"Dec 4, 1969*",Brisbane,ATP 250,R32,Grass,Syd Ball,6-2 6-3,John Byrne
"Dec 3, 1969*",Brisbane,ATP 250,R64,Grass,John Alexander,6-3 6-4,Laurie Weatherhog
"Dec 3, 1969*",Brisbane,ATP 250,R64,Grass,Bill Bowrey,6-3 6-2,Jeff Twist
"Dec 3, 1969*",Brisbane,ATP 250,R64,Grass,Atet Wijono,6-1 12-10,Greg Perkins
"Dec 3, 1969*",Brisbane,ATP 250,R64,Grass,Rod Frawley,(w/o),John Eastburn
"Dec 3, 1969*",Brisbane,ATP 250,R64,Grass,Tom Kreiss,8-6 3-6 6-4,William Mason
"Dec 3, 1969*",Brisbane,ATP 250,R64,Grass,Alvin Gardiner,6-2 6-2,Kim Warwick
"Dec 3, 1969*",Brisbane,ATP 250,R64,Grass,Allan Stone,6-2 6-1,W Marsden
"Dec 3, 1969*",Brisbane,ATP 250,R64,Grass,Ray Ruffels,6-1 6-1,Allen Monahan
"Dec 3, 1969*",Brisbane,ATP 250,R64,Grass,Adi Kourim,2-6 6-2 6-4,Tony Bardsley
"Dec 3, 1969*",Brisbane,ATP 250,R64,Grass,Peter Campbell,6-1 6-4,Mike Kreiss
"Dec 3, 1969*",Brisbane,ATP 250,R64,Grass,Syd Ball,6-4 4-6 6-1,Gerald Battrick
"Dec 3, 1969*",Brisbane,ATP 250,R64,Grass,Ian Fletcher,(w/o),Johan Jepson
"Dec 3, 1969*",Brisbane,ATP 250,R64,Grass,Allan McDonald,6-4 6-4,Ian Pomerenke
