date,tournament,category,round,surface,winner,score,loser
"Jan 26, 1983*",Masters,ATP Finals,F,Carpet,Ivan Lendl #3,6-4 6-4 6-2,John McEnroe #1
"Jan 25, 1983*",Masters,ATP Finals,SF,Carpet,John McEnroe #1,6-3 6-3,Guillermo Vilas #4
"Jan 25, 1983*",Masters,ATP Finals,SF,Carpet,Ivan Lendl #3,6-3 6-1,Jimmy Connors #2
"Jan 24, 1983*",Masters,ATP Finals,QF,Carpet,Jimmy Connors #2,7-6 6-2,Johan Kriek #12
"Jan 24, 1983*",Masters,ATP Finals,QF,Carpet,Guillermo Vilas #4,7-5 6-4,Andres Gomez #15
"Jan 24, 1983*",Masters,ATP Finals,QF,Carpet,Ivan Lendl #3,6-4 7-5,Yannick Noah #9
"Jan 24, 1983*",Masters,ATP Finals,QF,Carpet,John McEnroe #1,6-3 6-4,Jose Luis Clerc #6
"Jan 23, 1983*",Masters,ATP Finals,R16,Carpet,Andres Gomez #15,0-6 6-2 6-4,Jose Higueras #11
"Jan 23, 1983*",Masters,ATP Finals,R16,Carpet,Yannick Noah #9,4-6 6-3 6-2,Vitas Gerulaitis #5
"Jan 23, 1983*",Masters,ATP Finals,R16,Carpet,Johan Kriek #12,6-3 4-6 6-2,Steve Denton #13
"Jan 23, 1983*",Masters,ATP Finals,R16,Carpet,Jose Luis Clerc #6,5-7 6-4 6-1,Mats Wilander #7
"Jan 3, 1983*",Melbourne,ATP 250,F,Grass,Pat Cash #44,6-4 7-6,Rod Frawley #87
"Jan 2, 1983*",Melbourne,ATP 250,SF,Grass,Pat Cash #63,6-3 6-3,Craig A Miller #251
"Jan 2, 1983*",Melbourne,ATP 250,SF,Grass,Rod Frawley #87,4-6 7-6 7-6,Jeff Borowiak #94
"Jan 2, 1983*",Melbourne,ATP 250,QF,Grass,Pat Cash #63,4-6 6-1 7-6,Mike Gandolfo #300
"Jan 2, 1983*",Melbourne,ATP 250,QF,Grass,Craig A Miller #251,6-3 7-6,Brad Drewett #133
"Jan 2, 1983*",Melbourne,ATP 250,QF,Grass,Rod Frawley #87,6-7 7-6 6-3,Chris Lewis #48
"Jan 2, 1983*",Melbourne,ATP 250,QF,Grass,Jeff Borowiak #94,6-4 6-4,Hank Pfister #24
"Jan 1, 1983*",Melbourne,ATP 250,R16,Grass,Hank Pfister #24,6-7 6-2 6-2,Richard Lewis #93
"Jan 1, 1983*",Melbourne,ATP 250,R16,Grass,Chris Lewis #48,6-4 6-4,Mike Leach #372
"Jan 1, 1983*",Melbourne,ATP 250,R16,Grass,Mike Gandolfo #300,6-7 7-5 6-4,Chris Johnstone #94
"Jan 1, 1983*",Melbourne,ATP 250,R16,Grass,Rod Frawley #87,4-6 6-3 6-4,Tony Giammalva #81
"Jan 1, 1983*",Melbourne,ATP 250,R16,Grass,Pat Cash #63,4-6 6-1 6-1,John Lloyd
"Jan 1, 1983*",Melbourne,ATP 250,R16,Grass,Brad Drewett #133,6-2 4-6 6-4,Cliff Letcher
"Jan 1, 1983*",Melbourne,ATP 250,R16,Grass,Craig A Miller #251,4-6 7-6 6-0,Rand Evett #325
"Jan 1, 1983*",Melbourne,ATP 250,R16,Grass,Jeff Borowiak #94,6-3 7-6,Peter Doohan #549
"Dec 31, 1982*",Melbourne,ATP 250,R32,Grass,Rand Evett #325,3-6 6-0 7-6,Simon Youl
"Dec 31, 1982*",Melbourne,ATP 250,R32,Grass,Richard Lewis #93,6-3 7-6,Jeff Simpson #96
"Dec 31, 1982*",Melbourne,ATP 250,R32,Grass,Hank Pfister #24,3-6 6-2 7-5,Ken Barton
"Dec 31, 1982*",Melbourne,ATP 250,R32,Grass,Brad Drewett #133,6-3 6-2,John Alexander #31
"Dec 31, 1982*",Melbourne,ATP 250,R32,Grass,Mike Leach #372,7-6 6-4,Bernie Mitton #130
"Dec 31, 1982*",Melbourne,ATP 250,R32,Grass,Chris Lewis #48,4-6 6-3 6-4,Eddie Edwards #170
"Dec 31, 1982*",Melbourne,ATP 250,R32,Grass,Pat Cash #63,6-2 6-2,Mark Kratzmann
"Dec 31, 1982*",Melbourne,ATP 250,R32,Grass,John Lloyd,6-3 6-3,Wally Masur #287
"Dec 31, 1982*",Melbourne,ATP 250,R32,Grass,Mike Gandolfo #300,2-6 7-5 6-4,John Fitzgerald #78
"Dec 31, 1982*",Melbourne,ATP 250,R32,Grass,Tony Giammalva #81,6-4 7-5,Broderick Dyke #662
"Dec 31, 1982*",Melbourne,ATP 250,R32,Grass,Chris Johnstone #94,6-1 6-3,Scott Mccain #213
"Dec 31, 1982*",Melbourne,ATP 250,R32,Grass,Peter Doohan #549,6-1 6-4,Dale Collings #167
"Dec 31, 1982*",Melbourne,ATP 250,R32,Grass,Rod Frawley #87,6-4 6-2,Wayne Hampson #174
"Dec 31, 1982*",Melbourne,ATP 250,R32,Grass,Jeff Borowiak #94,6-2 6-1,Jonathan Smith
"Dec 31, 1982*",Melbourne,ATP 250,R32,Grass,Craig A Miller #251,6-4 7-6,Greg Whitecross #161
"Dec 26, 1982*",Adelaide,ATP 250,F,Grass,Mike Bauer #195,4-6 7-6 6-2,Chris Johnstone #94
"Dec 25, 1982*",Adelaide,ATP 250,SF,Grass,Chris Johnstone #94,7-6 6-3,Broderick Dyke #662
"Dec 25, 1982*",Adelaide,ATP 250,SF,Grass,Mike Bauer #195,6-7 7-6 6-3,Pat Cash #67
"Dec 25, 1982*",Adelaide,ATP 250,QF,Grass,Pat Cash #67,4-6 7-5 7-6,Rod Frawley #88
"Dec 25, 1982*",Adelaide,ATP 250,QF,Grass,Chris Johnstone #94,1-6 6-0 6-2,Mike De Palmer
"Dec 25, 1982*",Adelaide,ATP 250,QF,Grass,Mike Bauer #195,4-6 7-5 6-4,Bernie Mitton #130
"Dec 25, 1982*",Adelaide,ATP 250,QF,Grass,Broderick Dyke #662,6-2 7-6,Greg Whitecross #161
"Dec 24, 1982*",Adelaide,ATP 250,R16,Grass,Pat Cash #67,6-4 6-4,Jeff Simpson #96
"Dec 24, 1982*",Adelaide,ATP 250,R16,Grass,Broderick Dyke #662,3-6 6-4 6-4,Bruce Derlin #171
"Dec 24, 1982*",Adelaide,ATP 250,R16,Grass,Mike De Palmer,6-4 6-2,Wayne Hampson #174
"Dec 24, 1982*",Adelaide,ATP 250,R16,Grass,Bernie Mitton #130,6-4 4-6 6-3,John Fitzgerald #77
"Dec 24, 1982*",Adelaide,ATP 250,R16,Grass,Chris Johnstone #94,6-4 6-2,Peter Carter
"Dec 24, 1982*",Adelaide,ATP 250,R16,Grass,Rod Frawley #88,6-4 6-3,Jonathan Smith
"Dec 24, 1982*",Adelaide,ATP 250,R16,Grass,Greg Whitecross #161,3-6 7-6 7-6,Jeff Borowiak #90
"Dec 24, 1982*",Adelaide,ATP 250,R16,Grass,Mike Bauer #195,6-3 6-3,Craig A Miller #251
"Dec 23, 1982*",Adelaide,ATP 250,R32,Grass,Rod Frawley #88,6-4 3-6 6-4,Richard Lewis #93
"Dec 23, 1982*",Adelaide,ATP 250,R32,Grass,Mike De Palmer,4-6 7-6 6-4,Brad Drewett #133
"Dec 23, 1982*",Adelaide,ATP 250,R32,Grass,Jeff Borowiak #90,6-2 7-5,John Lloyd
"Dec 23, 1982*",Adelaide,ATP 250,R32,Grass,Peter Carter,6-5 6-7 7-6,John Alexander #31
"Dec 23, 1982*",Adelaide,ATP 250,R32,Grass,Broderick Dyke #662,7-6 5-7 6-3,Tim Wilkison #54
"Dec 23, 1982*",Adelaide,ATP 250,R32,Grass,Mike Bauer #195,7-5 6-2,Hank Pfister #23
"Dec 23, 1982*",Adelaide,ATP 250,R32,Grass,Jeff Simpson #96,4-6 7-6 7-5,Sammy Giammalva Jr
"Dec 23, 1982*",Adelaide,ATP 250,R32,Grass,Craig A Miller #251,6-4 3-6 7-6,Eddie Edwards #170
"Dec 23, 1982*",Adelaide,ATP 250,R32,Grass,Bruce Derlin #171,6-1 6-4,Rand Evett #325
"Dec 23, 1982*",Adelaide,ATP 250,R32,Grass,Pat Cash #67,6-3 6-1,Scott Mccain #213
"Dec 23, 1982*",Adelaide,ATP 250,R32,Grass,Greg Whitecross #161,3-6 6-3 6-2,Mike Leach #372
"Dec 23, 1982*",Adelaide,ATP 250,R32,Grass,Wayne Hampson #174,7-6 3-6 7-6,Larry Stefanki #137
"Dec 23, 1982*",Adelaide,ATP 250,R32,Grass,Chris Johnstone #94,6-3 6-2,Jonathan Canter #667
"Dec 23, 1982*",Adelaide,ATP 250,R32,Grass,John Fitzgerald #77,4-6 6-3 6-4,John Frawley
"Dec 23, 1982*",Adelaide,ATP 250,R32,Grass,Bernie Mitton #130,6-2 6-4,Mike Estep #84
"Dec 20, 1982*",Hartford Wct,ATP 250,F,Carpet,Ivan Lendl #3,6-2 6-4 7-5,Bill Scanlon #72
"Dec 19, 1982*",Sydney Outdoor,ATP 250,F,Grass,John Alexander #34,4-6 7-6 6-4,John Fitzgerald #89
"Dec 19, 1982*",Hartford Wct,ATP 250,SF,Carpet,Bill Scanlon #72,7-5 7-6,Bob Lutz
"Dec 19, 1982*",Hartford Wct,ATP 250,SF,Carpet,Ivan Lendl #3,7-6 6-3,Balazs Taroczy #27
"Dec 19, 1982*",Hartford Wct,ATP 250,QF,Carpet,Ivan Lendl #3,6-4 6-4,Jose Luis Damiani #92
"Dec 19, 1982*",Hartford Wct,ATP 250,QF,Carpet,Balazs Taroczy #27,6-7 6-2 6-2,Mark Dickson #40
"Dec 19, 1982*",Hartford Wct,ATP 250,QF,Carpet,Bob Lutz,6-3 4-0 (ret.),Jay Lapidus #39
"Dec 19, 1982*",Hartford Wct,ATP 250,QF,Carpet,Bill Scanlon #72,6-3 6-2,Hans Gildemeister
"Dec 18, 1982*",Sydney Outdoor,ATP 250,SF,Grass,John Fitzgerald #89,6-3 6-2,Tim Wilkison #44
"Dec 18, 1982*",Sydney Outdoor,ATP 250,SF,Grass,John Alexander #34,6-3 6-2,Sammy Giammalva Jr
"Dec 18, 1982*",Sydney Outdoor,ATP 250,QF,Grass,Tim Wilkison #44,3-6 7-6 7-6,Craig A Miller #251
"Dec 18, 1982*",Sydney Outdoor,ATP 250,QF,Grass,Sammy Giammalva Jr,7-5 6-7 6-3,Wally Masur #287
"Dec 18, 1982*",Sydney Outdoor,ATP 250,QF,Grass,John Alexander #34,6-7 6-3 7-5,Richard Meyer #209
"Dec 18, 1982*",Sydney Outdoor,ATP 250,QF,Grass,John Fitzgerald #89,7-5 6-4,Francisco Gonzalez #98
"Dec 18, 1982*",Hartford Wct,ATP 250,R16,Carpet,Bill Scanlon #72,2-6 6-3 6-4,Wojtek Fibak #24
"Dec 18, 1982*",Hartford Wct,ATP 250,R16,Carpet,Balazs Taroczy #27,7-6 7-5,Harold Solomon #67
"Dec 18, 1982*",Hartford Wct,ATP 250,R16,Carpet,Hans Gildemeister,6-4 7-5,Roscoe Tanner #45
"Dec 18, 1982*",Hartford Wct,ATP 250,R16,Carpet,Ivan Lendl #3,6-2 6-2,Brad Gilbert #52
"Dec 18, 1982*",Hartford Wct,ATP 250,R16,Carpet,Mark Dickson #40,7-6 6-4,Kevin Curren #17
"Dec 18, 1982*",Hartford Wct,ATP 250,R16,Carpet,Jay Lapidus #39,6-4 3-6 6-1,Jose Luis Clerc #6
"Dec 18, 1982*",Hartford Wct,ATP 250,R16,Carpet,Jose Luis Damiani #92,6-3 7-6,Eddie Dibbs #53
"Dec 17, 1982*",Sydney Outdoor,ATP 250,R16,Grass,Tim Wilkison #44,7-6 6-3,Fritz Buehning #64
"Dec 17, 1982*",Sydney Outdoor,ATP 250,R16,Grass,Francisco Gonzalez #98,7-5 6-4,Jeff Borowiak #91
"Dec 17, 1982*",Sydney Outdoor,ATP 250,R16,Grass,John Alexander #34,7-6 7-6,Peter Doohan #549
"Dec 17, 1982*",Sydney Outdoor,ATP 250,R16,Grass,John Fitzgerald #89,6-3 6-2,Tony Giammalva #81
"Dec 17, 1982*",Sydney Outdoor,ATP 250,R16,Grass,Sammy Giammalva Jr,6-4 6-0,Eddie Edwards #170
"Dec 17, 1982*",Sydney Outdoor,ATP 250,R16,Grass,Richard Meyer #209,6-2 6-7 7-5,Hank Pfister #23
"Dec 17, 1982*",Sydney Outdoor,ATP 250,R16,Grass,Craig A Miller #251,3-6 6-1 6-2,Mike De Palmer
"Dec 17, 1982*",Sydney Outdoor,ATP 250,R16,Grass,Wally Masur #287,6-4 6-1,John Sadri #38
"Dec 16, 1982*",Australian Open,Grand Slam,F,Grass,Johan Kriek #8,6-3 6-3 6-2,Steve Denton #13
"Dec 16, 1982*",Sydney Outdoor,ATP 250,R32,Grass,Mike De Palmer,4-6 7-6 6-4,Ben Testerman #210
"Dec 16, 1982*",Sydney Outdoor,ATP 250,R32,Grass,John Fitzgerald #89,6-1 6-2,Mike Estep #84
"Dec 16, 1982*",Sydney Outdoor,ATP 250,R32,Grass,Peter Doohan #549,7-6 6-4,Cliff Letcher
"Dec 16, 1982*",Sydney Outdoor,ATP 250,R32,Grass,Richard Meyer #209,6-3 3-6 7-5,Broderick Dyke #662
"Dec 16, 1982*",Sydney Outdoor,ATP 250,R32,Grass,John Sadri #38,6-7 7-5 6-4,Brad Drewett #133
"Dec 16, 1982*",Sydney Outdoor,ATP 250,R32,Grass,Eddie Edwards #170,6-4 6-4,Mike Leach #372
"Dec 16, 1982*",Sydney Outdoor,ATP 250,R32,Grass,Tony Giammalva #81,6-4 7-6,Richard Lewis #93
"Dec 16, 1982*",Sydney Outdoor,ATP 250,R32,Grass,Francisco Gonzalez #98,7-6 7-6,Mark Edmondson #18
"Dec 16, 1982*",Sydney Outdoor,ATP 250,R32,Grass,Tim Wilkison #44,6-3 6-4,Mark Lewis #403
"Dec 16, 1982*",Sydney Outdoor,ATP 250,R32,Grass,Hank Pfister #23,4-6 6-3 6-2,Peter Rennert #96
"Dec 16, 1982*",Sydney Outdoor,ATP 250,R32,Grass,Jeff Borowiak #91,6-2 6-3,Harald Theissen #215
"Dec 16, 1982*",Sydney Outdoor,ATP 250,R32,Grass,Wally Masur #287,1-6 6-4 6-1,Phil Dent #47
"Dec 16, 1982*",Sydney Outdoor,ATP 250,R32,Grass,Fritz Buehning #64,4-6 6-4 6-4,Simon Youl
"Dec 16, 1982*",Sydney Outdoor,ATP 250,R32,Grass,John Alexander #34,6-4 2-6 6-3,Chris Johnstone #94
"Dec 16, 1982*",Sydney Outdoor,ATP 250,R32,Grass,Craig A Miller #251,6-4 7-6,Victor Pecci #65
"Dec 15, 1982*",Australian Open,Grand Slam,SF,Grass,Steve Denton #13,6-4 4-6 6-3 3-6 7-6,Hank Pfister #23
"Dec 15, 1982*",Australian Open,Grand Slam,SF,Grass,Johan Kriek #8,7-6 7-6 4-6 3-6 7-5,Paul Mcnamee #33
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,Brad Drewett #133,6-1 6-3,Rand Evett #325
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,Mike Estep #84,6-2 7-6,Morris Skip Strode #99
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,Simon Youl,7-6 6-4,Andy Andrews #97
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,Sammy Giammalva Jr,6-4 6-4,Greg Whitecross #161
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,Mike Leach #372,6-2 6-4,Johan Kriek #8
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,Peter Doohan #549,6-3 6-3,Bruce Kleege #153
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,Richard Meyer #209,6-3 7-5,Larry Stefanki #137
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,Chris Johnstone #94,7-6 6-2,Scott Mccain #213
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,Tony Giammalva #81,6-4 6-2,Jeff Simpson #96
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,Richard Lewis #93,2-0 (ret.),Chris Lewis #37
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,Francisco Gonzalez #98,6-2 7-6,John Frawley
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,Mark Edmondson #18,6-4 7-6,Lawrence Hall #403
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,Victor Pecci #65,7-6 6-2,Henrik Sundstrom #78
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,John Sadri #38,7-6 7-6,Ross Case #215
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,Mike De Palmer,7-6 6-4,Damir Keretic #66
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,Jonathan Smith,6-3 2-6 6-1,Paul Mcnamee #33
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,Jeff Borowiak #91,6-3 6-4,Drew Gitlin #273
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,John Fitzgerald #89,6-4 6-2,Guy Forget #61
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,Peter Rennert #96,6-4 6-3,Charles Buzz Strode #136
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,John Alexander #34,5-7 7-6 6-4,Pat Cash #69
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,Hank Pfister #23,6-2 6-2,Mike Brunnberg #667
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,Craig A Miller #251,6-7 6-2 7-6,Juan Farrow #227
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,Fritz Buehning #64,4-6 7-6 6-3,Bruce Derlin #171
"Dec 15, 1982*",Sydney Outdoor,ATP 250,R64,Grass,Broderick Dyke #662,7-6 7-5,Russell Simpson #56
