date,tournament,category,round,surface,winner,score,loser
"Dec 6, 1989*",Masters,ATP Finals,F,Carpet,Stefan Edberg #3,4-6 7-6 6-3 6-1,Boris Becker #2
"Dec 5, 1989*",Masters,ATP Finals,SF,Carpet,Boris Becker #2,6-4 6-4,John McEnroe #4
"Dec 5, 1989*",Masters,ATP Finals,SF,Carpet,Stefan Edberg #3,7-6 7-5,Ivan Lendl #1
"Nov 28, 1989",Masters,ATP Finals,RR,Carpet,John McEnroe #4,6-2 5-7 6-4,Michael Chang #5
"Nov 28, 1989",Masters,ATP Finals,RR,Carpet,Boris Becker #2,6-1 6-3,Andre Agassi #7
"Nov 28, 1989",Masters,ATP Finals,RR,Carpet,Ivan Lendl #1,6-3 6-3,John McEnroe #4
"Nov 28, 1989",Masters,ATP Finals,RR,Carpet,Ivan Lendl #1,6-1 6-3,Michael Chang #5
"Nov 28, 1989",Masters,ATP Finals,RR,Carpet,Stefan Edberg #3,6-4 6-2,Andre Agassi #7
"Nov 28, 1989",Masters,ATP Finals,RR,Carpet,Boris Becker #2,2-6 6-3 6-4,Brad Gilbert #6
"Nov 28, 1989",Masters,ATP Finals,RR,Carpet,Boris Becker #2,6-1 6-4,Stefan Edberg #3
"Nov 28, 1989",Masters,ATP Finals,RR,Carpet,Brad Gilbert #6,3-6 6-3 6-3,Andre Agassi #7
"Nov 28, 1989",Masters,ATP Finals,RR,Carpet,Aaron Krickstein #8,6-3 7-6,Michael Chang #5
"Nov 28, 1989",Masters,ATP Finals,RR,Carpet,John McEnroe #4,5-7 6-3 6-2,Aaron Krickstein #8
"Nov 28, 1989",Masters,ATP Finals,RR,Carpet,Ivan Lendl #1,6-1 6-3,Aaron Krickstein #8
"Nov 28, 1989",Masters,ATP Finals,RR,Carpet,Stefan Edberg #3,6-1 6-3,Brad Gilbert #6
"Nov 26, 1989*",Itaparica,ATP 250,F,Hard,Martin Jaite #14,6-4 6-4,Jay Berger #10
"Nov 25, 1989*",Itaparica,ATP 250,SF,Hard,Jay Berger #10,6-4 7-5,Jaime Yzaga #19
"Nov 25, 1989*",Itaparica,ATP 250,SF,Hard,Martin Jaite #14,6-3 7-6,Emilio Sanchez #23
"Nov 25, 1989*",Itaparica,ATP 250,QF,Hard,Martin Jaite #14,3-6 7-5 6-3,Paul Haarhuis #80
"Nov 25, 1989*",Itaparica,ATP 250,QF,Hard,Jaime Yzaga #19,6-1 1-6 7-5,Marcelo Filippini #53
"Nov 25, 1989*",Itaparica,ATP 250,QF,Hard,Emilio Sanchez #23,6-1 6-7 6-4,Luiz Mattar #68
"Nov 25, 1989*",Itaparica,ATP 250,QF,Hard,Jay Berger #10,5-7 6-4 6-3,Mark Koevermans #59
"Nov 24, 1989*",Itaparica,ATP 250,R16,Hard,Paul Haarhuis #80,6-4 6-0,Cassio Motta #122
"Nov 24, 1989*",Itaparica,ATP 250,R16,Hard,Emilio Sanchez #23,6-4 6-2,Johan Anderson #108
"Nov 24, 1989*",Itaparica,ATP 250,R16,Hard,Martin Jaite #14,7-6 6-2,Jeff Tarango #195
"Nov 24, 1989*",Itaparica,ATP 250,R16,Hard,Mark Koevermans #59,6-2 6-2,Nicolas Pereira #132
"Nov 24, 1989*",Itaparica,ATP 250,R16,Hard,Jaime Yzaga #19,2-6 6-4 6-4,Jim Grabb #33
"Nov 24, 1989*",Itaparica,ATP 250,R16,Hard,Luiz Mattar #68,6-3 6-4,Juan Aguilera #67
"Nov 24, 1989*",Itaparica,ATP 250,R16,Hard,Jay Berger #10,6-4 6-1,Todd Witsken #48
"Nov 24, 1989*",Itaparica,ATP 250,R16,Hard,Marcelo Filippini #53,6-4 1-6 7-6,Jakob Hlasek #25
"Nov 23, 1989*",Itaparica,ATP 250,R32,Hard,Juan Aguilera #67,7-5 2-6 7-5,Alberto Mancini #9
"Nov 23, 1989*",Itaparica,ATP 250,R32,Hard,Johan Anderson #108,6-0 6-1,Dan Cassidy #142
"Nov 23, 1989*",Itaparica,ATP 250,R32,Hard,Cassio Motta #122,7-6 6-2,Thomas Muster #20
"Nov 23, 1989*",Itaparica,ATP 250,R32,Hard,Jim Grabb #33,6-2 6-3,Diego Perez #98
"Nov 23, 1989*",Itaparica,ATP 250,R32,Hard,Jakob Hlasek #25,6-7 6-3 6-4,Javier Frana #105
"Nov 23, 1989*",Itaparica,ATP 250,R32,Hard,Jay Berger #10,6-1 6-1,Danilo Marcelino #218
"Nov 23, 1989*",Itaparica,ATP 250,R32,Hard,Nicolas Pereira #132,6-2 6-4,Jim Courier #24
"Nov 23, 1989*",Itaparica,ATP 250,R32,Hard,Jaime Yzaga #19,6-3 7-6,Jean-Philippe Fleurian #60
"Nov 23, 1989*",Itaparica,ATP 250,R32,Hard,Todd Witsken #48,6-3 4-6 6-4,Otavio Della #355
"Nov 23, 1989*",Itaparica,ATP 250,R32,Hard,Martin Jaite #14,7-6 6-4,Javier Sanchez #42
"Nov 23, 1989*",Itaparica,ATP 250,R32,Hard,Luiz Mattar #68,6-3 6-0,Joey Rive #143
"Nov 23, 1989*",Itaparica,ATP 250,R32,Hard,Marcelo Filippini #53,3-6 7-5 7-6,Tomas Carbonell #72
"Nov 23, 1989*",Itaparica,ATP 250,R32,Hard,Paul Haarhuis #80,6-4 6-4,Jorge Lozano #359
"Nov 23, 1989*",Itaparica,ATP 250,R32,Hard,Jeff Tarango #195,6-3 1-6 6-2,Jordi Arrese #39
"Nov 23, 1989*",Itaparica,ATP 250,R32,Hard,Emilio Sanchez #23,7-5 7-6,Fernando Roese #211
"Nov 23, 1989*",Itaparica,ATP 250,R32,Hard,Mark Koevermans #59,7-6 6-3,Dan Goldie #61
"Nov 19, 1989*",Johannesburg,ATP 250,F,Hard,Christo Van Rensburg,6-4 7-6 6-3,Paul Chamberlin #83
"Nov 18, 1989*",Johannesburg,ATP 250,SF,Hard,Paul Chamberlin #83,7-6 6-3,Joey Rive #217
"Nov 18, 1989*",Johannesburg,ATP 250,SF,Hard,Christo Van Rensburg,6-3 6-4,Jeremy Bates #132
