date,tournament,category,round,surface,winner,score,loser
"Dec 27, 1975*",Sydney Outdoor,ATP 250,F,Grass,Ross Case #27,6-2 6-1,John Marks #330
"Dec 26, 1975*",Sydney Outdoor,ATP 250,SF,Grass,Ross Case #27,6-4 4-6 9-7,Ray Ruffels #112
"Dec 26, 1975*",Sydney Outdoor,ATP 250,SF,Grass,John Marks #330,3-6 7-6 13-11,Tony Roche #12
"Dec 26, 1975*",Sydney Outdoor,ATP 250,QF,Grass,Ross Case #27,7-6 6-3,David Carter #373
"Dec 26, 1975*",Sydney Outdoor,ATP 250,QF,Grass,Tony Roche #12,6-2 6-3,Brian Fairlie #66
"Dec 26, 1975*",Sydney Outdoor,ATP 250,QF,Grass,John Marks #330,6-4 3-6 7-5,John Lloyd
"Dec 26, 1975*",Sydney Outdoor,ATP 250,QF,Grass,Ray Ruffels #112,6-4 6-4,Ken Rosewall #6
"Dec 25, 1975*",Sydney Outdoor,ATP 250,R16,Grass,David Carter #373,6-1 3-6 6-3,Raymond Moore #61
"Dec 25, 1975*",Sydney Outdoor,ATP 250,R16,Grass,John Lloyd,1-6 7-5 14-12,Joao Soares #238
"Dec 25, 1975*",Sydney Outdoor,ATP 250,R16,Grass,Ray Ruffels #112,7-6 6-2,Charlie Pasarell #63
"Dec 25, 1975*",Sydney Outdoor,ATP 250,R16,Grass,Brian Fairlie #66,3-6 6-3 6-4,Jan Kukal #306
"Dec 25, 1975*",Sydney Outdoor,ATP 250,R16,Grass,Ken Rosewall #6,6-4 6-3,Rolf Gehring #179
"Dec 25, 1975*",Sydney Outdoor,ATP 250,R16,Grass,John Marks #330,7-6 2-6 6-2,Geoff Masters #44
"Dec 25, 1975*",Sydney Outdoor,ATP 250,R16,Grass,Tony Roche #12,6-2 6-2,Teimuraz Kakulia
"Dec 25, 1975*",Sydney Outdoor,ATP 250,R16,Grass,Ross Case #27,6-3 3-6 6-2,Syd Ball #116
"Dec 24, 1975*",Sydney Outdoor,ATP 250,R32,Grass,Ken Rosewall #6,6-3 6-7 6-1,Peter Campbell
"Dec 24, 1975*",Sydney Outdoor,ATP 250,R32,Grass,Teimuraz Kakulia,6-3 3-6 10-8,Dick Crealy #56
"Dec 24, 1975*",Sydney Outdoor,ATP 250,R32,Grass,Geoff Masters #44,6-4 2-6 6-3,Peter Mcnamara
"Dec 24, 1975*",Sydney Outdoor,ATP 250,R32,Grass,John Lloyd,6-4 6-2,Ulrich Marten #199
