date,tournament,category,round,surface,winner,score,loser
"Dec 8, 1988*",Masters,ATP Finals,F,Carpet,Boris Becker #4,5-7 7-6 3-6 6-2 7-6,Ivan Lendl #2
"Dec 7, 1988*",Masters,ATP Finals,SF,Carpet,Ivan Lendl #2,6-3 7-6,Stefan Edberg #5
"Dec 7, 1988*",Masters,ATP Finals,SF,Carpet,Boris Becker #4,7-6 7-6,Jakob Hlasek #8
"Nov 30, 1988",Masters,ATP Finals,RR,Carpet,Ivan Lendl #2,1-6 7-6 6-3,Andre Agassi #3
"Nov 30, 1988",Masters,ATP Finals,RR,Carpet,Stefan Edberg #5,7-6 3-6 6-4,Boris Becker #4
"Nov 30, 1988",Masters,ATP Finals,RR,Carpet,Stefan Edberg #5,6-2 6-2,Mats Wilander #1
"Nov 30, 1988",Masters,ATP Finals,RR,Carpet,Mats Wilander #1,6-2 6-4,Henri Leconte #9
"Nov 30, 1988",Masters,ATP Finals,RR,Carpet,Boris Becker #4,6-0 1-0 (ret.),Henri Leconte #9
"Nov 30, 1988",Masters,ATP Finals,RR,Carpet,Jakob Hlasek #8,4-6 6-3 7-5,Ivan Lendl #2
"Nov 30, 1988",Masters,ATP Finals,RR,Carpet,Andre Agassi #3,6-2 6-4,Tim Mayotte #10
"Nov 30, 1988",Masters,ATP Finals,RR,Carpet,Boris Becker #4,7-6 6-7 6-1,Mats Wilander #1
"Nov 30, 1988",Masters,ATP Finals,RR,Carpet,Jakob Hlasek #8,6-3 6-2,Andre Agassi #3
"Nov 30, 1988",Masters,ATP Finals,RR,Carpet,Henri Leconte #9,6-4 6-2,Stefan Edberg #5
"Nov 30, 1988",Masters,ATP Finals,RR,Carpet,Ivan Lendl #2,6-2 3-6 6-3,Tim Mayotte #10
"Nov 30, 1988",Masters,ATP Finals,RR,Carpet,Jakob Hlasek #8,7-5 6-3,Tim Mayotte #10
"Nov 27, 1988*",Brussels,ATP 250,F,Carpet,Henri Leconte #13,7-6 7-6 6-4,Jakob Hlasek #8
"Nov 27, 1988*",Itaparica,ATP 250,F,Hard,Jaime Yzaga #101,7-6 6-2,Javier Frana #132
"Nov 26, 1988*",Brussels,ATP 250,SF,Carpet,Jakob Hlasek #8,7-6 3-0 (ret.),Patrik Kuhnen #84
"Nov 26, 1988*",Itaparica,ATP 250,SF,Hard,Jaime Yzaga #101,6-3 6-4,Martin Jaite #49
"Nov 26, 1988*",Brussels,ATP 250,SF,Carpet,Henri Leconte #13,6-4 2-6 6-2,John Fitzgerald #28
"Nov 26, 1988*",Itaparica,ATP 250,SF,Hard,Javier Frana #132,7-6 7-5,Javier Sanchez #60
"Nov 26, 1988*",Brussels,ATP 250,QF,Carpet,John Fitzgerald #28,6-1 3-6 6-0,Eric Jelen #67
"Nov 26, 1988*",Itaparica,ATP 250,QF,Hard,Martin Jaite #49,6-4 6-4,Sergio Casal #65
"Nov 26, 1988*",Brussels,ATP 250,QF,Carpet,Henri Leconte #13,6-4 1-6 6-3,Wally Masur #44
"Nov 26, 1988*",Brussels,ATP 250,QF,Carpet,Jakob Hlasek #8,7-5 6-4,Tom Nijssen #139
"Nov 26, 1988*",Brussels,ATP 250,QF,Carpet,Patrik Kuhnen #84,6-4 6-2,Eric Winogradsky #214
"Nov 26, 1988*",Itaparica,ATP 250,QF,Hard,Javier Frana #132,4-6 7-5 3-5 (ret.),Diego Perez #148
"Nov 26, 1988*",Itaparica,ATP 250,QF,Hard,Javier Sanchez #60,4-6 6-3 6-2,Alberto Mancini #45
"Nov 26, 1988*",Itaparica,ATP 250,QF,Hard,Jaime Yzaga #101,7-5 7-6,Andrei Chesnokov #15
"Nov 25, 1988*",Itaparica,ATP 250,R16,Hard,Andrei Chesnokov #15,1-6 6-0 6-1,Jim Courier #53
"Nov 25, 1988*",Brussels,ATP 250,R16,Carpet,Jakob Hlasek #8,4-6 7-6 6-4,Glenn Layendecker #85
"Nov 25, 1988*",Brussels,ATP 250,R16,Carpet,Tom Nijssen #139,6-3 6-0,Russell Barlow #587
"Nov 25, 1988*",Brussels,ATP 250,R16,Carpet,Eric Winogradsky #214,6-4 3-6 7-6,Milan Srejber #48
