date,tournament,category,round,surface,winner,score,loser
"Jan 21, 1982*",Masters,ATP Finals,F,Carpet,Ivan Lendl #2,6-7 2-6 7-6 6-2 6-4,Vitas Gerulaitis #9
"Jan 20, 1982*",Masters,ATP Finals,SF,Carpet,Vitas Gerulaitis #9,7-5 4-6 6-2,Eliot Teltscher #8
"Jan 20, 1982*",Masters,ATP Finals,SF,Carpet,Ivan Lendl #2,6-4 6-2,John McEnroe #1
"Jan 13, 1982",Masters,ATP Finals,RR,Carpet,Guillermo Vilas #6,6-1 7-5,Jose Luis Clerc #5
"Jan 13, 1982",Masters,ATP Finals,RR,Carpet,John McEnroe #1,6-2 7-5,Jimmy Connors #3
"Jan 13, 1982",Masters,ATP Finals,RR,Carpet,Eliot Teltscher #8,4-6 6-1 6-4,Roscoe Tanner #11
"Jan 13, 1982",Masters,ATP Finals,RR,Carpet,Roscoe Tanner #11,7-6 6-7 7-6,Jimmy Connors #3
"Jan 13, 1982",Masters,ATP Finals,RR,Carpet,John McEnroe #1,6-3 6-2,Roscoe Tanner #11
"Jan 13, 1982",Masters,ATP Finals,RR,Carpet,Ivan Lendl #2,(w/o),Jose Luis Clerc #5
"Jan 13, 1982",Masters,ATP Finals,RR,Carpet,Eliot Teltscher #8,6-4 6-1,John McEnroe #1
"Jan 13, 1982",Masters,ATP Finals,RR,Carpet,Jimmy Connors #3,7-5 6-1,Eliot Teltscher #8
"Jan 13, 1982",Masters,ATP Finals,RR,Carpet,Vitas Gerulaitis #9,6-1 6-4,Guillermo Vilas #6
"Jan 13, 1982",Masters,ATP Finals,RR,Carpet,Ivan Lendl #2,6-4 6-1,Guillermo Vilas #6
"Jan 13, 1982",Masters,ATP Finals,RR,Carpet,Vitas Gerulaitis #9,7-6 6-1,Jose Luis Clerc #5
"Jan 13, 1982",Masters,ATP Finals,RR,Carpet,Ivan Lendl #2,4-6 7-5 6-2,Vitas Gerulaitis #9
"Jan 7, 1982*",Australian Open,Grand Slam,F,Grass,Johan Kriek #13,6-2 7-6 6-7 6-4,Steve Denton #24
"Jan 6, 1982*",Australian Open,Grand Slam,SF,Grass,Steve Denton #24,7-6 6-7 6-1 3-6 6-3,Hank Pfister #25
"Jan 6, 1982*",Australian Open,Grand Slam,SF,Grass,Johan Kriek #13,6-0 7-6 7-5,Mark Edmondson #20
"Jan 4, 1982*",Australian Open,Grand Slam,QF,Grass,Johan Kriek #13,7-6 6-3 7-5,Tim Mayotte #30
"Jan 4, 1982*",Australian Open,Grand Slam,QF,Grass,Hank Pfister #25,6-1 4-6 6-4 6-3,Kim Warwick #84
"Jan 4, 1982*",Australian Open,Grand Slam,QF,Grass,Steve Denton #24,6-4 3-6 7-6 6-0,Shlomo Glickstein #33
"Jan 4, 1982*",Australian Open,Grand Slam,QF,Grass,Mark Edmondson #20,7-5 7-6 6-3,Peter Mcnamara
"Jan 2, 1982*",Australian Open,Grand Slam,R16,Grass,Hank Pfister #39,6-3 6-4 6-4,Guillermo Vilas #6
"Jan 2, 1982*",Australian Open,Grand Slam,R16,Grass,Mark Edmondson #23,6-2 6-0 6-3,Cliff Letcher
"Jan 2, 1982*",Australian Open,Grand Slam,R16,Grass,Tim Mayotte #33,7-6 7-5 6-4,Pat Dupre #44
"Jan 2, 1982*",Australian Open,Grand Slam,R16,Grass,Johan Kriek #19,7-5 7-5 3-6 2-6 6-4,Chris Lewis #31
"Jan 2, 1982*",Australian Open,Grand Slam,R16,Grass,Steve Denton #54,6-7 4-6 7-6 7-5 7-6,John Alexander #75
"Jan 2, 1982*",Australian Open,Grand Slam,R16,Grass,Shlomo Glickstein #34,6-2 6-3 6-2,Rod Frawley #89
"Jan 2, 1982*",Australian Open,Grand Slam,R16,Grass,Kim Warwick #29,6-3 6-3 6-0,Phil Dent #65
"Dec 30, 1981*",Australian Open,Grand Slam,R32,Grass,Guillermo Vilas #6,6-7 6-3 6-4 6-4,Larry Stefanki #325
"Dec 30, 1981*",Australian Open,Grand Slam,R32,Grass,Rod Frawley #89,3-6 4-6 6-4 6-3 6-3,Roscoe Tanner #12
"Dec 30, 1981*",Australian Open,Grand Slam,R32,Grass,Paul Kronk,7-6 6-1 6-3,Peter Rennert #58
"Dec 30, 1981*",Australian Open,Grand Slam,R32,Grass,Chris Lewis #31,6-4 6-3 6-3,Marty Davis #269
"Dec 30, 1981*",Australian Open,Grand Slam,R32,Grass,Mark Edmondson #23,5-7 1-6 7-5 7-5 6-4,Syd Ball #146
"Dec 30, 1981*",Australian Open,Grand Slam,R32,Grass,John Alexander #75,6-4 6-1 6-3,Thierry Tulasne #59
"Dec 30, 1981*",Australian Open,Grand Slam,R32,Grass,Cliff Letcher,7-6 7-6 4-6 3-6 6-4,Jim Delaney #269
"Dec 30, 1981*",Australian Open,Grand Slam,R32,Grass,Kim Warwick #29,7-5 6-2 7-5,Jim Gurfein #219
"Dec 30, 1981*",Australian Open,Grand Slam,R32,Grass,Johan Kriek #19,6-2 6-4 7-6,Thomas Hogstedt #549
"Dec 30, 1981*",Australian Open,Grand Slam,R32,Grass,Steve Denton #54,6-7 3-6 6-3 6-2 6-2,Kevin Curren #50
"Dec 30, 1981*",Australian Open,Grand Slam,R32,Grass,Pat Dupre #44,6-4 6-4 6-2,Russell Simpson #88
"Dec 30, 1981*",Australian Open,Grand Slam,R32,Grass,Phil Dent #65,7-6 6-4 7-6,Charlie Fancutt
"Dec 30, 1981*",Australian Open,Grand Slam,R32,Grass,Shlomo Glickstein #34,6-3 6-4 6-2,Jerome Potier #325
"Dec 30, 1981*",Australian Open,Grand Slam,R32,Grass,Peter Mcnamara,3-6 4-6 7-5 6-4 6-2,Richard Lewis #245
"Dec 30, 1981*",Australian Open,Grand Slam,R32,Grass,Tim Mayotte #33,7-6 6-3 6-3,Robert Vant Hof
"Dec 30, 1981*",Australian Open,Grand Slam,R32,Grass,Hank Pfister #39,6-2 6-0 6-2,Hans Simonsson #100
"Dec 28, 1981*",Australian Open,Grand Slam,R64,Grass,Pat Dupre #44,6-4 6-7 4-6 6-3 6-3,Brad Guan #185
