date,tournament,category,round,surface,winner,score,loser
"Jan 22, 1973*",Jacksonville,ATP 250,F,Hard,Jimmy Connors,7-5 6-4,Clark Graebner
"Jan 21, 1973*",Jacksonville,ATP 250,SF,Hard,Jimmy Connors,7-5 7-5,Jaime Fillol
"Jan 21, 1973*",Jacksonville,ATP 250,SF,Hard,Clark Graebner,6-2 6-2,Gerald Battrick
"Jan 21, 1973*",Jacksonville,ATP 250,QF,Hard,Clark Graebner,6-4 6-3,William Higgins
"Jan 21, 1973*",Jacksonville,ATP 250,QF,Hard,Jaime Fillol,7-6 6-2,Ove Bengtson
"Jan 21, 1973*",Jacksonville,ATP 250,QF,Hard,Jimmy Connors,4-6 7-5 6-1,Haroon Rahim
"Jan 21, 1973*",Jacksonville,ATP 250,QF,Hard,Gerald Battrick,7-6 6-3,Dick Stockton
"Jan 20, 1973*",Jacksonville,ATP 250,R16,Hard,Jimmy Connors,6-1 6-1,Patricio Cornejo
"Jan 20, 1973*",Jacksonville,ATP 250,R16,Hard,Gerald Battrick,1-6 6-2 6-4,Milan Holecek
"Jan 20, 1973*",Jacksonville,ATP 250,R16,Hard,Ove Bengtson,7-6 7-5,Ilie Nastase
"Jan 20, 1973*",Jacksonville,ATP 250,R16,Hard,Haroon Rahim,6-4 6-4,Ion Tiriac
"Jan 20, 1973*",Jacksonville,ATP 250,R16,Hard,Jaime Fillol,7-5 7-6,Jim Osborne
"Jan 20, 1973*",Jacksonville,ATP 250,R16,Hard,William Higgins,7-5 3-6 7-6,Jim Mcmanus
"Jan 20, 1973*",Jacksonville,ATP 250,R16,Hard,Dick Stockton,7-6 3-6 6-1,Frank Froehling
"Jan 20, 1973*",Jacksonville,ATP 250,R16,Hard,Clark Graebner,6-0 6-4,Vladimir Zednik
"Dec 19, 1972*",Kingston,ATP 250,F,Hard,Richard Gonzalez,6-3 6-4,Clark Graebner
"Dec 18, 1972*",Kingston,ATP 250,SF,Hard,Clark Graebner,6-3 6-4,Stephen Warboys
"Dec 18, 1972*",Kingston,ATP 250,QF,Hard,Clark Graebner,7-6 6-1,Bjorn Borg
"Dec 18, 1972*",Kingston,ATP 250,QF,Hard,Stephen Warboys,7-5 4-6 6-3,Richard Russell
"Dec 18, 1972*",Kingston,ATP 250,QF,Hard,Joaquin Loyo Mayo,7-5 6-7 7-6,Haroon Rahim
"Dec 18, 1972*",Kingston,ATP 250,QF,Hard,Richard Gonzalez,7-6 6-4,Gene Scott
"Dec 17, 1972*",Adelaide (2),ATP 250,F,Grass,Alex Metreveli,7-5 5-7 6-7 7-6 6-2,Colin Dibley
"Dec 17, 1972*",Kingston,ATP 250,R16,Hard,Bjorn Borg,6-4 6-3,Compton Russell
"Dec 17, 1972*",Kingston,ATP 250,R16,Hard,Gene Scott,7-6 6-2,Tom Campbell
"Dec 17, 1972*",Kingston,ATP 250,R16,Hard,Stephen Warboys,6-2 6-3,Paul Palmer
"Dec 17, 1972*",Kingston,ATP 250,R16,Hard,Clark Graebner,6-1 6-1,David Pratt
"Dec 17, 1972*",Kingston,ATP 250,R16,Hard,Haroon Rahim,6-2 6-1,Eddie Smatt
"Dec 17, 1972*",Kingston,ATP 250,R16,Hard,Richard Russell,6-7 7-6 6-3,Torben Ulrich
"Dec 16, 1972*",Adelaide (2),ATP 250,SF,Grass,Alex Metreveli,6-4 6-4 6-7 7-6,Patrice Dominguez
"Dec 16, 1972*",Adelaide (2),ATP 250,SF,Grass,Colin Dibley,7-6 6-2 6-2,Teimuraz Kakulia
"Dec 16, 1972*",Adelaide (2),ATP 250,QF,Grass,Alex Metreveli,6-3 6-3 6-0,Karl Meiler
"Dec 16, 1972*",Adelaide (2),ATP 250,QF,Grass,Colin Dibley,7-6 6-4 6-4,Onny Parun
"Dec 16, 1972*",Adelaide (2),ATP 250,QF,Grass,Patrice Dominguez,6-4 4-6 6-0 4-6 11-9,Peter Doerner
"Dec 16, 1972*",Adelaide (2),ATP 250,QF,Grass,Teimuraz Kakulia,6-3 4-6 6-4 2-6 6-3,John James
"Dec 15, 1972*",Adelaide (2),ATP 250,R16,Grass,John James,6-3 6-3,Ross Case
"Dec 15, 1972*",Adelaide (2),ATP 250,R16,Grass,Alex Metreveli,5-7 7-5 6-4,Syd Ball
"Dec 15, 1972*",Adelaide (2),ATP 250,R16,Grass,Patrice Dominguez,4-6 7-6 6-4,John Cooper
"Dec 15, 1972*",Adelaide (2),ATP 250,R16,Grass,Karl Meiler,6-2 6-2,Moon Il Kim
"Dec 15, 1972*",Adelaide (2),ATP 250,R16,Grass,Onny Parun,6-3 6-4,Cliff Letcher
"Dec 15, 1972*",Adelaide (2),ATP 250,R16,Grass,Peter Doerner,6-7 6-4 6-1,John Bartlett
"Dec 15, 1972*",Adelaide (2),ATP 250,R16,Grass,Colin Dibley,6-3 6-4,Wanaro N'Godrella
"Dec 14, 1972*",Adelaide (2),ATP 250,R32,Grass,Onny Parun,6-2 6-4,Rod Frawley
"Dec 14, 1972*",Adelaide (2),ATP 250,R32,Grass,Karl Meiler,3-6 6-4 6-3,Frank Gebert
"Dec 14, 1972*",Adelaide (2),ATP 250,R32,Grass,John Bartlett,6-3 6-1,Max Cocks
