date,tournament,category,round,surface,winner,score,loser
"Dec 10, 1987*",Masters,ATP Finals,F,Carpet,Ivan Lendl #1,6-2 6-2 6-3,Mats Wilander #3
"Dec 9, 1987*",Masters,ATP Finals,SF,Carpet,Mats Wilander #3,6-2 4-6 6-3,Stefan Edberg #2
"Dec 9, 1987*",Masters,ATP Finals,SF,Carpet,Ivan Lendl #1,6-2 6-4,Brad Gilbert #13
"Dec 2, 1987",Masters,ATP Finals,RR,Carpet,Stefan Edberg #2,6-4 4-6 6-1,Pat Cash #7
"Dec 2, 1987",Masters,ATP Finals,RR,Carpet,Ivan Lendl #1,4-3 (ret.),Jimmy Connors #4
"Dec 2, 1987",Masters,ATP Finals,RR,Carpet,Stefan Edberg #2,6-2 7-6,Mats Wilander #3
"Dec 2, 1987",Masters,ATP Finals,RR,Carpet,Brad Gilbert #13,6-4 7-6,Jimmy Connors #4
"Dec 2, 1987",Masters,ATP Finals,RR,Carpet,Brad Gilbert #13,4-6 6-4 6-4,Boris Becker #5
"Dec 2, 1987",Masters,ATP Finals,RR,Carpet,Boris Becker #5,7-5 2-6 6-3,Jimmy Connors #4
"Dec 2, 1987",Masters,ATP Finals,RR,Carpet,Pat Cash #7,7-5 6-4,Miloslav Mecir #6
"Dec 2, 1987",Masters,ATP Finals,RR,Carpet,Mats Wilander #3,7-6 6-3,Pat Cash #7
"Dec 2, 1987",Masters,ATP Finals,RR,Carpet,Stefan Edberg #2,6-3 6-3,Miloslav Mecir #6
"Dec 2, 1987",Masters,ATP Finals,RR,Carpet,Mats Wilander #3,6-4 6-1,Miloslav Mecir #6
"Dec 2, 1987",Masters,ATP Finals,RR,Carpet,Ivan Lendl #1,6-4 6-7 6-3,Boris Becker #5
"Dec 2, 1987",Masters,ATP Finals,RR,Carpet,Ivan Lendl #1,6-2 6-2,Brad Gilbert #13
"Nov 29, 1987*",Itaparica,ATP 250,F,Hard,Andre Agassi #41,7-6 6-2,Luiz Mattar #64
"Nov 28, 1987*",Itaparica,ATP 250,SF,Hard,Andre Agassi #41,6-2 7-5,Martin Jaite #15
"Nov 28, 1987*",Itaparica,ATP 250,SF,Hard,Luiz Mattar #64,4-6 7-6 6-4,Tomas Smid #36
"Nov 28, 1987*",Itaparica,ATP 250,QF,Hard,Luiz Mattar #64,7-5 5-7 7-6,Sergio Casal #116
"Nov 28, 1987*",Itaparica,ATP 250,QF,Hard,Tomas Smid #36,7-6 7-6,Andres Gomez #10
"Nov 28, 1987*",Itaparica,ATP 250,QF,Hard,Andre Agassi #41,6-1 6-3,Brad Gilbert #13
"Nov 28, 1987*",Itaparica,ATP 250,QF,Hard,Martin Jaite #15,6-2 6-2,Tore Meinecke #80
"Nov 27, 1987*",Itaparica,ATP 250,R16,Hard,Tomas Smid #36,3-6 7-6 6-4,Javier Sanchez #118
"Nov 27, 1987*",Itaparica,ATP 250,R16,Hard,Martin Jaite #15,7-6 6-3,Diego Perez #128
"Nov 27, 1987*",Itaparica,ATP 250,R16,Hard,Andres Gomez #10,6-2 6-1,Ricki Osterthun #76
"Nov 27, 1987*",Itaparica,ATP 250,R16,Hard,Luiz Mattar #64,6-1 6-2,Cassio Motta #105
"Nov 27, 1987*",Itaparica,ATP 250,R16,Hard,Brad Gilbert #13,7-6 6-2,Danilo Marcelino #275
"Nov 27, 1987*",Itaparica,ATP 250,R16,Hard,Sergio Casal #116,6-4 6-2,Emilio Sanchez #17
"Nov 27, 1987*",Itaparica,ATP 250,R16,Hard,Tore Meinecke #80,7-5 6-0,Gilad Bloom #145
"Nov 27, 1987*",Itaparica,ATP 250,R16,Hard,Andre Agassi #41,6-3 6-4,Jaime Yzaga #78
"Nov 26, 1987*",Itaparica,ATP 250,R32,Hard,Diego Perez #128,6-4 6-2,Horst Skoff #61
"Nov 26, 1987*",Itaparica,ATP 250,R32,Hard,Ricki Osterthun #76,6-2 4-6 7-6,Juan Aguilera #156
"Nov 26, 1987*",Itaparica,ATP 250,R32,Hard,Tore Meinecke #80,6-2 6-0,Guillermo Perez-Roldan #19
"Nov 26, 1987*",Itaparica,ATP 250,R32,Hard,Andre Agassi #41,5-7 6-0 6-3,Jose Daher #166
"Nov 26, 1987*",Itaparica,ATP 250,R32,Hard,Tomas Smid #36,6-3 6-0,Pedro Rebolledo #86
"Nov 26, 1987*",Itaparica,ATP 250,R32,Hard,Luiz Mattar #64,6-4 6-7 6-3,Ivan Kley #188
"Nov 26, 1987*",Itaparica,ATP 250,R32,Hard,Gilad Bloom #145,7-5 1-6 6-4,Bruno Oresar #99
"Nov 26, 1987*",Itaparica,ATP 250,R32,Hard,Sergio Casal #116,6-4 3-6 6-3,Milan Srejber #55
"Nov 26, 1987*",Itaparica,ATP 250,R32,Hard,Danilo Marcelino #275,6-4 6-2,Horacio de la Pena #85
"Nov 26, 1987*",Itaparica,ATP 250,R32,Hard,Emilio Sanchez #17,6-3 6-4,Jorge Lozano #100
"Nov 26, 1987*",Itaparica,ATP 250,R32,Hard,Javier Sanchez #118,7-6 6-2,Guillermo Vilas #65
"Nov 26, 1987*",Itaparica,ATP 250,R32,Hard,Cassio Motta #105,3-6 6-3 6-0,Amos Mansdorf #24
"Nov 26, 1987*",Itaparica,ATP 250,R32,Hard,Martin Jaite #15,6-3 3-6 6-1,Pablo Arraya #126
"Nov 26, 1987*",Itaparica,ATP 250,R32,Hard,Brad Gilbert #13,5-7 7-6 6-2,Roberto Saad #155
"Nov 26, 1987*",Itaparica,ATP 250,R32,Hard,Andres Gomez #10,6-3 7-6,Derrick Rostagno #58
"Nov 26, 1987*",Itaparica,ATP 250,R32,Hard,Jaime Yzaga #78,6-2 6-4,Alberto Tous #72
"Nov 22, 1987*",Buenos Aires,ATP 250,F,Clay,Guillermo Perez-Roldan #23,3-2 (ret.),Jay Berger #53
"Nov 22, 1987*",Johannesburg,ATP 250,F,Hard,Pat Cash #7,7-6 4-6 2-6 6-0 6-1,Brad Gilbert #13
"Nov 21, 1987*",Buenos Aires,ATP 250,SF,Clay,Guillermo Perez-Roldan #23,6-3 6-1,Juan Aguilera #210
"Nov 21, 1987*",Johannesburg,ATP 250,SF,Hard,Pat Cash #7,6-3 7-6,Amos Mansdorf #18
"Nov 21, 1987*",Johannesburg,ATP 250,SF,Hard,Brad Gilbert #13,6-4 6-1,Andres Gomez #10
"Nov 21, 1987*",Buenos Aires,ATP 250,SF,Clay,Jay Berger #53,2-6 7-6 6-4,Pablo Arraya #169
"Nov 21, 1987*",Buenos Aires,ATP 250,QF,Clay,Guillermo Perez-Roldan #23,4-6 6-1 6-4,Cassio Motta #109
"Nov 21, 1987*",Buenos Aires,ATP 250,QF,Clay,Pablo Arraya #169,6-2 1-6 6-3,Martin Jaite #15
"Nov 21, 1987*",Johannesburg,ATP 250,QF,Hard,Amos Mansdorf #18,0-6 6-3 6-3,Francesco Cancellotti #86
"Nov 21, 1987*",Johannesburg,ATP 250,QF,Hard,Pat Cash #7,2-6 6-3 6-4,Kevin Curren #41
"Nov 21, 1987*",Johannesburg,ATP 250,QF,Hard,Brad Gilbert #13,(w/o),Jakob Hlasek #25
"Nov 21, 1987*",Buenos Aires,ATP 250,QF,Clay,Jay Berger #53,6-7 6-3 6-4,Horacio de la Pena #97
"Nov 21, 1987*",Johannesburg,ATP 250,QF,Hard,Andres Gomez #10,6-1 6-3,Gary Muller
"Nov 21, 1987*",Buenos Aires,ATP 250,QF,Clay,Juan Aguilera #210,6-2 5-7 6-0,Gustavo Garetto #233
"Nov 20, 1987*",Johannesburg,ATP 250,R16,Hard,Kevin Curren #41,6-4 6-4,Tim Wilkison #51
"Nov 20, 1987*",Johannesburg,ATP 250,R16,Hard,Francesco Cancellotti #86,5-7 7-6 6-3,David Pate #21
"Nov 20, 1987*",Buenos Aires,ATP 250,R16,Clay,Jay Berger #53,6-2 4-6 6-4,Franco Davin #168
"Nov 20, 1987*",Buenos Aires,ATP 250,R16,Clay,Pablo Arraya #169,6-3 6-4,Pedro Rebolledo #84
"Nov 20, 1987*",Johannesburg,ATP 250,R16,Hard,Brad Gilbert #13,6-2 6-1,Pieter Aldrich #209
"Nov 20, 1987*",Buenos Aires,ATP 250,R16,Clay,Juan Aguilera #210,6-1 6-0,Horst Skoff #60
"Nov 20, 1987*",Buenos Aires,ATP 250,R16,Clay,Gustavo Garetto #233,6-4 6-7 6-3,Javier Frana #146
"Nov 20, 1987*",Johannesburg,ATP 250,R16,Hard,Andres Gomez #10,6-2 6-4,Guy Forget #59
"Nov 20, 1987*",Buenos Aires,ATP 250,R16,Clay,Martin Jaite #15,6-3 6-1,Marcelo Ingaramo #187
"Nov 20, 1987*",Johannesburg,ATP 250,R16,Hard,Amos Mansdorf #18,6-4 6-4,Richey Reneberg #81
"Nov 20, 1987*",Buenos Aires,ATP 250,R16,Clay,Guillermo Perez-Roldan #23,6-3 6-0,Alberto Mancini #140
"Nov 20, 1987*",Johannesburg,ATP 250,R16,Hard,Pat Cash #7,6-3 6-2,Matt Anger #63
"Nov 20, 1987*",Buenos Aires,ATP 250,R16,Clay,Horacio de la Pena #97,6-1 2-6 6-3,Eduardo Bengoechea #24
"Nov 20, 1987*",Johannesburg,ATP 250,R16,Hard,Gary Muller,6-4 6-4,Henri Leconte #22
"Nov 20, 1987*",Johannesburg,ATP 250,R16,Hard,Jakob Hlasek #25,(w/o),Simon Youl #127
"Nov 20, 1987*",Buenos Aires,ATP 250,R16,Clay,Cassio Motta #109,6-3 6-3,Gustavo Guerrero #285
"Nov 19, 1987*",Buenos Aires,ATP 250,R32,Clay,Horst Skoff #60,2-6 6-1 7-6,Hans Schwaier #163
"Nov 19, 1987*",Johannesburg,ATP 250,R32,Hard,Brad Gilbert #13,6-2 6-0,Michael Westphal #194
