date,tournament,player1,player2,odd1,odd2
2026-01-01,Futures 2025,Jianu F.,Delage P.,1.18,4.37
2026-01-01,Futures 2025,Bennani R.,Garcia Longo N.,1.05,7.84
2026-01-01,Futures 2025,Toffanin N.,M'chich A.,1.86,1.84
2026-01-01,Futures 2025,Chepelev A.,Lahjomri Y.,1.04,8.44
2026-01-01,Futures 2025,Andreev A.,Mencaglia S.,1.1,5.93
2026-01-01,Futures 2025,Cuenin S.,De Krom M.,1.61,2.2
2026-01-01,Futures 2025,Sanchez Quilez A.,Perfetti N.,1.25,3.65
2026-01-01,Futures 2025,Dedura-Palomero D.,Miletich I.,1.18,4.41
2026-01-01,Futures 2025,Baragiola Mordini T.,Ngijol Carre P.,1.32,2.73
2026-01-01,Futures 2025,Dugardin R.,Dong C.,1.92,1.79
2026-01-01,Futures 2025,Munk Mesa B.,Sarksian D.,1.59,2.23
2026-01-01,Futures 2025,Kirkin E.,Yilmaz K.,1.14,4.97
2026-01-01,Futures 2025,D'Agostino S.,Bosio G.,2.29,1.56
2026-01-01,Futures 2025,Sakellaridis D.,Etty E.,1.04,9.51
2026-01-01,Futures 2025,Kelm Y.,Todoran M.,1.43,2.67
2026-01-01,Futures 2025,Derepasko T.,Shirur R.,1.11,5.56
2026-01-01,UTR Pro Tennis Series 3,Woestendick C.,Tyagi K.,1.2,3.82
2026-01-01,UTR Pro Tennis Series 3,Iantosca N.,Deem A.,1.2,3.75
2026-01-01,UTR Pro Tennis Series 3,Adesoro A.,Fayerman D.,1.15,4.47
2026-01-01,UTR Pro Tennis Series 3,Komopisut P.,Kilmer L.,1.45,2.47
2026-01-01,UTR Pro Tennis Series 3,Gurenko V.,Hedgecoe D.,1.65,2.02
2026-01-01,UTR Pro Tennis Series 3,Siekanowicz P.,Mize K.,1.34,2.87
2026-01-01,UTR Pro Tennis Series 3,Kalinin A.,Henceroth C.,1.25,3.3
2026-01-01,UTR Pro Tennis Series 3,Day J.,Nejedly B.,1.3,3.07
2026-01-01,UTR Pro Tennis Series 3,Harazaki A.,Mahjoob C.,1.56,2.21
2026-01-01,UTR Pro Tennis Series 3,Mitsui S.,Yang V.,1.02,9.5
2026-01-01,UTR Pro Tennis Series 3,Ekpenyong D.,Kissell C.,5.33,1.1
2026-01-01,UTR Pro Tennis Series 3,Apltauer F.,Ross M.,1.82,1.82
2026-01-01,UTR Pro Tennis Series 9,Salim R.,Dillon C.,1.24,3.5
2026-01-01,UTR Pro Tennis Series 9,Konowczuk W.,Bakker S.,1.3,3.0
2026-01-01,UTR Pro Tennis Series 9,Aggarwal P.,Kolluru V.,1.28,3.15
2026-01-01,UTR Pro Tennis Series 9,Trismuwantara G.,Vishenchuk Vishenko D.,1.29,3.12
2026-01-01,UTR Pro Tennis Series 9,Pade L.,Lumanau C.,1.55,2.18
2026-01-01,UTR Pro Tennis Series 9,Kamath M.,Kos D.,1.18,4.0
2026-01-01,UTR Pro Tennis Series 9,Aguiard E.,Eldin R.,1.01,9.0
2026-01-02,United Cup,Tsitsipas S.,Mochizuki S.,1.41,2.89
2026-01-02,United Cup,Baez S.,Munar J.,4.39,1.21
2026-01-02,Futures 2025,Jianu F.,Toffanin N.,1.02,12.84
2026-01-02,Futures 2025,Bennani R.,Chepelev A.,1.63,2.15
2026-01-02,Futures 2025,Dedura-Palomero D.,Sanchez Quilez A.,1.33,2.97
2026-01-02,Futures 2025,Cuenin S.,Andreev A.,2.03,1.68
2026-01-02,Futures 2025,Baragiola Mordini T.,Munk Mesa B.,2.41,1.5
2026-01-02,Futures 2025,Kelm Y.,Kirkin E.,3.75,1.24
2026-01-02,Futures 2025,Dugardin R.,Derepasko T.,2.72,1.38
2026-01-02,Futures 2025,D'Agostino S.,Sakellaridis D.,1.92,1.79
2026-01-02,UTR Pro Tennis Series 3,Bain A.,Nejedly B.,1.69,1.97
2026-01-02,UTR Pro Tennis Series 3,Harazaki A.,Mitsui S.,4.1,1.18
2026-01-02,UTR Pro Tennis Series 3,Ciric A.,Govila A.,1.2,3.78
2026-01-02,UTR Pro Tennis Series 3,Tyagi K.,Gurenko V.,1.19,3.92
2026-01-02,UTR Pro Tennis Series 3,Adesoro A.,Robin C.,1.61,2.08
2026-01-02,UTR Pro Tennis Series 3,Dussault M.,Zamani A.,1.19,3.9
2026-01-02,UTR Pro Tennis Series 3,Komopisut P.,Bharathy N.,1.18,4.03
2026-01-02,UTR Pro Tennis Series 3,Apltauer F.,Nortey I.,1.34,2.88
2026-01-02,UTR Pro Tennis Series 3,Battle L.,Siekanowicz P.,2.26,1.54
2026-01-02,UTR Pro Tennis Series 3,Kalinin A.,Aronson S.,1.93,1.7
2026-01-02,UTR Pro Tennis Series 3,Chung J.,Spurling N.,2.11,1.6
2026-01-02,UTR Pro Tennis Series 3,Woestendick C.,Kakhniuk D.,1.17,4.17
2026-01-02,UTR Pro Tennis Series 3,Ross M.,Iantosca N.,1.14,4.57
2026-01-02,UTR Pro Tennis Series 3,Chung J.,Chinlund C.,2.41,1.47
2026-01-02,UTR Pro Tennis Series 3,Bharadwaj P.,Spurling N.,2.11,1.59
2026-01-02,UTR Pro Tennis Series 3,Rivera H.,Djakouris A.,1.27,3.17
2026-01-02,UTR Pro Tennis Series 3,Johnson S.,Breazu V.,1.23,3.6
2026-01-02,UTR Pro Tennis Series 3,Ventre A.,Cross J.,1.49,2.34
2026-01-02,UTR Pro Tennis Series 3,Djakouris C.,Di Giulio P.,1.3,3.07
2026-01-02,UTR Pro Tennis Series 5,Hammes T.,Koenders R.,1.15,4.35
2026-01-02,UTR Pro Tennis Series 5,Naw H.,Van Donselaar F.,1.05,6.75
2026-01-02,UTR Pro Tennis Series 5,Van Zijl T.,Admiraal A.,1.4,2.5
2026-01-02,UTR Pro Tennis Series 5,Bredschneijder O.,Steveker P.,1.78,1.85
2026-01-02,UTR Pro Tennis Series 5,Hamrouni Z.,Stuurman R.,1.53,2.29
2026-01-02,UTR Pro Tennis Series 5,Huysmans A.,Mos S.,1.82,1.82
2026-01-02,UTR Pro Tennis Series 5,Bozemoj S.,Bult J.,2.78,1.34
2026-01-02,UTR Pro Tennis Series 5,Naw H.,Steveker P.,1.2,3.7
2026-01-02,UTR Pro Tennis Series 5,Nijboer R.,Koenders R.,1.01,9.0
2026-01-02,UTR Pro Tennis Series 9,Kovarik D.,Konowczuk W.,1.8,1.8
2026-01-02,UTR Pro Tennis Series 9,Shen J.,Bakker S.,2.77,1.35
2026-01-02,UTR Pro Tennis Series 9,Salim R.,Aggarwal P.,1.42,2.5
2026-01-02,UTR Pro Tennis Series 9,Kos D.,Vishenchuk Vishenko D.,2.07,1.63
2026-01-02,UTR Pro Tennis Series 9,Aguiard E.,Dickson B.,1.02,13.5
2026-01-02,UTR Pro Tennis Series 9,Van Sambeek F.,Kolluru V.,1.02,13.0
2026-01-02,UTR Pro Tennis Series 9,Eldin R.,Lumanau C.,1.84,1.81
2026-01-03,United Cup,Baez S.,Fritz T.,9.32,1.06
2026-01-03,United Cup,Ruud C.,De Minaur A.,3.45,1.31
2026-01-03,United Cup,Wawrinka S.,Rinderknech A.,2.79,1.43
2026-01-03,United Cup,Zhang Z.,Bergs Z.,2.25,1.63
2026-01-03,Futures 2025,Dedura-Palomero D.,Bennani R.,1.42,2.67
2026-01-03,Futures 2025,Cuenin S.,Jianu F.,3.26,1.3
2026-01-03,Futures 2025,D'Agostino S.,Baragiola Mordini T.,1.42,2.64
2026-01-03,Futures 2025,Kelm Y.,Dugardin R.,1.95,1.76
2026-01-03,UTR Pro Tennis Series 3,Bain A.,Iantosca N.,1.71,1.93
2026-01-03,UTR Pro Tennis Series 3,Dussault M.,Day J.,1.27,3.13
2026-01-03,UTR Pro Tennis Series 3,Ross M.,Tyagi K.,1.7,1.94
2026-01-03,UTR Pro Tennis Series 3,Gurenko V.,Zamani A.,2.02,1.64
2026-01-03,UTR Pro Tennis Series 3,Kissell C.,Goncalves Ceolin J.,1.36,2.72
2026-01-03,UTR Pro Tennis Series 3,Nejedly B.,Koong A.,1.9,1.72
2026-01-03,UTR Pro Tennis Series 3,Woestendick C.,Apltauer F.,1.33,2.88
2026-01-03,UTR Pro Tennis Series 3,Ciric A.,Harazaki A.,2.1,1.6
2026-01-03,UTR Pro Tennis Series 3,Nortey I.,Ekpenyong D.,1.47,2.41
2026-01-03,UTR Pro Tennis Series 3,Kalinin A.,Battle L.,1.63,2.05
2026-01-03,UTR Pro Tennis Series 3,Adesoro A.,Komopisut P.,2.24,1.53
2026-01-03,UTR Pro Tennis Series 3,Hedgecoe D.,Deem A.,1.78,1.87
2026-01-03,UTR Pro Tennis Series 3,Goncalves Ceolin J.,Day J.,1.36,2.73
2026-01-03,UTR Pro Tennis Series 5,Hammes T.,Van Zijl T.,1.66,1.99
2026-01-03,UTR Pro Tennis Series 5,Van Donselaar F.,Kaak M.,1.03,9.75
2026-01-03,UTR Pro Tennis Series 5,Bredschneijder O.,Huysmans A.,1.18,4.03
2026-01-03,UTR Pro Tennis Series 5,Steveker P.,Mos S.,1.25,3.45
2026-01-03,UTR Pro Tennis Series 5,Nijboer R.,Hamrouni Z.,1.28,3.17
2026-01-03,UTR Pro Tennis Series 5,Stuurman R.,Desousa J.,1.24,3.53
2026-01-03,UTR Pro Tennis Series 5,Bult J.,Admiraal A.,2.85,1.33
2026-01-03,UTR Pro Tennis Series 5,Waterbolk I.,Bozemoj S.,1.33,2.88
2026-01-03,UTR Pro Tennis Series 5,Naw H.,Hill S.,1.99,1.68
2026-01-03,UTR Pro Tennis Series 9,Salim R.,Pade M.,2.81,1.34
2026-01-03,UTR Pro Tennis Series 9,Aggarwal P.,Shen J.,1.34,2.85
2026-01-03,UTR Pro Tennis Series 9,Van Sambeek F.,Trismuwantara G.,1.49,2.34
2026-01-03,UTR Pro Tennis Series 9,Bakker S.,Lumanau C.,1.36,2.77
2026-01-03,UTR Pro Tennis Series 9,Eldin R.,Kos D.,1.49,2.37
2026-01-03,UTR Pro Tennis Series 9,Aguiard E.,Kovarik D.,1.04,8.5
2026-01-03,Brisbane,Arnaldi M. (1),Gaston H.,1.49,2.57
2026-01-03,Brisbane,Halys Q.,Spizzirri E. (11),2.14,1.68
2026-01-03,Brisbane,Majchrzak K. (2),Hewitt C.,1.12,5.98
2026-01-03,Brisbane,Hijikata R.,Misolic F. (8),1.41,2.79
2026-01-03,Brisbane,Duckworth J. (10),Schoolkate T.,1.67,2.16
2026-01-03,Brisbane,Atmane T. (3),Hanfmann Y.,1.95,1.81
2026-01-03,Brisbane,O'Connell C.,Basilashvili N.,1.6,1.88
2026-01-03,Brisbane,Quinn E. (5),Bonzi B.,1.83,1.92
2026-01-03,Brisbane,Sweeny D.,Fearnley J. (6),2.71,1.44
2026-01-03,Brisbane,Cazaux A. (4),Landaluce M.,1.47,2.61
2026-01-03,Brisbane,Carreno-Busta P.,Bellucci M. (7),1.75,2.0
2026-01-03,Brisbane,Collignon R. (9),Shevchenko A.,1.39,2.86
2026-01-04,United Cup,Cobolli F.,Wawrinka S.,1.29,3.57
2026-01-04,United Cup,Auger Aliassime F.,Zhang Z.,1.28,3.62
2026-01-04,United Cup,Harris B.,Mochizuki S.,2.52,1.51
2026-01-04,United Cup,Zverev A.,Griekspoor T.,1.36,3.08
2026-01-04,Brisbane,Tien L. (8),Ugo Carabelli C.,1.16,5.22
2026-01-04,Brisbane,Tiafoe F.,Vukic A.,1.49,2.61
2026-01-04,Futures 2025,Cuenin S.,Dedura-Palomero D.,2.57,1.43
2026-01-04,Futures 2025,Kelm Y.,D'Agostino S.,2.28,1.52
2026-01-04,UTR Pro Tennis Series,Estephan J.,Zhao C.,1.32,3.0
2026-01-04,UTR Pro Tennis Series,Tomkins S.,Welch O.,2.06,1.63
2026-01-04,UTR Pro Tennis Series 3,Butera L.,Sachdev R.,1.33,2.85
2026-01-04,UTR Pro Tennis Series 3,Kilmer L.,Chang J.,1.88,1.74
2026-01-04,UTR Pro Tennis Series 3,Johnston N.,Spurling N.,1.2,3.68
2026-01-04,UTR Pro Tennis Series 3,Jansen W.,Ahmad C.,1.05,6.5
2026-01-04,UTR Pro Tennis Series 3,Ross M.,Dussault M.,2.4,1.48
2026-01-04,UTR Pro Tennis Series 3,Gurenko V.,Bain A.,4.03,1.18
2026-01-04,UTR Pro Tennis Series 3,Hedgecoe D.,Nejedly B.,2.52,1.43
2026-01-04,UTR Pro Tennis Series 3,Woestendick C.,Kissell C.,1.51,2.31
2026-01-04,UTR Pro Tennis Series 3,Kakhniuk D.,Nortey I.,1.43,2.52
2026-01-04,UTR Pro Tennis Series 5,Bharadwaj S.,Weber J.,1.07,6.0
2026-01-04,UTR Pro Tennis Series 5,Kotzen A.,Severance S.,1.45,2.4
2026-01-04,UTR Pro Tennis Series 5,Battle L.,Chen D.,3.8,1.19
2026-01-04,UTR Pro Tennis Series 5,Naw H.,Nijboer R.,1.65,1.98
2026-01-04,UTR Pro Tennis Series 5,Koenders R.,Van Donselaar F.,2.2,1.55
2026-01-04,UTR Pro Tennis Series 5,Hammes T.,Bredschneijder O.,1.36,2.73
2026-01-04,UTR Pro Tennis Series 5,Stuurman R.,Waterbolk I.,1.15,4.35
2026-01-04,UTR Pro Tennis Series 5,Steveker P.,Bult J.,1.22,3.73
2026-01-04,UTR Pro Tennis Series 9,Salim R.,Konowczuk W.,2.2,1.55
2026-01-04,UTR Pro Tennis Series 9,Bakker S.,Vishenchuk Vishenko D.,1.88,1.76
2026-01-04,UTR Pro Tennis Series 9,Aguiard E.,Van Sambeek F.,1.66,1.99
2026-01-04,UTR Pro Tennis Series 9,Eldin R.,Aggarwal P.,1.82,1.82
2026-01-04,Bangalore challenger,Gautier A.,Dzhavakian Y. (6),1.59,2.16
2026-01-04,Bangalore challenger,Balshaw F. (12),Kukasian A.,1.46,2.58
2026-01-04,Bangalore challenger,Rawat S. (10),Sinha N.,1.28,3.43
2026-01-04,Bangalore challenger,Vasa E. (2),Kalyanpur A.,1.07,7.49
