#,player,years,peak elo,set margin
118,Denis Shapovalov,2017–2026,"2,011",+0.28
119,Viktor Troicki,2006–2022,"2,009",-0.07
120,Guillermo Canas,1995–2010,"2,008",+0.48
121,Mischa Zverev,2005–2024,"2,007",-0.54
122,Kyle Edmund,2012–2026,"2,002",+0.11
123,Alex Corretja,1991–2006,"2,002",+0.57
124,Jan-Lennard Struff,2009–2026,"2,001",-0.11
125,Mats Wilander,1979–1997,"1,999",-0.07
126,Gaston Gaudio,1996–2011,"1,998",+0.30
127,Ivo Karlovic,2000–2022,"1,998",+0.10
128,Paradorn Srichaphan,1997–2008,"1,997",+0.12
129,Karel Novacek,1984–1997,"1,997",+0.39
130,Albert Costa,1992–2007,"1,996",+0.43
131,Emilio Sanchez,1983–1999,"1,996",+0.18
132,Karol Kucera,1990–2006,"1,994",+0.17
133,Marton Fucsovics,2010–2026,"1,992",+0.10
134,Brad Gilbert,1982–1996,"1,992",+0.47
135,Tomas Machac,2018–2026,"1,989",+0.22
136,Rainer Schuettler,1995–2013,"1,989",+0.06
137,Jakub Mensik,2022–2026,"1,986",+0.60
138,Aslan Karatsev,2011–2026,"1,985",0.00
139,Nicolas Kiefer,1995–2011,"1,984",+0.49
140,David Wheaton,1986–2002,"1,984",+0.29
141,Filip Krajinovic,2008–2025,"1,984",-0.08
142,Cedric Pioline,1987–2003,"1,983",+0.31
143,Alberto Berasategui,1990–2002,"1,983",+0.43
144,Steve Johnson,2012–2025,"1,981",-0.04
145,Martin Klizan,2007–2026,"1,979",-0.16
146,Andreas Seppi,2002–2023,"1,977",-0.22
147,Tallon Griekspoor,2015–2026,"1,977",-0.08
148,Alejandro Davidovich Fokina,2017–2026,"1,974",+0.14
149,Reilly Opelka,2015–2026,"1,973",+0.04
150,Arnaud Clement,1996–2013,"1,972",-0.06
151,Thomas Johansson,1994–2010,"1,969",+0.27
152,Bernard Tomic,2008–2026,"1,968",-0.14
153,Jeremy Chardy,2005–2024,"1,968",-0.15
154,Albert Ramos-Vinolas,2007–2026,"1,966",-0.21
155,Francisco Cerundolo,2018–2026,"1,966",+0.41
156,Adrian Mannarino,2004–2026,"1,966",-0.26
157,Martin Jaite,1983–1994,"1,965",0.00
158,Jenson Brooksby,2021–2026,"1,964",0.00
159,Ivan Dodig,2004–2018,"1,964",-0.08
160,Jerzy Janowicz,2007–2023,"1,962",-0.16
161,Paul-Henri Mathieu,1999–2018,"1,961",+0.03
162,Carlos Costa,1986–2000,"1,960",+0.48
163,Pablo Cuevas,2004–2024,"1,960",+0.03
164,Sebastien Grosjean,1996–2011,"1,960",+0.62
165,Felix Mantilla,1993–2008,"1,960",+0.43
166,Vasek Pospisil,2007–2025,"1,958",-0.24
167,Tim Mayotte,1978–1993,"1,957",—
168,Jan-Michael Gambill,1996–2011,"1,956",+0.28
169,Julien Benneteau,2000–2018,"1,955",-0.18
170,Florian Mayer,2001–2018,"1,955",-0.13
171,Nikoloz Basilashvili,2008–2026,"1,953",-0.45
172,Andrey Kuznetsov,2008–2024,"1,953",-0.52
173,Marcos Baghdatis,2003–2020,"1,952",+0.34
174,Damir Dzumhur,2011–2026,"1,951",-0.47
