player2,round,player1,gender,file,tournament,date
Gabriele Felline,F,Jannik Sinner,M,20131001-M-Nike_Junior_Tour-F-Jannik_Sinner-Gabriele_Felline.html,Nike Junior Tour,2013-10-01
Gianluigi Quinzi,QF,Jannik Sinner,M,20190222-M-Bergamo_CH-QF-Jannik_Sinner-Gianluigi_Quinzi.html,Bergamo CH,2019-02-22
Jannik Sinner,F,Roberto Marcora,M,20190224-M-Bergamo_CH-F-Roberto_Marcora-Jannik_Sinner.html,Bergamo CH,2019-02-24
Jannik Sinner,R64,Carlos Alcaraz,M,20190402-M-Alicante_CH-R64-Carlos_Alcaraz-Jannik_Sinner.html,Alicante CH,2019-04-02
Mate Valkusz,R32,Jannik Sinner,M,20190424-M-Budapest-R32-Jannik_Sinner-Mate_Valkusz.html,Budapest,2019-04-24
Jannik Sinner,R16,Laslo Djere,M,20190425-M-Budapest-R16-Laslo_Djere-Jannik_Sinner.html,Budapest,2019-04-25
Jannik Sinner,F,Kamil Majchrzak,M,20190505-M-Ostrava_CH-F-Kamil_Majchrzak-Jannik_Sinner.html,Ostrava CH,2019-05-05
Lorenzo Musetti,PQ,Jannik Sinner,M,20190508-M-Rome_Masters-PQ-Jannik_Sinner-Lorenzo_Musetti.html,Rome Masters,2019-05-08
Jannik Sinner,R64,Steve Johnson,M,20190512-M-Rome_Masters-R64-Steve_Johnson-Jannik_Sinner.html,Rome Masters,2019-05-12
Jannik Sinner,R32,Stefanos Tsitsipas,M,20190516-M-Rome_Masters-R32-Stefanos_Tsitsipas-Jannik_Sinner.html,Rome Masters,2019-05-16
Jannik Sinner,F,Alex Bolt,M,20190804-M-Lexington_CH-F-Alex_Bolt-Jannik_Sinner.html,Lexington CH,2019-08-04
Jannik Sinner,R128,Stan Wawrinka,M,20190827-M-US_Open-R128-Stan_Wawrinka-Jannik_Sinner.html,US Open,2019-08-27
Jannik Sinner,R32,Mikhail Kukushkin,M,20190916-M-St_Petersburg-R32-Mikhail_Kukushkin-Jannik_Sinner.html,St Petersburg,2019-09-16
Jannik Sinner,R32,Kamil Majchrzak,M,20191015-M-Antwerp-R32-Kamil_Majchrzak-Jannik_Sinner.html,Antwerp,2019-10-15
Jannik Sinner,R16,Gael Monfils,M,20191017-M-Antwerp-R16-Gael_Monfils-Jannik_Sinner.html,Antwerp,2019-10-17
Jannik Sinner,QF,Francis Tiafoe,M,20191018-M-Antwerp-QF-Francis_Tiafoe-Jannik_Sinner.html,Antwerp,2019-10-18
Jannik Sinner,SF,Stan Wawrinka,M,20191019-M-Antwerp-SF-Stan_Wawrinka-Jannik_Sinner.html,Antwerp,2019-10-19
Philipp Kohlschreiber,R32,Jannik Sinner,M,20191022-M-Vienna-R32-Jannik_Sinner-Philipp_Kohlschreiber.html,Vienna,2019-10-22
Jannik Sinner,R16,Gael Monfils,M,20191024-M-Vienna-R16-Gael_Monfils-Jannik_Sinner.html,Vienna,2019-10-24
Frances Tiafoe,RR,Jannik Sinner,M,20191105-M-NextGen_Finals-RR-Jannik_Sinner-Frances_Tiafoe.html,NextGen Finals,2019-11-05
Mikael Ymer,RR,Jannik Sinner,M,20191106-M-NextGen_Finals-RR-Jannik_Sinner-Mikael_Ymer.html,NextGen Finals,2019-11-06
Miomir Kecmanovic,SF,Jannik Sinner,M,20191108-M-NextGen_Finals-SF-Jannik_Sinner-Miomir_Kecmanovic.html,NextGen Finals,2019-11-08
Alex De Minaur,F,Jannik Sinner,M,20191109-M-NextGen_Finals-F-Jannik_Sinner-Alex_De_Minaur.html,NextGen Finals,2019-11-09
Jannik Sinner,F,Sebastian Ofner,M,20191117-M-Ortisei_CH-F-Sebastian_Ofner-Jannik_Sinner.html,Ortisei CH,2019-11-17
Benoit Paire,R32,Jannik Sinner,M,20200113-M-Auckland-R32-Jannik_Sinner-Benoit_Paire.html,Auckland,2020-01-13
Marton Fucsovics,R64,Jannik Sinner,M,20200122-M-Australian_Open-R64-Jannik_Sinner-Marton_Fucsovics.html,Australian Open,2020-01-22
Jannik Sinner,R32,Mikael Ymer,M,20200204-M-Montpellier-R32-Mikael_Ymer-Jannik_Sinner.html,Montpellier,2020-02-04
David Goffin,R16,Jannik Sinner,M,20200213-M-Rotterdam-R16-Jannik_Sinner-David_Goffin.html,Rotterdam,2020-02-13
Pablo Carreno Busta,QF,Jannik Sinner,M,20200214-M-Rotterdam-QF-Jannik_Sinner-Pablo_Carreno_Busta.html,Rotterdam,2020-02-14
Daniil Medvedev,R16,Jannik Sinner,M,20200220-M-Marseille-R16-Jannik_Sinner-Daniil_Medvedev.html,Marseille,2020-02-20
Karen Khachanov,R128,Jannik Sinner,M,20200831-M-US_Open-R128-Jannik_Sinner-Karen_Khachanov.html,US Open,2020-08-31
Jannik Sinner,R32,Stefanos Tsitsipas,M,20200916-M-Rome_Masters-R32-Stefanos_Tsitsipas-Jannik_Sinner.html,Rome Masters,2020-09-16
David Goffin,R128,Jannik Sinner,M,20200928-M-Roland_Garros-R128-Jannik_Sinner-David_Goffin.html,Roland Garros,2020-09-28
Jannik Sinner,R64,Benjamin Bonzi,M,20200930-M-Roland_Garros-R64-Benjamin_Bonzi-Jannik_Sinner.html,Roland Garros,2020-09-30
Federico Coria,R32,Jannik Sinner,M,20201002-M-Roland_Garros-R32-Jannik_Sinner-Federico_Coria.html,Roland Garros,2020-10-02
Alexander Zverev,R16,Jannik Sinner,M,20201004-M-Roland_Garros-R16-Jannik_Sinner-Alexander_Zverev.html,Roland Garros,2020-10-04
Jannik Sinner,QF,Rafael Nadal,M,20201006-M-Roland_Garros-QF-Rafael_Nadal-Jannik_Sinner.html,Roland Garros,2020-10-06
Jannik Sinner,F,Vasek Pospisil,M,20201114-M-Sofia-F-Vasek_Pospisil-Jannik_Sinner.html,Sofia,2020-11-14
Stefano Travaglia,F,Jannik Sinner,M,20210207-M-Great_Ocean_Road_Open-F-Jannik_Sinner-Stefano_Travaglia.html,Great Ocean Road Open,2021-02-07
Denis Shapovalov,R128,Jannik Sinner,M,20210208-M-Australian_Open-R128-Jannik_Sinner-Denis_Shapovalov.html,Australian Open,2021-02-08
Daniil Medvedev,QF,Jannik Sinner,M,20210312-M-Marseille-QF-Jannik_Sinner-Daniil_Medvedev.html,Marseille,2021-03-12
Aslan Karatsev,QF,Jannik Sinner,M,20210318-M-Dubai-QF-Jannik_Sinner-Aslan_Karatsev.html,Dubai,2021-03-18
Emil Ruusuvuori,R16,Jannik Sinner,M,20210330-M-Miami_Masters-R16-Jannik_Sinner-Emil_Ruusuvuori.html,Miami Masters,2021-03-30
Alexander Bublik,QF,Jannik Sinner,M,20210331-M-Miami_Masters-QF-Jannik_Sinner-Alexander_Bublik.html,Miami Masters,2021-03-31
Roberto Bautista Agut,SF,Jannik Sinner,M,20210402-M-Miami_Masters-SF-Jannik_Sinner-Roberto_Bautista_Agut.html,Miami Masters,2021-04-02
Jannik Sinner,F,Hubert Hurkacz,M,20210404-M-Miami_Masters-F-Hubert_Hurkacz-Jannik_Sinner.html,Miami Masters,2021-04-04
Jannik Sinner,QF,Andrey Rublev,M,20210423-M-Barcelona-QF-Andrey_Rublev-Jannik_Sinner.html,Barcelona,2021-04-23
Jannik Sinner,SF,Stefanos Tsitsipas,M,20210424-M-Barcelona-SF-Stefanos_Tsitsipas-Jannik_Sinner.html,Barcelona,2021-04-24
Jannik Sinner,R128,Pierre Hugues Herbert,M,20210531-M-Roland_Garros-R128-Pierre_Hugues_Herbert-Jannik_Sinner.html,Roland Garros,2021-05-31
Gianluca Mager,R64,Jannik Sinner,M,20210602-M-Roland_Garros-R64-Jannik_Sinner-Gianluca_Mager.html,Roland Garros,2021-06-02
Jannik Sinner,R16,Rafael Nadal,M,20210607-M-Roland_Garros-R16-Rafael_Nadal-Jannik_Sinner.html,Roland Garros,2021-06-07
Marton Fucsovics,R128,Jannik Sinner,M,20210629-M-Wimbledon-R128-Jannik_Sinner-Marton_Fucsovics.html,Wimbledon,2021-06-29
Emil Ruusuvuori,R32,Jannik Sinner,M,20210804-M-Washington-R32-Jannik_Sinner-Emil_Ruusuvuori.html,Washington,2021-08-04
Jannik Sinner,R16,Sebastian Korda,M,20210805-M-Washington-R16-Sebastian_Korda-Jannik_Sinner.html,Washington,2021-08-05
Jannik Sinner,QF,Steve Johnson,M,20210806-M-Washington-QF-Steve_Johnson-Jannik_Sinner.html,Washington,2021-08-06
Jannik Sinner,SF,Jenson Brooksby,M,20210807-M-Washington-SF-Jenson_Brooksby-Jannik_Sinner.html,Washington,2021-08-07
Mackenzie Mcdonald,F,Jannik Sinner,M,20210808-M-Washington-F-Jannik_Sinner-Mackenzie_Mcdonald.html,Washington,2021-08-08
Gael Monfils,R32,Jannik Sinner,M,20210904-M-US_Open-R32-Jannik_Sinner-Gael_Monfils.html,US Open,2021-09-04
Alexander Zverev,R16,Jannik Sinner,M,20210906-M-US_Open-R16-Jannik_Sinner-Alexander_Zverev.html,US Open,2021-09-06
Gael Monfils,F,Jannik Sinner,M,20211003-M-Sofia-F-Jannik_Sinner-Gael_Monfils.html,Sofia,2021-10-03
Jannik Sinner,QF,Arthur Rinderknech,M,20211022-M-Antwerp-QF-Arthur_Rinderknech-Jannik_Sinner.html,Antwerp,2021-10-22
Jannik Sinner,F,Diego Schwartzman,M,20211024-M-Antwerp-F-Diego_Schwartzman-Jannik_Sinner.html,Antwerp,2021-10-24
Jannik Sinner,R32,Reilly Opelka,M,20211027-M-Vienna-R32-Reilly_Opelka-Jannik_Sinner.html,Vienna,2021-10-27
Jannik Sinner,QF,Casper Ruud,M,20211029-M-Vienna-QF-Casper_Ruud-Jannik_Sinner.html,Vienna,2021-10-29
Jannik Sinner,SF,Frances Tiafoe,M,20211030-M-Vienna-SF-Frances_Tiafoe-Jannik_Sinner.html,Vienna,2021-10-30
Jannik Sinner,R32,Carlos Alcaraz,M,20211103-M-Paris_Masters-R32-Carlos_Alcaraz-Jannik_Sinner.html,Paris Masters,2021-11-03
Jannik Sinner,RR,Hubert Hurkacz,M,20211116-M-Tour_Finals-RR-Hubert_Hurkacz-Jannik_Sinner.html,Tour Finals,2021-11-16
Daniil Medvedev,RR,Jannik Sinner,M,20211118-M-Tour_Finals-RR-Jannik_Sinner-Daniil_Medvedev.html,Tour Finals,2021-11-18
Jannik Sinner,RR,John Isner,M,20211126-M-Davis_Cup_Finals-RR-John_Isner-Jannik_Sinner.html,Davis Cup Finals,2021-11-26
Jannik Sinner,RR,Daniel Elahi Galan,M,20211127-M-Davis_Cup_Finals-RR-Daniel_Elahi_Galan-Jannik_Sinner.html,Davis Cup Finals,2021-11-27
Jannik Sinner,RR,Roman Safiullin,M,20220106-M-ATP_Cup-RR-Roman_Safiullin-Jannik_Sinner.html,ATP Cup,2022-01-06
Jannik Sinner,R64,Steve Johnson,M,20220120-M-Australian_Open-R64-Steve_Johnson-Jannik_Sinner.html,Australian Open,2022-01-20
Jannik Sinner,QF,Stefanos Tsitsipas,M,20220126-M-Australian_Open-QF-Stefanos_Tsitsipas-Jannik_Sinner.html,Australian Open,2022-01-26
Jannik Sinner,QF,Hubert Hurkacz,M,20220224-M-Dubai-QF-Hubert_Hurkacz-Jannik_Sinner.html,Dubai,2022-02-24
Jannik Sinner,R64,Emil Ruusuvuori,M,20220325-M-Miami_Masters-R64-Emil_Ruusuvuori-Jannik_Sinner.html,Miami Masters,2022-03-25
Jannik Sinner,R32,Pablo Carreno Busta,M,20220327-M-Miami_Masters-R32-Pablo_Carreno_Busta-Jannik_Sinner.html,Miami Masters,2022-03-27
Nick Kyrgios,R16,Jannik Sinner,M,20220329-M-Miami_Masters-R16-Jannik_Sinner-Nick_Kyrgios.html,Miami Masters,2022-03-29
Jannik Sinner,QF,Francisco Cerundolo,M,20220330-M-Miami_Masters-QF-Francisco_Cerundolo-Jannik_Sinner.html,Miami Masters,2022-03-30
Jannik Sinner,R64,Borna Coric,M,20220411-M-Monte_Carlo_Masters-R64-Borna_Coric-Jannik_Sinner.html,Monte Carlo Masters,2022-04-11
Jannik Sinner,R32,Emil Ruusuvuori,M,20220413-M-Monte_Carlo_Masters-R32-Emil_Ruusuvuori-Jannik_Sinner.html,Monte Carlo Masters,2022-04-13
Andrey Rublev,R16,Jannik Sinner,M,20220414-M-Monte_Carlo_Masters-R16-Jannik_Sinner-Andrey_Rublev.html,Monte Carlo Masters,2022-04-14
Jannik Sinner,QF,Alexander Zverev,M,20220415-M-Monte_Carlo_Masters-QF-Alexander_Zverev-Jannik_Sinner.html,Monte Carlo Masters,2022-04-15
Tommy Paul,R64,Jannik Sinner,M,20220502-M-Madrid_Masters-R64-Jannik_Sinner-Tommy_Paul.html,Madrid Masters,2022-05-02
Alex De Minaur,R32,Jannik Sinner,M,20220504-M-Madrid_Masters-R32-Jannik_Sinner-Alex_De_Minaur.html,Madrid Masters,2022-05-04
Jannik Sinner,R16,Felix Auger Aliassime,M,20220505-M-Madrid_Masters-R16-Felix_Auger_Aliassime-Jannik_Sinner.html,Madrid Masters,2022-05-05
Pedro Martinez,R64,Jannik Sinner,M,20220510-M-Rome_Masters-R64-Jannik_Sinner-Pedro_Martinez.html,Rome Masters,2022-05-10
Jannik Sinner,QF,Stefanos Tsitsipas,M,20220513-M-Rome_Masters-QF-Stefanos_Tsitsipas-Jannik_Sinner.html,Rome Masters,2022-05-13
Bjorn Fratangelo,R128,Jannik Sinner,M,20220524-M-Roland_Garros-R128-Jannik_Sinner-Bjorn_Fratangelo.html,Roland Garros,2022-05-24
Mackenzie Mcdonald,R16,Jannik Sinner,M,20220528-M-Roland_Garros-R16-Jannik_Sinner-Mackenzie_Mcdonald.html,Roland Garros,2022-05-28
Andrey Rublev,R16,Jannik Sinner,M,20220530-M-Roland_Garros-R16-Jannik_Sinner-Andrey_Rublev.html,Roland Garros,2022-05-30
Jannik Sinner,R16,Tommy Paul,M,20220622-M-Eastbourne-R16-Tommy_Paul-Jannik_Sinner.html,Eastbourne,2022-06-22
Stan Wawrinka,R128,Jannik Sinner,M,20220627-M-Wimbledon-R128-Jannik_Sinner-Stan_Wawrinka.html,Wimbledon,2022-06-27
Mikael Ymer,R64,Jannik Sinner,M,20220629-M-Wimbledon-R64-Jannik_Sinner-Mikael_Ymer.html,Wimbledon,2022-06-29
Jannik Sinner,R32,John Isner,M,20220701-M-Wimbledon-R32-John_Isner-Jannik_Sinner.html,Wimbledon,2022-07-01
Carlos Alcaraz,R16,Jannik Sinner,M,20220703-M-Wimbledon-R16-Jannik_Sinner-Carlos_Alcaraz.html,Wimbledon,2022-07-03
Jannik Sinner,QF,Novak Djokovic,M,20220705-M-Wimbledon-QF-Novak_Djokovic-Jannik_Sinner.html,Wimbledon,2022-07-05
Jannik Sinner,QF,Roberto Carballes Baena,M,20220729-M-Umag-QF-Roberto_Carballes_Baena-Jannik_Sinner.html,Umag,2022-07-29
Franco Agamenone,SF,Jannik Sinner,M,20220730-M-Umag-SF-Jannik_Sinner-Franco_Agamenone.html,Umag,2022-07-30
Carlos Alcaraz,F,Jannik Sinner,M,20220731-M-Umag-F-Jannik_Sinner-Carlos_Alcaraz.html,Umag,2022-07-31
Pablo Carreno Busta,R16,Jannik Sinner,M,20220812-M-Canada_Masters-R16-Jannik_Sinner-Pablo_Carreno_Busta.html,Canada Masters,2022-08-12
Felix Auger Aliassime,R16,Jannik Sinner,M,20220818-M-Cincinnati_Masters-R16-Jannik_Sinner-Felix_Auger_Aliassime.html,Cincinnati Masters,2022-08-18
Daniel Altmaier,R128,Jannik Sinner,M,20220830-M-US_Open-R128-Jannik_Sinner-Daniel_Altmaier.html,US Open,2022-08-30
Jannik Sinner,R64,Christopher Eubanks,M,20220901-M-US_Open-R64-Christopher_Eubanks-Jannik_Sinner.html,US Open,2022-09-01
Jannik Sinner,R32,Brandon Nakashima,M,20220903-M-US_Open-R32-Brandon_Nakashima-Jannik_Sinner.html,US Open,2022-09-03
Ilya Ivashka,R16,Jannik Sinner,M,20220905-M-US_Open-R16-Jannik_Sinner-Ilya_Ivashka.html,US Open,2022-09-05
Carlos Alcaraz,QF,Jannik Sinner,M,20220907-M-US_Open-QF-Jannik_Sinner-Carlos_Alcaraz.html,US Open,2022-09-07
Holger Rune,SF,Jannik Sinner,M,20221001-M-Sofia-SF-Jannik_Sinner-Holger_Rune.html,Sofia,2022-10-01
Cristian Garin,R32,Jannik Sinner,M,20221026-M-Vienna-R32-Jannik_Sinner-Cristian_Garin.html,Vienna,2022-10-26
Daniil Medvedev,QF,Jannik Sinner,M,20221028-M-Vienna-QF-Jannik_Sinner-Daniil_Medvedev.html,Vienna,2022-10-28
Thanasi Kokkinakis,R16,Jannik Sinner,M,20230105-M-Adelaide-R16-Jannik_Sinner-Thanasi_Kokkinakis.html,Adelaide,2023-01-05
Sebastian Korda,QF,Jannik Sinner,M,20230106-M-Adelaide-QF-Jannik_Sinner-Sebastian_Korda.html,Adelaide,2023-01-06
Jannik Sinner,R128,Kyle Edmund,M,20230116-M-Australian_Open-R128-Kyle_Edmund-Jannik_Sinner.html,Australian Open,2023-01-16
Tomas Martin Etcheverry,R64,Jannik Sinner,M,20230118-M-Australian_Open-R64-Jannik_Sinner-Tomas_Martin_Etcheverry.html,Australian Open,2023-01-18
Marton Fucsovics,R32,Jannik Sinner,M,20230120-M-Australian_Open-R32-Jannik_Sinner-Marton_Fucsovics.html,Australian Open,2023-01-20
Stefanos Tsitsipas,R16,Jannik Sinner,M,20230122-M-Australian_Open-R16-Jannik_Sinner-Stefanos_Tsitsipas.html,Australian Open,2023-01-22
Jannik Sinner,SF,Arthur Fils,M,20230211-M-Montpellier-SF-Arthur_Fils-Jannik_Sinner.html,Montpellier,2023-02-11
Jannik Sinner,F,Maxime Cressy,M,20230212-M-Montpellier-F-Maxime_Cressy-Jannik_Sinner.html,Montpellier,2023-02-12
Jannik Sinner,R16,Stefanos Tsitsipas,M,20230215-M-Rotterdam-R16-Stefanos_Tsitsipas-Jannik_Sinner.html,Rotterdam,2023-02-15
Jannik Sinner,QF,Stan Wawrinka,M,20230216-M-Rotterdam-QF-Stan_Wawrinka-Jannik_Sinner.html,Rotterdam,2023-02-16
Tallon Griekspoor,SF,Jannik Sinner,M,20230218-M-Rotterdam-SF-Jannik_Sinner-Tallon_Griekspoor.html,Rotterdam,2023-02-18
Daniil Medvedev,F,Jannik Sinner,M,20230219-M-Rotterdam-F-Jannik_Sinner-Daniil_Medvedev.html,Rotterdam,2023-02-19
Richard Gasquet,R64,Jannik Sinner,M,20230311-M-Indian_Wells_Masters-R64-Jannik_Sinner-Richard_Gasquet.html,Indian Wells Masters,2023-03-11
Adrian Mannarino,R32,Jannik Sinner,M,20230312-M-Indian_Wells_Masters-R32-Jannik_Sinner-Adrian_Mannarino.html,Indian Wells Masters,2023-03-12
Carlos Alcaraz,SF,Jannik Sinner,M,20230318-M-Indian_Wells_Masters-SF-Jannik_Sinner-Carlos_Alcaraz.html,Indian Wells Masters,2023-03-18
Laslo Djere,R64,Jannik Sinner,M,20230324-M-Miami_Masters-R64-Jannik_Sinner-Laslo_Djere.html,Miami Masters,2023-03-24
Jannik Sinner,R32,Grigor Dimitrov,M,20230326-M-Miami_Masters-R32-Grigor_Dimitrov-Jannik_Sinner.html,Miami Masters,2023-03-26
Jannik Sinner,R16,Andrey Rublev,M,20230328-M-Miami_Masters-R16-Andrey_Rublev-Jannik_Sinner.html,Miami Masters,2023-03-28
Jannik Sinner,QF,Emil Ruusuvuori,M,20230330-M-Miami_Masters-QF-Emil_Ruusuvuori-Jannik_Sinner.html,Miami Masters,2023-03-30
Carlos Alcaraz,SF,Jannik Sinner,M,20230401-M-Miami_Masters-SF-Jannik_Sinner-Carlos_Alcaraz.html,Miami Masters,2023-04-01
Jannik Sinner,F,Daniil Medvedev,M,20230402-M-Miami_Masters-F-Daniil_Medvedev-Jannik_Sinner.html,Miami Masters,2023-04-02
Jannik Sinner,R32,Diego Schwartzman,M,20230412-M-Monte_Carlo_Masters-R32-Diego_Schwartzman-Jannik_Sinner.html,Monte Carlo Masters,2023-04-12
Jannik Sinner,R16,Hubert Hurkacz,M,20230413-M-Monte_Carlo_Masters-R16-Hubert_Hurkacz-Jannik_Sinner.html,Monte Carlo Masters,2023-04-13
Jannik Sinner,QF,Lorenzo Musetti,M,20230414-M-Monte_Carlo_Masters-QF-Lorenzo_Musetti-Jannik_Sinner.html,Monte Carlo Masters,2023-04-14
Holger Rune,SF,Jannik Sinner,M,20230415-M-Monte_Carlo_Masters-SF-Jannik_Sinner-Holger_Rune.html,Monte Carlo Masters,2023-04-15
Thanasi Kokkinakis,R64,Jannik Sinner,M,20230512-M-Rome_Masters-R64-Jannik_Sinner-Thanasi_Kokkinakis.html,Rome Masters,2023-05-12
Jannik Sinner,R32,Alexander Shevchenko,M,20230514-M-Rome_Masters-R32-Alexander_Shevchenko-Jannik_Sinner.html,Rome Masters,2023-05-14
Jannik Sinner,R16,Francisco Cerundolo,M,20230516-M-Rome_Masters-R16-Francisco_Cerundolo-Jannik_Sinner.html,Rome Masters,2023-05-16
Alexandre Muller,R128,Jannik Sinner,M,20230529-M-Roland_Garros-R128-Jannik_Sinner-Alexandre_Muller.html,Roland Garros,2023-05-29
Daniel Altmaier,R64,Jannik Sinner,M,20230601-M-Roland_Garros-R64-Jannik_Sinner-Daniel_Altmaier.html,Roland Garros,2023-06-01
Jannik Sinner,R16,Alexander Bublik,M,20230614-M-s_Hertogenbosch-R16-Alexander_Bublik-Jannik_Sinner.html,s Hertogenbosch,2023-06-14
Jannik Sinner,QF,Emil Ruusuvuori,M,20230616-M-s_Hertogenbosch-QF-Emil_Ruusuvuori-Jannik_Sinner.html,s Hertogenbosch,2023-06-16
Richard Gasquet,R32,Jannik Sinner,M,20230620-M-Halle-R32-Jannik_Sinner-Richard_Gasquet.html,Halle,2023-06-20
Lorenzo Sonego,R16,Jannik Sinner,M,20230622-M-Halle-R16-Jannik_Sinner-Lorenzo_Sonego.html,Halle,2023-06-22
Jannik Sinner,QF,Alexander Bublik,M,20230623-M-Halle-QF-Alexander_Bublik-Jannik_Sinner.html,Halle,2023-06-23
Jannik Sinner,R128,Juan Manuel Cerundolo,M,20230703-M-Wimbledon-R128-Juan_Manuel_Cerundolo-Jannik_Sinner.html,Wimbledon,2023-07-03
Diego Schwartzman,R64,Jannik Sinner,M,20230705-M-Wimbledon-R64-Jannik_Sinner-Diego_Schwartzman.html,Wimbledon,2023-07-05
Jannik Sinner,R32,Quentin Halys,M,20230707-M-Wimbledon-R32-Quentin_Halys-Jannik_Sinner.html,Wimbledon,2023-07-07
Jannik Sinner,R16,Daniel Elahi Galan,M,20230709-M-Wimbledon-R16-Daniel_Elahi_Galan-Jannik_Sinner.html,Wimbledon,2023-07-09
Jannik Sinner,QF,Roman Safiullin,M,20230711-M-Wimbledon-QF-Roman_Safiullin-Jannik_Sinner.html,Wimbledon,2023-07-11
Jannik Sinner,SF,Novak Djokovic,M,20230714-M-Wimbledon-SF-Novak_Djokovic-Jannik_Sinner.html,Wimbledon,2023-07-14
Matteo Berrettini,R32,Jannik Sinner,M,20230809-M-Canada_Masters-R32-Jannik_Sinner-Matteo_Berrettini.html,Canada Masters,2023-08-09
Gael Monfils,QF,Jannik Sinner,M,20230811-M-Canada_Masters-QF-Jannik_Sinner-Gael_Monfils.html,Canada Masters,2023-08-11
Tommy Paul,SF,Jannik Sinner,M,20230812-M-Canada_Masters-SF-Jannik_Sinner-Tommy_Paul.html,Canada Masters,2023-08-12
Alex De Minaur,F,Jannik Sinner,M,20230813-M-Canada_Masters-F-Jannik_Sinner-Alex_De_Minaur.html,Canada Masters,2023-08-13
Stan Wawrinka,R32,Jannik Sinner,M,20230902-M-US_Open-R32-Jannik_Sinner-Stan_Wawrinka.html,US Open,2023-09-02
Alexander Zverev,R16,Jannik Sinner,M,20230904-M-US_Open-R16-Jannik_Sinner-Alexander_Zverev.html,US Open,2023-09-04
Carlos Alcaraz,SF,Jannik Sinner,M,20231003-M-Beijing-SF-Jannik_Sinner-Carlos_Alcaraz.html,Beijing,2023-10-03
Daniil Medvedev,F,Jannik Sinner,M,20231004-M-Beijing-F-Jannik_Sinner-Daniil_Medvedev.html,Beijing,2023-10-04
Jannik Sinner,R32,Sebastian Baez,M,20231008-M-Shanghai_Masters-R32-Sebastian_Baez-Jannik_Sinner.html,Shanghai Masters,2023-10-08
Ben Shelton,R32,Jannik Sinner,M,20231025-M-Vienna-R32-Jannik_Sinner-Ben_Shelton.html,Vienna,2023-10-25
Jannik Sinner,F,Daniil Medvedev,M,20231029-M-Vienna-F-Daniil_Medvedev-Jannik_Sinner.html,Vienna,2023-10-29
Jannik Sinner,R32,Mackenzie Mcdonald,M,20231102-M-Paris_Masters-R32-Mackenzie_Mcdonald-Jannik_Sinner.html,Paris Masters,2023-11-02
Jannik Sinner,RR,Stefanos Tsitsipas,M,20231112-M-Tour_Finals-RR-Stefanos_Tsitsipas-Jannik_Sinner.html,Tour Finals,2023-11-12
Jannik Sinner,RR,Novak Djokovic,M,20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner.html,Tour Finals,2023-11-14
Daniil Medvedev,SF,Jannik Sinner,M,20231118-M-Tour_Finals-SF-Jannik_Sinner-Daniil_Medvedev.html,Tour Finals,2023-11-18
Jannik Sinner,F,Novak Djokovic,M,20231120-M-Tour_Finals-F-Novak_Djokovic-Jannik_Sinner.html,Tour Finals,2023-11-20
Jannik Sinner,QF,Tallon Griekspoor,M,20231123-M-Davis_Cup_Finals-QF-Tallon_Griekspoor-Jannik_Sinner.html,Davis Cup Finals,2023-11-23
Jannik Sinner,RR,Alex De Minaur,M,20231126-M-Davis_Cup_Finals-RR-Alex_De_Minaur-Jannik_Sinner.html,Davis Cup Finals,2023-11-26
Jannik Sinner,SF,Novak Djokovic,M,20231126-M-Davis_Cup_Finals-SF-Novak_Djokovic-Jannik_Sinner.html,Davis Cup Finals,2023-11-26
Jannik Sinner,R128,Botic Van De Zandschulp,M,20240114-M-Australian_Open-R128-Botic_Van_De_Zandschulp-Jannik_Sinner.html,Australian Open,2024-01-14
Jannik Sinner,R64,Jesper De Jong,M,20240117-M-Australian_Open-R64-Jesper_De_Jong-Jannik_Sinner.html,Australian Open,2024-01-17
Sebastian Baez,R32,Jannik Sinner,M,20240119-M-Australian_Open-R32-Jannik_Sinner-Sebastian_Baez.html,Australian Open,2024-01-19
Jannik Sinner,R16,Karen Khachanov,M,20240121-M-Australian_Open-R16-Karen_Khachanov-Jannik_Sinner.html,Australian Open,2024-01-21
Jannik Sinner,QF,Andrey Rublev,M,20240123-M-Australian_Open-QF-Andrey_Rublev-Jannik_Sinner.html,Australian Open,2024-01-23
Novak Djokovic,SF,Jannik Sinner,M,20240126-M-Australian_Open-SF-Jannik_Sinner-Novak_Djokovic.html,Australian Open,2024-01-26
Daniil Medvedev,F,Jannik Sinner,M,20240128-M-Australian_Open-F-Jannik_Sinner-Daniil_Medvedev.html,Australian Open,2024-01-28
Jannik Sinner,R32,Botic Van De Zandschulp,M,20240214-M-Rotterdam-R32-Botic_Van_De_Zandschulp-Jannik_Sinner.html,Rotterdam,2024-02-14
Jannik Sinner,F,Alex De Minaur,M,20240218-M-Rotterdam-F-Alex_De_Minaur-Jannik_Sinner.html,Rotterdam,2024-02-18
Thanasi Kokkinakis,R64,Jannik Sinner,M,20240308-M-Indian_Wells_Masters-R64-Jannik_Sinner-Thanasi_Kokkinakis.html,Indian Wells Masters,2024-03-08
Jan Lennard Struff,R32,Jannik Sinner,M,20240310-M-Indian_Wells_Masters-R32-Jannik_Sinner-Jan_Lennard_Struff.html,Indian Wells Masters,2024-03-10
Jannik Sinner,R16,Ben Shelton,M,20240313-M-Indian_Wells_Masters-R16-Ben_Shelton-Jannik_Sinner.html,Indian Wells Masters,2024-03-13
