player2,round,player1,gender,file,tournament,date
Jelena Ostapenko,R16,Aryna Sabalenka,W,20190913-W-Zhengzhou-R16-Aryna_Sabalenka-Jelena_Ostapenko.html,Zhengzhou,2019-09-13
Aliaksandra Sasnovich,R64,Aryna Sabalenka,W,20190922-W-Wuhan-R64-Aryna_Sabalenka-Aliaksandra_Sasnovich.html,Wuhan,2019-09-22
Aryna Sabalenka,R32,Danielle Collins,W,20190923-W-Wuhan-R32-Danielle_Collins-Aryna_Sabalenka.html,Wuhan,2019-09-23
Kiki Bertens,R16,Aryna Sabalenka,W,20190925-W-Wuhan-R16-Aryna_Sabalenka-Kiki_Bertens.html,Wuhan,2019-09-25
Elena Rybakina,QF,Aryna Sabalenka,W,20190926-W-Wuhan-QF-Aryna_Sabalenka-Elena_Rybakina.html,Wuhan,2019-09-26
Aryna Sabalenka,SF,Ashleigh Barty,W,20190927-W-Wuhan-SF-Ashleigh_Barty-Aryna_Sabalenka.html,Wuhan,2019-09-27
Alison Riske Amritraj,F,Aryna Sabalenka,W,20190928-W-Wuhan-F-Aryna_Sabalenka-Alison_Riske_Amritraj.html,Wuhan,2019-09-28
Daria Kasatkina,R32,Aryna Sabalenka,W,20191001-W-Beijing-R32-Aryna_Sabalenka-Daria_Kasatkina.html,Beijing,2019-10-01
Maria Sakkari,RR,Aryna Sabalenka,W,20191022-W-Zhuhai-RR-Aryna_Sabalenka-Maria_Sakkari.html,Zhuhai,2019-10-22
Elise Mertens,RR,Aryna Sabalenka,W,20191025-W-Zhuhai-RR-Aryna_Sabalenka-Elise_Mertens.html,Zhuhai,2019-10-25
Karolina Muchova,SF,Aryna Sabalenka,W,20191026-W-Zhuhai-SF-Aryna_Sabalenka-Karolina_Muchova.html,Zhuhai,2019-10-26
Kiki Bertens,F,Aryna Sabalenka,W,20191027-W-Zhuhai-F-Aryna_Sabalenka-Kiki_Bertens.html,Zhuhai,2019-10-27
Margarita Gasparyan,R32,Aryna Sabalenka,W,20200106-W-Shenzhen-R32-Aryna_Sabalenka-Margarita_Gasparyan.html,Shenzhen,2020-01-06
Kristyna Pliskova,R16,Aryna Sabalenka,W,20200107-W-Shenzhen-R16-Aryna_Sabalenka-Kristyna_Pliskova.html,Shenzhen,2020-01-07
Su Wei Hsieh,R32,Aryna Sabalenka,W,20200114-W-Adelaide-R32-Aryna_Sabalenka-Su_Wei_Hsieh.html,Adelaide,2020-01-14
Bernarda Pera,R16,Aryna Sabalenka,W,20200115-W-Adelaide-R16-Aryna_Sabalenka-Bernarda_Pera.html,Adelaide,2020-01-15
Simona Halep,QF,Aryna Sabalenka,W,20200116-W-Adelaide-QF-Aryna_Sabalenka-Simona_Halep.html,Adelaide,2020-01-16
Dayana Yastremska,SF,Aryna Sabalenka,W,20200117-W-Adelaide-SF-Aryna_Sabalenka-Dayana_Yastremska.html,Adelaide,2020-01-17
Carla Suarez Navarro,R128,Aryna Sabalenka,W,20200122-W-Australian_Open-R128-Aryna_Sabalenka-Carla_Suarez_Navarro.html,Australian Open,2020-01-22
Arantxa Rus,RR,Aryna Sabalenka,W,20200207-W-Fed_Cup_Qualifiers-RR-Aryna_Sabalenka-Arantxa_Rus.html,Fed Cup Qualifiers,2020-02-07
