rank,player,country,points,wins,losses,win_pct,titles,elo
1,Lleyton Hewitt,AUS,"4,485",61,16,79.2%,5,"2,062"
2,Andre Agassi,USA,"3,395",54,12,81.8%,5,"2,011"
3,Marat Safin,RUS,"2,845",48,23,67.6%,1,"1,892"
4,Juan Carlos Ferrero,ESP,"2,740",47,24,66.2%,2,"1,918"
5,Carlos Moya,ESP,"2,630",59,21,73.8%,4,"1,970"
6,Roger Federer,SUI,"2,590",55,22,71.4%,3,"1,944"
7,Jiri Novak,CZE,"2,335",50,27,64.9%,0,"1,899"
8,Tim Henman,GBR,"2,215",45,18,71.4%,1,"1,867"
9,Albert Costa,ESP,"2,070",32,22,59.3%,1,"1,796"
10,Andy Roddick,USA,"2,045",51,19,72.9%,2,"1,923"
11,Tommy Haas,GER,"2,020",43,22,66.2%,0,"1,849"
12,David Nalbandian,ARG,"1,775",36,23,61.0%,2,"1,856"
13,Pete Sampras,USA,"1,735",25,14,64.1%,1,"1,977"
14,Thomas Johansson,SWE,"1,725",26,22,54.2%,1,"1,746"
15,Guillermo Canas,ARG,"1,725",41,22,65.1%,2,"1,857"
16,Paradorn Srichaphan,THA,"1,646",46,23,66.7%,2,"1,962"
17,Sebastien Grosjean,FRA,"1,640",37,20,64.9%,1,"1,907"
18,Fernando Gonzalez,CHI,"1,636",40,21,65.6%,2,"1,863"
19,Alex Corretja,ESP,"1,555",35,17,67.3%,2,"1,851"
20,Sjeng Schalken,NED,"1,525",36,27,57.1%,1,"1,839"
21,Gaston Gaudio,ARG,"1,490",39,17,69.6%,2,"1,828"
22,Younes El Aynaoui,MAR,"1,435",42,25,62.7%,3,"1,773"
23,Juan Ignacio Chela,ARG,"1,240",44,27,62.0%,1,"1,783"
24,Marcelo Rios,CHI,"1,230",31,19,62.0%,0,"1,820"
25,Xavier Malisse,BEL,"1,225",29,23,55.8%,0,"1,792"
26,Andrei Pavel,ROU,"1,225",40,26,60.6%,0,"1,801"
27,Yevgeny Kafelnikov,RUS,"1,190",36,23,61.0%,2,"1,809"
28,James Blake,USA,"1,170",34,22,60.7%,1,"1,815"
29,Nicolas Lapentti,ECU,"1,090",32,27,54.2%,1,"1,714"
30,Tommy Robredo,ESP,"1,050",32,25,56.1%,0,"1,794"
31,Greg Rusedski,GBR,"1,010",33,16,67.3%,2,"1,904"
32,Mikhail Youzhny,RUS,995,30,22,57.7%,1,"1,866"
33,Rainer Schuettler,GER,980,38,29,56.7%,0,"1,715"
34,Nicolas Escude,FRA,960,29,15,65.9%,1,"1,842"
35,Fabrice Santoro,FRA,955,27,25,51.9%,1,"1,739"
36,Paul-Henri Mathieu,FRA,952,23,14,62.2%,2,"1,838"
37,Gustavo Kuerten,BRA,935,24,14,63.2%,1,"1,874"
38,Arnaud Clement,FRA,925,29,23,55.8%,0,"1,822"
39,Wayne Ferreira,RSA,875,24,18,57.1%,0,"1,811"
40,Jarkko Nieminen,FIN,875,25,26,49.0%,0,"1,703"
41,Jose Acasuso,ARG,868,21,17,55.3%,1,"1,667"
42,Jan-Michael Gambill,USA,825,28,26,51.9%,0,"1,755"
43,Max Mirnyi,BLR,810,24,27,47.1%,0,"1,717"
44,Thomas Enqvist,SWE,810,23,17,57.5%,1,"1,792"
45,Guillermo Coria,ARG,778,22,16,57.9%,0,"1,762"
46,Davide Sanguinetti,ITA,773,22,21,51.2%,2,"1,620"
47,Todd Martin,USA,755,24,16,60.0%,0,"1,788"
48,Jonas Bjorkman,SWE,745,21,21,50.0%,1,"1,748"
49,Ivan Ljubicic,CRO,735,27,27,50.0%,0,"1,741"
50,Agustin Calleri,ARG,730,25,23,52.1%,0,"1,722"
51,Dominik Hrbaty,SVK,726,22,28,44.0%,0,"1,670"
52,Wayne Arthurs,AUS,720,23,24,48.9%,0,"1,700"
53,Mariano Zabaleta,ARG,711,20,28,41.7%,0,"1,629"
54,Stefan Koubek,AUT,685,18,31,36.7%,0,"1,578"
55,Felix Mantilla,ESP,680,26,25,51.0%,0,"1,733"
56,Nicolas Massu,CHI,680,27,19,58.7%,1,"1,752"
57,Taylor Dent,USA,672,20,17,54.0%,1,"1,690"
58,Fernando Vicente,ESP,671,23,28,45.1%,0,"1,618"
59,David Ferrer,ESP,643,10,6,62.5%,1,"1,610"
60,David Sanchez,ESP,642,19,23,45.2%,0,"1,633"
61,Alberto Martin,ESP,640,23,24,48.9%,0,"1,700"
62,Feliciano Lopez,ESP,633,18,16,52.9%,0,"1,699"
63,Radek Stepanek,CZE,633,17,14,54.8%,0,"1,659"
64,Olivier Rochus,BEL,624,17,22,43.6%,0,"1,614"
65,Kenneth Carlsen,DEN,621,16,14,53.3%,1,"1,743"
66,Andre Sa,BRA,607,19,24,44.2%,0,"1,653"
67,Vincent Spadea,USA,586,13,17,43.3%,0,"1,623"
68,Adrian Voinea,ROU,579,18,20,47.4%,0,"1,636"
69,Michel Kratochvil,SUI,570,20,27,42.5%,0,"1,625"
70,Antony Dupuis,FRA,566,14,23,37.8%,0,"1,549"
71,Raemon Sluiter,NED,558,10,14,41.7%,0,"1,660"
72,Nicolas Kiefer,GER,550,19,24,44.2%,0,"1,718"
73,Vladimir Voltchkov,BLR,550,9,6,60.0%,0,"1,673"
74,Fernando Meligeni,BRA,538,19,23,45.2%,0,"1,651"
75,Bohdan Ulihrach,CZE,530,21,27,43.8%,0,"1,683"
76,Lars Burgsmuller,GER,525,14,21,40.0%,1,"1,564"
77,Julien Boutter,FRA,513,16,25,39.0%,0,"1,607"
78,Albert Montanes,ESP,501,17,24,41.5%,0,"1,606"
79,Franco Squillari,ARG,494,16,22,42.1%,0,"1,639"
80,Mark Philippoussis,AUS,490,14,14,50.0%,0,"1,772"
81,Nikolay Davydenko,RUS,487,12,24,33.3%,0,"1,601"
