rank,player,country,points,wins,losses,win_pct,titles,elo
1,Rafael Nadal,ESP,"9,985",54,9,85.7%,4,"2,345"
2,Novak Djokovic,SRB,"9,145",55,11,83.3%,5,"2,264"
3,Roger Federer,SUI,"6,590",53,11,82.8%,4,"2,240"
4,Dominic Thiem,AUT,"5,825",48,17,73.8%,5,"2,145"
5,Daniil Medvedev,RUS,"5,705",58,21,73.4%,4,"2,126"
6,Stefanos Tsitsipas,GRE,"5,300",54,25,68.3%,3,"2,116"
7,Alexander Zverev,GER,"3,345",41,24,63.1%,1,"2,031"
8,Matteo Berrettini,ITA,"2,870",42,23,64.6%,2,"2,043"
9,Roberto Bautista Agut,ESP,"2,540",40,22,64.5%,1,"1,940"
10,Gael Monfils,FRA,"2,530",37,20,64.9%,1,"1,920"
11,David Goffin,BEL,"2,335",36,26,58.1%,0,"1,986"
12,Fabio Fognini,ITA,"2,290",30,22,57.7%,1,"1,911"
13,Kei Nishikori,JPN,"2,180",29,14,67.4%,1,"2,001"
14,Diego Schwartzman,ARG,"2,125",39,24,61.9%,1,"1,953"
15,Denis Shapovalov,CAN,"2,050",34,25,57.6%,1,"2,002"
16,Stan Wawrinka,SUI,"2,000",33,20,62.3%,0,"2,021"
17,Karen Khachanov,RUS,"1,840",27,26,50.9%,0,"1,909"
18,Alex de Minaur,AUS,"1,775",34,19,64.2%,3,"1,956"
19,John Isner,USA,"1,770",29,17,63.0%,1,"1,921"
20,Grigor Dimitrov,BUL,"1,747",23,21,52.3%,0,"1,944"
21,Felix Auger-Aliassime,CAN,"1,636",33,21,61.1%,0,"1,859"
22,Lucas Pouille,FRA,"1,600",21,21,50.0%,0,"1,871"
23,Andrey Rublev,RUS,"1,584",34,19,64.2%,1,"1,974"
24,Benoit Paire,FRA,"1,538",34,28,54.8%,2,"1,817"
25,Guido Pella,ARG,"1,530",34,25,57.6%,1,"1,840"
26,Nikoloz Basilashvili,GEO,"1,450",28,24,53.9%,1,"1,847"
27,Pablo Carreno Busta,ESP,"1,422",30,21,58.8%,1,"1,963"
28,Borna Coric,CRO,"1,415",27,22,55.1%,0,"1,814"
29,Jo-Wilfried Tsonga,FRA,"1,410",32,18,64.0%,2,"1,970"
30,Nick Kyrgios,AUS,"1,395",21,14,60.0%,2,"1,935"
31,Milos Raonic,CAN,"1,350",23,13,63.9%,0,"1,919"
32,Taylor Fritz,USA,"1,315",30,28,51.7%,1,"1,839"
33,Cristian Garin,CHI,"1,297",30,22,57.7%,2,"1,800"
34,Dusan Lajovic,SRB,"1,296",20,26,43.5%,1,"1,704"
35,Jan-Lennard Struff,GER,"1,245",34,27,55.7%,0,"1,884"
36,Reilly Opelka,USA,"1,243",27,21,56.2%,1,"1,850"
37,Hubert Hurkacz,POL,"1,198",25,24,51.0%,1,"1,833"
38,Laslo Djere,SRB,"1,171",21,22,48.8%,1,"1,712"
39,Marin Cilic,CRO,"1,165",22,20,52.4%,0,"1,911"
40,Filip Krajinovic,SRB,"1,148",27,17,61.4%,0,"1,902"
41,Albert Ramos-Vinolas,ESP,"1,130",30,24,55.6%,1,"1,854"
42,Daniel Evans,GBR,"1,124",18,18,50.0%,0,"1,817"
43,Adrian Mannarino,FRA,"1,111",27,26,50.9%,1,"1,841"
44,Sam Querrey,USA,"1,100",24,17,58.5%,0,"1,898"
45,Pablo Cuevas,URU,"1,097",22,23,48.9%,0,"1,740"
46,Radu Albot,MDA,"1,067",31,26,54.4%,1,"1,817"
47,Frances Tiafoe,USA,"1,050",21,25,45.6%,0,"1,801"
