rank,player,country,points,wins,losses,win_pct,titles,elo
1,Roger Federer,SUI,"6,725",80,4,95.2%,11,"2,348"
2,Rafael Nadal,ESP,"4,765",77,10,88.5%,11,"2,155"
3,Andy Roddick,USA,"3,085",56,14,80.0%,5,"2,031"
4,Lleyton Hewitt,AUS,"2,490",36,9,80.0%,1,"2,092"
5,Nikolay Davydenko,RUS,"2,390",52,29,64.2%,1,"1,868"
6,David Nalbandian,ARG,"2,370",40,19,67.8%,2,"1,982"
7,Andre Agassi,USA,"2,275",38,12,76.0%,1,"2,049"
8,Guillermo Coria,ARG,"2,190",49,24,67.1%,1,"1,865"
9,Ivan Ljubicic,CRO,"2,180",50,23,68.5%,2,"1,951"
10,Gaston Gaudio,ARG,"2,050",54,20,73.0%,5,"1,871"
11,Fernando Gonzalez,CHI,"1,790",46,21,68.7%,3,"1,890"
12,Marat Safin,RUS,"1,730",25,11,69.4%,1,"1,948"
13,Thomas Johansson,SWE,"1,645",42,24,63.6%,1,"1,892"
14,David Ferrer,ESP,"1,620",41,28,59.4%,0,"1,776"
15,Robby Ginepri,USA,"1,520",37,23,61.7%,1,"1,882"
16,Richard Gasquet,FRA,"1,506",30,10,75.0%,1,"1,851"
17,Juan Carlos Ferrero,ESP,"1,500",45,26,63.4%,0,"1,841"
18,Dominik Hrbaty,SVK,"1,490",37,25,59.7%,0,"1,823"
19,Tommy Robredo,ESP,"1,490",42,24,63.6%,0,"1,849"
20,Radek Stepanek,CZE,"1,440",45,26,63.4%,0,"1,840"
21,Mario Ancic,CRO,"1,360",42,23,64.6%,1,"1,798"
22,Nicolas Kiefer,GER,"1,250",31,22,58.5%,0,"1,854"
23,James Blake,USA,"1,230",34,20,63.0%,2,"1,924"
24,Tomas Berdych,CZE,"1,200",31,26,54.4%,1,"1,866"
25,Sebastien Grosjean,FRA,"1,135",29,20,59.2%,0,"1,842"
26,Igor Andreev,RUS,"1,120",37,29,56.1%,3,"1,832"
27,Olivier Rochus,BEL,"1,110",35,25,58.3%,0,"1,818"
28,Jarkko Nieminen,FIN,"1,045",29,22,56.9%,0,"1,797"
29,Taylor Dent,USA,"1,025",33,21,61.1%,0,"1,783"
30,Gael Monfils,FRA,979,25,22,53.2%,1,"1,753"
31,Carlos Moya,ESP,940,32,20,61.5%,1,"1,803"
32,Fernando Verdasco,ESP,935,34,27,55.7%,0,"1,791"
33,Feliciano Lopez,ESP,910,31,26,54.4%,0,"1,759"
34,Max Mirnyi,BLR,905,32,24,57.1%,0,"1,735"
35,Victor Hanescu,ROU,856,25,22,53.2%,0,"1,727"
36,Tim Henman,GBR,850,23,18,56.1%,0,"1,746"
37,Greg Rusedski,GBR,840,27,22,55.1%,1,"1,780"
38,Filippo Volandri,ITA,836,27,27,50.0%,0,"1,682"
39,Juan Ignacio Chela,ARG,815,28,26,51.9%,0,"1,691"
40,Jose Acasuso,ARG,803,27,26,50.9%,0,"1,724"
41,Christophe Rochus,BEL,795,18,26,40.9%,0,"1,554"
42,Paradorn Srichaphan,THA,785,31,29,51.7%,0,"1,794"
43,Mikhail Youzhny,RUS,775,23,21,52.3%,0,"1,758"
44,Davide Sanguinetti,ITA,773,25,25,50.0%,0,"1,710"
45,Tommy Haas,GER,755,28,21,57.1%,0,"1,766"
46,Paul-Henri Mathieu,FRA,738,26,27,49.1%,0,"1,720"
