rank,player,country,points,wins,losses,win_pct,titles,elo
—,Marty Riessen,USA,—,95,36,72.5%,6,"1,661"
—,Tom Okker,NED,—,89,23,79.5%,7,"1,796"
—,Clark Graebner,USA,—,74,22,77.1%,2,"1,820"
—,Arthur Ashe,USA,—,73,12,85.9%,11,"1,955"
—,Rod Laver,AUS,—,73,19,79.3%,13,"1,881"
—,John Newcombe,AUS,—,70,37,65.4%,8,"1,819"
—,Ion Tiriac,ROU,—,60,12,83.3%,6,"1,804"
—,Cliff Drysdale,RSA,—,53,37,58.9%,3,"1,675"
—,Tony Roche,AUS,—,53,35,60.2%,5,"1,839"
—,Mark Cox,GBR,—,52,23,69.3%,2,"1,722"
—,Bob Hewitt,RSA,—,51,15,77.3%,2,"1,820"
—,Andres Gimeno,ESP,—,48,27,64.0%,3,"1,757"
—,Dennis Ralston,USA,—,48,25,65.8%,5,"1,683"
—,Cliff Richey,USA,—,46,15,75.4%,3,"1,750"
—,Earl Butch Buchholz,USA,—,46,34,57.5%,5,"1,606"
—,Ken Rosewall,AUS,—,45,12,79.0%,5,"1,856"
—,Roy Emerson,AUS,—,44,26,62.9%,2,"1,790"
—,Nikola Pilic,CRO,—,42,46,47.7%,1,"1,638"
—,Ilie Nastase,ROU,—,41,14,74.5%,3,"1,756"
—,Ray Ruffels,AUS,—,41,19,68.3%,1,"1,718"
—,Allan Stone,AUS,—,38,25,60.3%,0,"1,661"
—,Charlie Pasarell,USA,—,38,18,67.9%,1,"1,650"
—,Manuel Santana,ESP,—,38,11,77.5%,7,"1,815"
—,Torben Ulrich,DEN,—,37,19,66.1%,1,"1,731"
—,Jim Osborne,USA,—,35,24,59.3%,0,"1,635"
—,Raymond Moore,RSA,—,35,23,60.3%,0,"1,622"
—,Bill Bowrey,AUS,—,34,16,68.0%,3,"1,730"
—,Jim Mcmanus,USA,—,34,20,63.0%,0,"1,660"
—,Fred Stolle,AUS,—,33,29,53.2%,3,"1,722"
—,Dick Crealy,AUS,—,31,16,66.0%,0,"1,650"
