rank,player,country,points,wins,losses,win_pct,titles,elo
1,Jannik Sinner,ITA,"11,830",71,7,91.0%,8,"2,360"
2,Alexander Zverev,GER,"7,915",61,18,77.2%,2,"2,135"
3,Carlos Alcaraz,ESP,"7,010",44,12,78.6%,4,"2,178"
4,Taylor Fritz,USA,"5,100",47,20,70.2%,2,"2,095"
5,Daniil Medvedev,RUS,"5,030",44,18,71.0%,0,"2,099"
6,Casper Ruud,NOR,"4,255",44,23,65.7%,2,"1,915"
7,Novak Djokovic,SRB,"3,910",29,9,76.3%,0,"2,226"
8,Andrey Rublev,RUS,"3,760",43,27,61.4%,2,"1,864"
9,Alex de Minaur,AUS,"3,745",45,19,70.3%,2,"2,028"
10,Grigor Dimitrov,BUL,"3,350",45,18,71.4%,1,"2,008"
11,Stefanos Tsitsipas,GRE,"3,165",39,20,66.1%,1,"1,941"
12,Tommy Paul,USA,"3,145",42,18,70.0%,3,"1,967"
13,Holger Rune,DEN,"3,025",46,23,66.7%,0,"1,988"
14,Ugo Humbert,FRA,"2,765",37,23,61.7%,2,"1,942"
15,Jack Draper,GBR,"2,685",38,19,66.7%,2,"2,052"
16,Hubert Hurkacz,POL,"2,640",36,17,67.9%,1,"1,941"
17,Lorenzo Musetti,ITA,"2,600",36,26,58.1%,0,"1,910"
18,Frances Tiafoe,USA,"2,585",32,25,56.1%,0,"1,896"
19,Karen Khachanov,RUS,"2,410",37,22,62.7%,2,"1,938"
20,Arthur Fils,FRA,"2,355",36,23,61.0%,2,"1,944"
21,Ben Shelton,USA,"2,330",41,24,63.1%,1,"1,920"
22,Sebastian Korda,USA,"1,985",31,19,62.0%,1,"1,958"
23,Alejandro Tabilo,CHI,"1,943",31,22,58.5%,2,"1,813"
24,Alexei Popyrin,AUS,"1,865",24,20,54.5%,1,"1,905"
25,Tomas Machac,CZE,"1,758",32,21,60.4%,0,"1,926"
26,Jordan Thompson,AUS,"1,745",36,24,60.0%,1,"1,916"
27,Sebastian Baez,ARG,"1,690",28,25,52.8%,2,"1,712"
28,Jiri Lehecka,CZE,"1,660",29,15,65.9%,1,"1,908"
29,Felix Auger-Aliassime,CAN,"1,635",26,23,53.1%,0,"1,790"
30,Francisco Cerundolo,ARG,"1,620",28,28,50.0%,1,"1,788"
31,Giovanni Mpetshi Perricard,FRA,"1,561",17,12,58.6%,2,"1,790"
32,Flavio Cobolli,ITA,"1,472",34,26,56.7%,0,"1,886"
33,Alexander Bublik,KAZ,"1,420",25,23,52.1%,1,"1,746"
34,Matteo Berrettini,ITA,"1,380",27,12,69.2%,3,"1,916"
35,Nicolas Jarry,CHI,"1,370",16,22,42.1%,0,"1,737"
36,Nuno Borges,POR,"1,355",24,23,51.1%,1,"1,788"
37,Matteo Arnaldi,ITA,"1,345",26,24,52.0%,0,"1,806"
38,Brandon Nakashima,USA,"1,335",25,23,52.1%,0,"1,818"
39,Tomas Martin Etcheverry,ARG,"1,315",28,27,50.9%,0,"1,786"
40,Tallon Griekspoor,NED,"1,280",28,23,54.9%,0,"1,865"
41,Alex Michelsen,USA,"1,245",31,29,51.7%,0,"1,839"
42,Jan-Lennard Struff,GER,"1,240",27,20,57.5%,1,"1,868"
