rank,player,country,points,wins,losses,win_pct,titles,elo
1,Rafael Nadal,ESP,"13,030",75,7,91.5%,10,"2,437"
2,Novak Djokovic,SRB,"12,260",67,9,88.2%,7,"2,469"
3,David Ferrer,ESP,"5,800",63,24,72.4%,2,"2,100"
4,Andy Murray,GBR,"5,790",41,8,83.7%,4,"2,263"
5,Juan Martin del Potro,ARG,"5,255",52,16,76.5%,4,"2,210"
6,Roger Federer,SUI,"4,205",45,17,72.6%,1,"2,189"
7,Tomas Berdych,CZE,"4,180",51,24,68.0%,0,"2,084"
8,Stan Wawrinka,SUI,"3,730",49,23,68.1%,1,"2,113"
9,Richard Gasquet,FRA,"3,300",48,23,67.6%,3,"2,046"
10,Jo-Wilfried Tsonga,FRA,"3,065",36,16,69.2%,1,"2,051"
11,Milos Raonic,CAN,"2,860",41,21,66.1%,2,"2,034"
12,Tommy Haas,GER,"2,435",46,23,66.7%,2,"2,011"
13,Nicolas Almagro,ESP,"2,290",42,23,64.6%,0,"1,961"
14,John Isner,USA,"2,150",38,22,63.3%,2,"1,983"
15,Mikhail Youzhny,RUS,"2,145",39,24,61.9%,2,"2,016"
16,Fabio Fognini,ITA,"1,930",41,26,61.2%,2,"1,932"
17,Kei Nishikori,JPN,"1,915",34,19,64.2%,1,"1,940"
18,Tommy Robredo,ESP,"1,810",36,20,64.3%,2,"2,000"
19,Gilles Simon,FRA,"1,790",36,22,62.1%,1,"1,926"
20,Kevin Anderson,RSA,"1,685",37,23,61.7%,0,"1,870"
21,Jerzy Janowicz,POL,"1,615",23,20,53.5%,0,"1,913"
22,Philipp Kohlschreiber,GER,"1,525",33,24,57.9%,0,"1,937"
23,Grigor Dimitrov,BUL,"1,520",35,23,60.3%,1,"1,954"
24,Ernests Gulbis,LAT,"1,393",32,18,64.0%,2,"1,939"
25,Andreas Seppi,ITA,"1,360",28,27,50.9%,0,"1,831"
26,Benoit Paire,FRA,"1,345",32,30,51.6%,0,"1,785"
27,Jurgen Melzer,AUT,"1,315",25,23,52.1%,1,"1,825"
28,Feliciano Lopez,ESP,"1,310",30,20,60.0%,1,"1,914"
29,Dmitry Tursunov,RUS,"1,244",30,21,58.8%,0,"1,868"
30,Fernando Verdasco,ESP,"1,235",27,24,52.9%,0,"1,891"
31,Gael Monfils,FRA,"1,230",33,22,60.0%,0,"1,929"
32,Vasek Pospisil,CAN,"1,219",17,15,53.1%,0,"1,798"
33,Ivan Dodig,CRO,"1,190",31,23,57.4%,0,"1,916"
34,Jeremy Chardy,FRA,"1,175",22,25,46.8%,0,"1,797"
35,Julien Benneteau,FRA,"1,160",27,25,51.9%,0,"1,861"
36,Janko Tipsarevic,SRB,"1,130",19,22,46.3%,1,"1,778"
37,Marin Cilic,CRO,"1,130",24,13,64.9%,1,"1,964"
38,Marcel Granollers,ESP,"1,110",27,23,54.0%,1,"1,917"
39,Jarkko Nieminen,FIN,"1,090",27,26,50.9%,0,"1,789"
40,Florian Mayer,GER,"1,065",27,25,51.9%,0,"1,861"
41,Carlos Berlocq,ARG,"1,020",26,24,52.0%,1,"1,829"
42,Juan Monaco,ARG,"1,015",18,21,46.1%,0,"1,809"
43,Robin Haase,NED,977,28,26,51.9%,0,"1,852"
44,Radek Stepanek,CZE,970,14,16,46.7%,0,"1,828"
45,Denis Istomin,UZB,965,30,29,50.9%,0,"1,808"
46,Sam Querrey,USA,960,25,21,54.4%,0,"1,877"
47,Lukas Rosol,CZE,956,21,24,46.7%,1,"1,742"
48,Pablo Andujar,ESP,946,18,31,36.7%,0,"1,722"
49,Joao Sousa,POR,934,14,13,51.9%,1,"1,796"
