rank,player,country,points,wins,losses,win_pct,titles,elo
1,Roger Federer,SUI,"7,180",67,9,88.2%,8,"2,330"
2,Rafael Nadal,ESP,"5,735",71,15,82.6%,6,"2,154"
3,Novak Djokovic,SRB,"4,470",65,19,77.4%,5,"2,067"
4,Nikolay Davydenko,RUS,"2,825",53,30,63.9%,1,"1,935"
5,David Ferrer,ESP,"2,750",57,22,72.2%,3,"2,036"
6,Andy Roddick,USA,"2,530",48,16,75.0%,2,"2,009"
7,Fernando Gonzalez,CHI,"2,005",33,21,61.1%,1,"1,868"
8,Richard Gasquet,FRA,"1,930",47,24,66.2%,1,"1,920"
9,David Nalbandian,ARG,"1,775",31,17,64.6%,2,"2,032"
10,Tommy Robredo,ESP,"1,765",48,25,65.8%,2,"1,856"
11,Andy Murray,GBR,"1,755",40,14,74.1%,2,"1,959"
12,Tommy Haas,GER,"1,720",36,17,67.9%,1,"1,892"
13,James Blake,USA,"1,710",49,21,70.0%,2,"1,911"
14,Tomas Berdych,CZE,"1,685",42,21,66.7%,1,"1,913"
15,Guillermo Canas,ARG,"1,653",38,21,64.4%,1,"1,821"
16,Marcos Baghdatis,CYP,"1,600",44,22,66.7%,1,"1,937"
17,Carlos Moya,ESP,"1,585",42,23,64.6%,1,"1,862"
18,Ivan Ljubicic,CRO,"1,580",43,22,66.2%,2,"1,807"
19,Mikhail Youzhny,RUS,"1,570",48,24,66.7%,1,"1,880"
20,Juan Ignacio Chela,ARG,"1,425",39,23,62.9%,1,"1,796"
21,Lleyton Hewitt,AUS,"1,365",34,15,69.4%,1,"1,925"
22,Ivo Karlovic,CRO,"1,360",45,21,68.2%,3,"1,940"
23,Juan Monaco,ARG,"1,350",41,19,68.3%,3,"1,864"
24,Juan Carlos Ferrero,ESP,"1,340",34,23,59.6%,0,"1,833"
25,Paul-Henri Mathieu,FRA,"1,320",45,23,66.2%,2,"1,870"
26,Fernando Verdasco,ESP,"1,050",33,26,55.9%,0,"1,864"
27,Jarkko Nieminen,FIN,995,31,26,54.4%,0,"1,814"
28,Nicolas Almagro,ESP,965,32,27,54.2%,1,"1,723"
29,Gilles Simon,FRA,955,35,26,57.4%,2,"1,783"
30,Radek Stepanek,CZE,930,27,21,56.2%,1,"1,863"
31,Potito Starace,ITA,921,25,25,50.0%,0,"1,655"
32,Philipp Kohlschreiber,GER,905,30,23,56.6%,1,"1,767"
33,Igor Andreev,RUS,890,31,26,54.4%,0,"1,769"
34,Dmitry Tursunov,RUS,853,28,21,57.1%,2,"1,767"
35,Feliciano Lopez,ESP,840,27,24,52.9%,0,"1,804"
36,Stan Wawrinka,SUI,820,21,22,48.8%,0,"1,865"
37,Fabrice Santoro,FRA,807,24,19,55.8%,1,"1,785"
38,Gael Monfils,FRA,742,21,21,50.0%,0,"1,781"
39,Mardy Fish,USA,740,24,21,53.3%,0,"1,756"
40,Filippo Volandri,ITA,731,20,25,44.4%,0,"1,682"
41,Robin Soderling,SWE,715,22,15,59.5%,0,"1,831"
42,Agustin Calleri,ARG,715,23,24,48.9%,0,"1,736"
43,Jo-Wilfried Tsonga,FRA,714,14,10,58.3%,0,"1,768"
44,Juan Martin del Potro,ARG,690,26,24,52.0%,0,"1,785"
45,Nicolas Mahut,FRA,683,22,20,52.4%,0,"1,732"
46,Albert Montanes,ESP,681,24,24,50.0%,0,"1,656"
47,Stefan Koubek,AUT,661,22,26,45.8%,0,"1,760"
48,Olivier Rochus,BEL,661,18,22,45.0%,0,"1,712"
49,Nicolas Kiefer,GER,660,19,12,61.3%,0,"1,893"
50,Andreas Seppi,ITA,659,20,23,46.5%,0,"1,732"
51,Hyung-Taik Lee,KOR,642,21,23,47.7%,0,"1,769"
52,Janko Tipsarevic,SRB,632,17,21,44.7%,0,"1,735"
53,Sebastien Grosjean,FRA,621,19,18,51.4%,1,"1,765"
54,Arnaud Clement,FRA,620,23,26,46.9%,0,"1,703"
55,Florian Mayer,GER,611,17,23,42.5%,0,"1,618"
56,Marat Safin,RUS,610,21,19,52.5%,0,"1,756"
57,Michael Berrer,GER,608,13,12,52.0%,0,"1,671"
58,Oscar Hernandez,ESP,602,9,18,33.3%,0,"1,542"
59,Jonas Bjorkman,SWE,595,17,19,47.2%,0,"1,658"
60,Jurgen Melzer,AUT,590,21,24,46.7%,0,"1,695"
61,Ernests Gulbis,LAT,585,6,14,30.0%,0,"1,638"
62,Thomas Johansson,SWE,583,23,23,50.0%,0,"1,759"
63,Sam Querrey,USA,573,19,22,46.3%,0,"1,636"
64,Dudi Sela,ISR,573,5,4,55.6%,0,"1,625"
65,Jose Acasuso,ARG,566,18,19,48.6%,0,"1,685"
66,Werner Eschauer,AUT,565,7,13,35.0%,0,"1,493"
67,Simone Bolelli,ITA,541,8,14,36.4%,0,"1,602"
68,Julien Benneteau,FRA,540,22,28,44.0%,0,"1,672"
69,Sergio Roitman,ARG,537,11,25,30.6%,0,"1,537"
70,Marc Gicquel,FRA,535,21,25,45.6%,0,"1,710"
71,Marin Cilic,CRO,533,12,12,50.0%,0,"1,714"
72,Frank Dancevic,CAN,521,16,18,47.1%,0,"1,696"
73,Luis Horna,PER,520,17,16,51.5%,1,"1,654"
74,Martin Vassallo Arguello,ARG,520,14,20,41.2%,0,"1,595"
75,Andrei Pavel,ROU,518,12,13,48.0%,0,"1,698"
76,Victor Hanescu,ROU,517,7,7,50.0%,0,"1,683"
77,Vincent Spadea,USA,515,24,28,46.1%,0,"1,650"
78,Nicolas Massu,CHI,514,15,22,40.5%,0,"1,619"
79,Peter Luczak,AUS,489,3,7,30.0%,0,"1,507"
80,Evgeny Korolev,KAZ,487,20,24,45.5%,0,"1,680"
81,Alejandro Falla,COL,481,12,16,42.9%,0,"1,738"
82,Michael Russell,USA,481,10,19,34.5%,0,"1,616"
83,Mario Ancic,CRO,480,13,10,56.5%,0,"1,880"
84,Benjamin Becker,GER,476,21,30,41.2%,0,"1,586"
85,Carlos Berlocq,ARG,474,11,15,42.3%,0,"1,550"
86,Steve Darcis,BEL,474,6,2,75.0%,1,"1,667"
87,Santiago Ventura,ESP,473,4,2,66.7%,0,"1,545"
88,Mischa Zverev,GER,468,6,8,42.9%,0,"1,606"
89,Diego Hartfield,ARG,466,14,20,41.2%,0,"1,594"
90,Guillermo Garcia-Lopez,ESP,462,13,22,37.1%,0,"1,526"
91,Chris Guccione,AUS,462,8,15,34.8%,0,"1,524"
92,Florent Serra,FRA,461,16,24,40.0%,0,"1,621"
93,Michael Llodra,FRA,460,13,18,41.9%,0,"1,640"
94,Thierry Ascione,FRA,449,3,4,42.9%,0,"1,576"
95,Fabio Fognini,ITA,444,5,7,41.7%,0,"1,600"
96,Boris Pashanski,SRB,441,9,10,47.4%,0,"1,611"
97,Edouard Roger-Vasselin,FRA,438,5,7,41.7%,0,"1,578"
98,Kristof Vliegen,BEL,437,13,23,36.1%,0,"1,629"
99,Rainer Schuettler,GER,433,7,13,35.0%,0,"1,650"
100,Donald Young,USA,432,3,3,50.0%,0,"1,467"
101,Jiri Vanek,CZE,431,7,13,35.0%,0,"1,578"
102,Paul Capdeville,CHI,428,12,12,50.0%,0,"1,700"
103,Ivo Minar,CZE,425,1,3,25.0%,0,"1,526"
104,Mariano Zabaleta,ARG,416,9,11,45.0%,0,"1,602"
105,Robert Kendrick,USA,408,5,18,21.7%,0,"1,526"
106,John Isner,USA,407,8,5,61.5%,0,"1,656"
107,Juan Pablo Brzezicki,ARG,406,2,4,33.3%,0,"1,565"
108,Olivier Patience,FRA,405,6,8,42.9%,0,"1,553"
109,Nicolas Lapentti,ECU,401,10,14,41.7%,0,"1,611"
110,Yen-Hsun Lu,TPE,393,6,14,30.0%,0,"1,497"
111,Bobby Reynolds,USA,392,0,3,0.0%,0,"1,503"
112,Xavier Malisse,BEL,390,10,4,71.4%,2,"1,793"
113,Pablo Cuevas,URU,389,0,1,0.0%,0,"1,551"
114,Robin Haase,NED,388,10,11,47.6%,0,"1,618"
115,Nicolas Devilder,FRA,388,10,15,40.0%,0,"1,537"
116,Igor Kunitsyn,RUS,381,16,24,40.0%,0,"1,599"
117,Gilles Muller,LUX,380,2,3,40.0%,0,"1,578"
118,Marcos Daniel,BRA,380,0,2,0.0%,0,"1,518"
119,Denis Gremelmayr,GER,371,0,4,0.0%,0,"1,557"
120,Rik De Voest,RSA,366,3,4,42.9%,0,"1,580"
121,Maximo Gonzalez,ARG,366,0,2,0.0%,0,"1,511"
122,Yuri Schukin,KAZ,363,4,3,57.1%,0,"1,578"
123,Mathieu Montcourt,FRA,361,2,4,33.3%,0,"1,531"
124,Ivan Navarro,ESP,360,10,12,45.5%,0,"1,529"
125,Teymuraz Gabashvili,RUS,357,10,28,26.3%,0,"1,600"
126,Wayne Odesnik,USA,357,4,3,57.1%,0,"1,567"
127,Viktor Troicki,SRB,357,5,7,41.7%,0,"1,634"
128,Kristian Pless,DEN,351,5,16,23.8%,0,"1,508"
129,Aisam-Ul-Haq Qureshi,PAK,338,4,4,50.0%,0,"1,607"
130,Alessio Di Mauro,ITA,338,5,10,33.3%,0,"1,458"
131,Alun Jones,AUS,338,2,3,40.0%,0,"1,403"
