rank,player,country,points,wins,losses,win_pct,titles,elo
1,John McEnroe,USA,0,62,9,87.3%,7,"2,306"
2,Ivan Lendl,USA,0,75,16,82.4%,7,"2,235"
3,Jimmy Connors,USA,0,52,11,82.5%,4,"2,193"
4,Mats Wilander,SWE,0,71,11,86.6%,9,"2,246"
5,Yannick Noah,FRA,0,36,9,80.0%,3,"2,085"
6,Jimmy Arias,USA,0,47,15,75.8%,4,"2,045"
7,Jose Higueras,ESP,0,44,14,75.9%,3,"1,931"
8,Jose Luis Clerc,ARG,0,29,14,67.4%,4,"1,894"
9,Kevin Curren,USA,0,32,20,61.5%,0,"1,925"
10,Gene Mayer,USA,0,25,10,71.4%,2,"1,964"
11,Guillermo Vilas,ARG,0,51,17,75.0%,3,"1,947"
12,Bill Scanlon,USA,0,42,21,66.7%,0,"1,923"
13,Eliot Teltscher,USA,0,43,19,69.3%,1,"1,928"
14,Andres Gomez,ECU,0,43,20,68.2%,1,"1,959"
15,Johan Kriek,USA,0,39,19,67.2%,3,"1,952"
16,Tim Mayotte,USA,0,23,18,56.1%,0,"1,902"
17,Tomas Smid,CZE,0,59,30,66.3%,2,"1,902"
18,Sandy Mayer,USA,0,33,17,66.0%,1,"1,906"
19,Anders Jarryd,SWE,0,35,20,63.6%,0,"1,876"
20,Vitas Gerulaitis,USA,0,32,20,61.5%,1,"1,850"
21,Brian Gottfried,USA,0,29,17,63.0%,1,"1,875"
23,Henrik Sundstrom,SWE,0,31,18,63.3%,1,"1,759"
24,Scott Davis,USA,0,29,16,64.4%,1,"1,841"
25,Heinz Gunthardt,SUI,0,27,15,64.3%,1,"1,853"
26,Chris Lewis,NZL,0,28,23,54.9%,0,"1,774"
27,Joakim Nystrom,SWE,0,26,12,68.4%,1,"1,868"
28,Mel Purcell,USA,0,30,25,54.5%,0,"1,770"
29,Brian Teacher,USA,0,33,21,61.1%,2,"1,822"
30,Henri Leconte,FRA,0,35,23,60.3%,0,"1,828"
32,Peter Fleming,USA,0,14,11,56.0%,0,"1,765"
33,Colin Dowdeswell,GBR,0,17,10,63.0%,0,"1,721"
34,Pat Cash,AUS,0,26,17,60.5%,1,"1,829"
35,Paul Mcnamee,AUS,0,38,26,59.4%,0,"1,815"
36,Roscoe Tanner,USA,0,16,13,55.2%,0,"1,872"
37,Mark Edmondson,AUS,0,16,17,48.5%,0,"1,687"
39,Pablo Arraya,PER,0,29,18,61.7%,1,"1,806"
40,Wojtek Fibak,POL,0,27,23,54.0%,0,"1,779"
41,Hank Pfister,USA,0,19,17,52.8%,0,"1,749"
42,Shlomo Glickstein,ISR,0,20,21,48.8%,0,"1,710"
43,John Fitzgerald,AUS,0,32,19,62.8%,2,"1,790"
44,Mike Bauer,USA,0,28,23,54.9%,1,"1,778"
46,Fritz Buehning,USA,0,22,21,51.2%,0,"1,738"
47,Gianni Ocleppo,ITA,0,16,14,53.3%,0,"1,706"
48,Christophe Roger-Vasselin,FRA,0,13,17,43.3%,0,"1,648"
49,Eric Korita,USA,0,16,12,57.1%,0,"1,662"
50,Roberto Arguello,ARG,0,11,5,68.8%,1,"1,641"
51,Diego Perez,URU,0,19,14,57.6%,0,"1,728"
52,Balazs Taroczy,HUN,0,13,14,48.1%,0,"1,781"
53,Fernando Luna,ESP,0,19,13,59.4%,0,"1,729"
54,Stefan Edberg,SWE,0,12,10,54.5%,0,"1,616"
55,Corrado Barazzutti,ITA,0,16,14,53.3%,0,"1,705"
56,Victor Pecci,PAR,0,18,15,54.5%,1,"1,703"
57,Libor Pimek,BEL,0,19,14,57.6%,0,"1,678"
58,Steve Denton,USA,0,25,23,52.1%,0,"1,741"
59,Chip Hooper,USA,0,24,24,50.0%,0,"1,739"
61,Stefan Simonsson,SWE,0,24,19,55.8%,0,"1,676"
61,Rodney Harmon,USA,0,9,10,47.4%,0,"1,715"
62,Brad Gilbert,USA,0,33,27,55.0%,0,"1,754"
63,Thomas Hogstedt,SWE,0,15,16,48.4%,1,"1,690"
64,Juan Aguilera,ESP,0,15,11,57.7%,0,"1,715"
65,Nduka Odizor,NGR,0,19,20,48.7%,1,"1,682"
66,Mark Dickson,USA,0,28,27,50.9%,0,"1,699"
67,Wally Masur,AUS,0,19,17,52.8%,1,"1,737"
68,Claudio Panatta,ITA,0,15,19,44.1%,0,"1,700"
69,Francesco Cancellotti,ITA,0,14,9,60.9%,0,"1,623"
70,Sergio Casal,ESP,0,11,11,50.0%,0,"1,637"
72,Manuel Orantes,ESP,0,13,16,44.8%,0,"1,711"
73,Victor Amaya,USA,0,8,13,38.1%,0,"1,583"
74,Raul Ramirez,MEX,0,11,5,68.8%,1,"1,837"
75,Eric Fromm,USA,0,19,23,45.2%,0,"1,636"
76,Brad Drewett,AUS,0,21,16,56.8%,1,"1,676"
77,John Alexander,AUS,0,24,25,49.0%,1,"1,656"
78,Glenn Michibata,CAN,0,10,10,50.0%,0,"1,638"
79,Cassio Motta,BRA,0,14,21,40.0%,0,"1,679"
80,Florin Segarceanu,ROU,0,13,15,46.4%,0,"1,672"
80,Hans Simonsson,SWE,0,8,22,26.7%,0,"1,563"
81,Pavel Slozil,CZE,0,22,21,51.2%,0,"1,679"
81,Jay Lapidus,USA,0,0,7,0.0%,0,"1,635"
82,Thierry Tulasne,FRA,0,17,18,48.6%,0,"1,661"
84,Marty Davis,USA,0,10,11,47.6%,0,"1,615"
85,Jaime Fillol,CHI,—,14,16,46.7%,0,"1,649"
85,Matt Mitchell,USA,0,9,14,39.1%,0,"1,534"
85,Roland Stadler,SUI,0,9,8,52.9%,0,"1,644"
86,Pat Dupre,USA,0,9,19,32.1%,0,"1,594"
86,Zoltan Kuharszky,HUN,0,9,15,37.5%,0,"1,598"
86,Damir Keretic,GER,0,7,17,29.2%,0,"1,527"
86,Carlos Kirmayr,BRA,0,4,14,22.2%,0,"1,622"
87,Steve Meister,USA,0,6,10,37.5%,0,"1,484"
88,Tim Wilkison,USA,0,14,20,41.2%,0,"1,678"
89,Bernard Boileau,BEL,0,11,14,44.0%,0,"1,582"
90,Eddie Dibbs,USA,0,16,10,61.5%,0,"1,817"
91,Ricardo Acuna,CHI,0,15,17,46.9%,0,"1,628"
91,Peter Elter,GER,0,11,15,42.3%,0,"1,624"
91,Van Winitsky,USA,0,10,17,37.0%,0,"1,646"
91,Buster C Mottram,GBR,0,5,10,33.3%,0,"1,703"
92,Robbie Venter,RSA,0,2,9,18.2%,0,"1,487"
93,Juan Avendano,ESP,0,12,14,46.1%,0,"1,641"
93,Andreas Maurer,GER,0,10,11,47.6%,0,"1,681"
93,Aaron Krickstein,USA,0,8,5,61.5%,1,"1,646"
93,Ben Testerman,USA,0,8,16,33.3%,0,"1,564"
93,John Sadri,USA,0,8,13,38.1%,0,"1,640"
93,Rolf Gehring,GER,0,8,6,57.1%,0,"1,610"
93,John Mccurdy,AUS,0,5,12,29.4%,0,"1,503"
94,Marcos Hocevar,BRA,0,17,28,37.8%,0,"1,687"
94,Guy Forget,FRA,0,7,23,23.3%,0,"1,498"
94,Magnus Tideman,SWE,0,5,13,27.8%,0,"1,487"
94,Craig Wittus,USA,0,4,9,30.8%,0,"1,516"
95,Tom Cain,USA,0,15,19,44.1%,0,"1,608"
95,Drew Gitlin,USA,0,13,21,38.2%,0,"1,593"
95,Mike Leach,USA,0,11,14,44.0%,0,"1,615"
95,Michiel Schapers,NED,0,9,14,39.1%,0,"1,593"
95,Marko Ostoja,CRO,0,7,9,43.8%,0,"1,586"
95,Harold Solomon,USA,0,5,17,22.7%,0,"1,622"
96,Dominique Bedel,FRA,0,13,18,41.9%,0,"1,588"
96,Jim Gurfein,USA,0,13,15,46.4%,0,"1,615"
96,Russell Simpson,NZL,0,9,13,40.9%,0,"1,584"
96,Michael Westphal,GER,0,7,9,43.8%,0,"1,569"
97,Nick Saviano,USA,0,20,21,48.8%,1,"1,624"
97,Derek Tarr,USA,0,5,8,38.5%,0,"1,519"
97,Joao Soares,BRA,0,4,12,25.0%,0,"1,521"
97,Bruce Foxworth,USA,0,2,6,25.0%,0,"1,500"
98,Jeff Borowiak,USA,0,13,19,40.6%,0,"1,651"
98,Lloyd Bourne,USA,0,11,17,39.3%,0,"1,642"
98,Givaldo Barbosa,BRA,0,7,11,38.9%,0,"1,470"
98,Bruce Manson,USA,0,4,10,28.6%,0,"1,647"
98,Trey Waltke,USA,0,3,13,18.8%,0,"1,545"
99,Jan Gunnarsson,SWE,0,18,16,52.9%,0,"1,688"
99,Francisco Gonzalez,PAR,0,11,16,40.7%,0,"1,623"
99,Alejandro Ganzabal,ARG,0,9,13,40.9%,0,"1,579"
99,Kim Warwick,AUS,0,3,7,30.0%,0,"1,688"
100,Bernie Mitton,RSA,0,13,16,44.8%,0,"1,636"
100,Miloslav Mecir,SVK,—,11,5,68.8%,0,"1,657"
100,Bernard Fritz,FRA,0,10,14,41.7%,0,"1,572"
100,Rod Frawley,AUS,0,10,14,41.7%,0,"1,596"
100,Terry Moor,USA,0,8,9,47.1%,0,"1,675"
100,Alberto Tous,ESP,0,6,14,30.0%,0,"1,516"
100,Andy Andrews,USA,0,6,15,28.6%,0,"1,544"
100,Chris Johnstone,AUS,0,6,15,28.6%,0,"1,538"
100,Mike Estep,USA,0,2,4,33.3%,0,"1,535"
100,Phil Dent,AUS,0,0,5,0.0%,0,"1,637"
101,Hans Dieter Beutel,GER,0,6,4,60.0%,0,"1,564"
102,Craig A Miller,AUS,0,3,12,20.0%,0,"1,458"
104,Loic Courteau,FRA,0,9,14,39.1%,0,"1,517"
108,Mike Cahill,USA,0,0,2,0.0%,0,"1,620"
109,Egan Adams,USA,0,1,10,9.1%,0,"1,450"
112,Erick Iskersky,USA,0,7,12,36.8%,0,"1,571"
