rank,player,country,points,wins,losses,win_pct,titles,elo
1,Jimmy Connors,USA,—,95,6,94.1%,15,"2,301"
2,John Newcombe,AUS,—,87,16,84.5%,9,"2,115"
3,Bjorn Borg,SWE,—,90,24,79.0%,8,"2,057"
4,Rod Laver,AUS,—,45,10,81.8%,6,"2,115"
5,Guillermo Vilas,ARG,—,88,22,80.0%,7,"2,171"
6,Tom Okker,NED,—,65,19,77.4%,3,"2,061"
7,Arthur Ashe,USA,—,84,27,75.7%,3,"2,040"
9,Ken Rosewall,AUS,—,28,8,77.8%,0,"2,106"
10,Ilie Nastase,ROU,—,80,21,79.2%,7,"2,153"
11,Manuel Orantes,ESP,—,65,30,68.4%,0,"1,946"
12,Marty Riessen,USA,—,55,24,69.6%,1,"1,953"
14,Roscoe Tanner,USA,—,66,28,70.2%,2,"1,959"
15,Dick Stockton,USA,—,42,20,67.7%,2,"1,917"
16,Harold Solomon,USA,—,61,39,61.0%,1,"1,899"
17,Jan Kodes,CZE,—,43,22,66.2%,0,"1,936"
18,Cliff Drysdale,RSA,—,27,13,67.5%,1,"1,901"
19,Raul Ramirez,MEX,—,69,35,66.3%,2,"1,950"
20,Francois Jauffret,FRA,—,25,15,62.5%,0,"1,769"
21,Tom Gorman,USA,—,53,26,67.1%,0,"1,829"
22,Eddie Dibbs,USA,—,62,30,67.4%,1,"1,907"
23,Cliff Richey,USA,—,25,16,61.0%,1,"1,891"
24,Thomaz Koch,BRA,—,22,12,64.7%,0,"1,861"
25,Onny Parun,NZL,—,76,37,67.3%,2,"1,945"
26,John Alexander,AUS,—,38,24,61.3%,0,"1,839"
27,Tony Roche,AUS,—,33,16,67.3%,1,"1,929"
29,Ross Case,AUS,—,43,28,60.6%,1,"1,828"
30,Mark Cox,GBR,—,25,17,59.5%,0,"1,828"
31,Jaime Fillol,CHI,—,48,32,60.0%,0,"1,830"
32,Nikola Pilic,CRO,—,22,12,64.7%,0,"1,898"
33,Brian Gottfried,USA,—,56,33,62.9%,1,"1,946"
34,Adriano Panatta,ITA,—,29,16,64.4%,1,"1,839"
36,Billy Martin,USA,—,18,14,56.2%,0,"1,675"
38,Balazs Taroczy,HUN,—,21,12,63.6%,1,"1,771"
39,Vijay Amritraj,IND,—,48,28,63.2%,2,"1,810"
40,Jeff Borowiak,USA,—,34,27,55.7%,2,"1,853"
41,Phil Dent,AUS,—,29,20,59.2%,0,"1,823"
42,Roger Taylor,GBR,—,23,18,56.1%,0,"1,849"
43,Jiri Hrebec,CZE,—,21,18,53.9%,0,"1,778"
44,Hans Jurgen Pohmann,GER,—,31,30,50.8%,0,"1,752"
45,Vitas Gerulaitis,USA,—,33,19,63.5%,1,"1,802"
46,Frew Mcmillan,RSA,—,20,18,52.6%,1,"1,723"
48,Kim Warwick,AUS,—,30,23,56.6%,0,"1,717"
49,Allan Stone,AUS,—,19,19,50.0%,0,"1,760"
50,Paolo Bertolucci,ITA,—,14,6,70.0%,0,"1,776"
51,Charlie Pasarell,USA,—,29,26,52.7%,1,"1,768"
52,John Yuill,RSA,—,24,15,61.5%,0,"1,728"
53,Geoff Masters,AUS,—,24,22,52.2%,1,"1,767"
54,Jurgen Fassbender,GER,—,41,30,57.8%,1,"1,730"
55,Sandy Mayer,USA,—,29,10,74.4%,3,"1,854"
55,Buster C Mottram,GBR,—,14,13,51.9%,0,"1,767"
57,Corrado Barazzutti,ITA,—,14,7,66.7%,0,"1,692"
58,Brian Fairlie,NZL,—,12,13,48.0%,0,"1,760"
59,Bob Hewitt,RSA,—,13,17,43.3%,0,"1,715"
60,Marcello Lara,MEX,—,13,17,43.3%,0,"1,621"
