rank,player,country,points,wins,losses,win_pct,titles,elo
1,Novak Djokovic,SRB,"11,360",65,8,89.0%,7,"2,463"
2,Roger Federer,SUI,"9,775",68,12,85.0%,5,"2,343"
3,Rafael Nadal,ESP,"6,835",49,11,81.7%,4,"2,270"
4,Stan Wawrinka,SUI,"5,370",38,16,70.4%,3,"2,071"
5,Kei Nishikori,JPN,"5,025",52,15,77.6%,4,"2,211"
6,Andy Murray,GBR,"4,675",57,19,75.0%,3,"2,227"
7,Tomas Berdych,CZE,"4,600",53,22,70.7%,2,"2,082"
8,Milos Raonic,CAN,"4,440",47,20,70.2%,1,"2,087"
9,Marin Cilic,CRO,"4,150",51,21,70.8%,4,"2,127"
10,David Ferrer,ESP,"4,045",55,24,69.6%,1,"2,065"
11,Grigor Dimitrov,BUL,"3,645",50,18,73.5%,3,"2,095"
12,Jo-Wilfried Tsonga,FRA,"2,740",34,17,66.7%,1,"2,070"
13,Ernests Gulbis,LAT,"2,455",41,21,66.1%,2,"1,917"
14,Feliciano Lopez,ESP,"2,130",40,25,61.5%,1,"1,950"
15,Roberto Bautista Agut,ESP,"2,110",44,21,67.7%,2,"2,005"
16,Kevin Anderson,RSA,"2,080",39,24,61.9%,0,"1,958"
17,Tommy Robredo,ESP,"2,015",43,26,62.3%,0,"1,998"
18,Gael Monfils,FRA,"1,900",32,15,68.1%,1,"2,054"
19,John Isner,USA,"1,890",37,21,63.8%,2,"1,922"
20,Fabio Fognini,ITA,"1,790",36,24,60.0%,1,"1,823"
21,Gilles Simon,FRA,"1,730",28,25,52.8%,0,"1,953"
22,David Goffin,BEL,"1,599",22,14,61.1%,2,"1,970"
23,Alexandr Dolgopolov,UKR,"1,455",27,22,55.1%,0,"1,864"
24,Philipp Kohlschreiber,GER,"1,415",32,25,56.1%,0,"1,899"
25,Julien Benneteau,FRA,"1,365",25,22,53.2%,0,"1,895"
26,Richard Gasquet,FRA,"1,350",29,19,60.4%,0,"1,935"
27,Ivo Karlovic,CRO,"1,320",32,27,54.2%,0,"1,853"
28,Leonardo Mayer,ARG,"1,299",26,20,56.5%,1,"1,830"
29,Jeremy Chardy,FRA,"1,240",33,27,55.0%,0,"1,859"
30,Pablo Cuevas,URU,"1,222",17,12,58.6%,2,"1,842"
31,Lukas Rosol,CZE,"1,210",28,26,51.9%,1,"1,798"
32,Santiago Giraldo,COL,"1,175",28,27,50.9%,0,"1,786"
33,Fernando Verdasco,ESP,"1,135",26,20,56.5%,1,"1,880"
34,Martin Klizan,SVK,"1,094",23,16,59.0%,1,"1,899"
35,Sam Querrey,USA,"1,090",26,20,56.5%,0,"1,893"
36,Guillermo Garcia-Lopez,ESP,"1,040",25,26,49.0%,1,"1,740"
37,Steve Johnson,USA,999,20,20,50.0%,0,"1,754"
38,Yen-Hsun Lu,TPE,993,24,22,52.2%,0,"1,798"
39,Dominic Thiem,AUT,989,22,23,48.9%,0,"1,848"
40,Benjamin Becker,GER,973,27,25,51.9%,0,"1,835"
41,Pablo Andujar,ESP,950,23,22,51.1%,1,"1,831"
42,Jack Sock,USA,934,27,20,57.5%,0,"1,893"
43,Jerzy Janowicz,POL,915,22,24,47.8%,0,"1,849"
44,Adrian Mannarino,FRA,898,15,22,40.5%,0,"1,749"
45,Andreas Seppi,ITA,870,22,27,44.9%,0,"1,774"
46,Marcel Granollers,ESP,860,19,27,41.3%,0,"1,781"
47,Gilles Muller,LUX,855,4,6,40.0%,0,"1,743"
48,Mikhail Youzhny,RUS,850,18,24,42.9%,0,"1,795"
49,Denis Istomin,UZB,850,24,23,51.1%,0,"1,853"
50,Lleyton Hewitt,AUS,845,19,15,55.9%,2,"1,841"
51,Pablo Carreno Busta,ESP,841,14,24,36.8%,0,"1,751"
