rank,player,country,points,wins,losses,win_pct,titles,elo
1,Ivan Lendl,USA,0,80,6,93.0%,11,"2,367"
2,John McEnroe,USA,0,69,9,88.5%,8,"2,273"
3,Mats Wilander,SWE,0,65,17,79.3%,3,"2,108"
4,Jimmy Connors,USA,0,45,15,75.0%,0,"2,133"
5,Stefan Edberg,SWE,0,58,17,77.3%,4,"2,129"
6,Boris Becker,GER,0,50,18,73.5%,3,"2,066"
7,Yannick Noah,FRA,0,50,17,74.6%,3,"1,954"
8,Anders Jarryd,SWE,0,51,20,71.8%,1,"1,982"
9,Miloslav Mecir,SVK,—,34,14,70.8%,2,"1,781"
10,Kevin Curren,USA,0,25,13,65.8%,1,"1,895"
11,Joakim Nystrom,SWE,0,50,21,70.4%,2,"1,925"
12,Tim Mayotte,USA,0,48,19,71.6%,1,"1,919"
13,Paul Annacone,USA,0,45,19,70.3%,2,"1,903"
14,Johan Kriek,USA,0,43,21,67.2%,1,"1,907"
15,Andres Gomez,ECU,0,26,14,65.0%,1,"1,970"
16,Henri Leconte,FRA,0,44,21,67.7%,2,"1,932"
17,Scott Davis,USA,0,37,21,63.8%,1,"1,760"
18,Brad Gilbert,USA,0,53,22,70.7%,3,"1,892"
19,Tomas Smid,CZE,0,47,27,63.5%,1,"1,804"
20,Martin Jaite,ARG,0,37,17,68.5%,1,"1,813"
21,Jimmy Arias,USA,0,32,21,60.4%,0,"1,810"
22,Henrik Sundstrom,SWE,0,26,18,59.1%,0,"1,741"
23,Thierry Tulasne,FRA,0,34,21,61.8%,3,"1,878"
24,Eliot Teltscher,USA,0,19,12,61.3%,0,"1,830"
25,Jan Gunnarsson,SWE,0,30,20,60.0%,1,"1,797"
26,David Pate,USA,0,31,24,56.4%,0,"1,741"
27,Greg Holmes,USA,0,25,19,56.8%,0,"1,700"
28,Jose Luis Clerc,ARG,0,23,13,63.9%,0,"1,811"
29,Aaron Krickstein,USA,0,24,20,54.5%,0,"1,765"
30,Matt Anger,USA,0,17,10,63.0%,1,"1,795"
31,Peter Lundgren,SWE,0,8,4,66.7%,1,"1,670"
32,Andreas Maurer,GER,0,28,14,66.7%,1,"1,770"
33,Jakob Hlasek,SUI,0,29,23,55.8%,0,"1,784"
34,Libor Pimek,BEL,0,25,19,56.8%,0,"1,784"
36,Heinz Gunthardt,SUI,0,22,19,53.7%,0,"1,818"
37,Mike Leach,USA,0,18,17,51.4%,0,"1,719"
38,Sergio Casal,ESP,0,18,10,64.3%,1,"1,712"
39,Guillermo Vilas,ARG,0,17,14,54.8%,0,"1,767"
43,Bud Schultz,USA,0,26,18,59.1%,0,"1,742"
44,Tim Wilkison,USA,0,36,28,56.2%,1,"1,807"
45,Jaime Yzaga,PER,0,4,3,57.1%,0,"1,604"
46,John Sadri,USA,0,25,25,50.0%,0,"1,749"
47,Hans Schwaier,GER,0,23,19,54.8%,0,"1,709"
48,Paul Mcnamee,AUS,0,13,12,52.0%,0,"1,716"
49,Ronald Agenor,HAI,0,17,14,54.8%,0,"1,657"
50,Kent Carlsson,SWE,0,17,12,58.6%,0,"1,672"
51,Michael Westphal,GER,0,15,16,48.4%,0,"1,702"
