rank,player,country,points,wins,losses,win_pct,titles,elo
1,Jim Courier,USA,0,66,15,81.5%,5,"2,086"
2,Stefan Edberg,SWE,0,64,19,77.1%,3,"2,044"
3,Pete Sampras,USA,0,66,15,81.5%,5,"2,118"
4,Goran Ivanisevic,CRO,0,57,18,76.0%,4,"2,090"
5,Boris Becker,GER,0,48,15,76.2%,5,"2,145"
6,Michael Chang,USA,0,57,22,72.2%,3,"1,975"
7,Petr Korda,CZE,0,57,28,67.1%,3,"1,940"
8,Ivan Lendl,USA,0,51,24,68.0%,1,"2,006"
9,Andre Agassi,USA,0,35,15,70.0%,3,"1,972"
10,Richard Krajicek,NED,0,47,24,66.2%,2,"1,950"
11,Guy Forget,FRA,0,42,21,66.7%,1,"1,978"
12,Wayne Ferreira,RSA,0,48,24,66.7%,2,"1,847"
13,MaliVai Washington,USA,0,50,22,69.4%,2,"1,822"
14,Carlos Costa,ESP,0,39,21,65.0%,2,"1,761"
15,Michael Stich,GER,0,42,19,68.8%,2,"2,016"
16,Sergi Bruguera,ESP,0,41,19,68.3%,3,"1,858"
17,Alexander Volkov,RUS,0,45,30,60.0%,0,"1,825"
18,Thomas Muster,AUT,0,39,22,63.9%,3,"1,793"
19,Henrik Holm,SWE,0,25,15,62.5%,0,"1,814"
20,John McEnroe,USA,0,32,18,64.0%,0,"1,882"
21,Emilio Sanchez,ESP,0,40,25,61.5%,1,"1,783"
22,Francisco Clavet,ESP,0,39,29,57.4%,0,"1,757"
23,Karel Novacek,CZE,0,37,23,61.7%,3,"1,819"
24,Andrei Medvedev,UKR,0,32,12,72.7%,3,"1,836"
25,Amos Mansdorf,ISR,0,35,27,56.5%,0,"1,771"
26,Brad Gilbert,USA,0,39,26,60.0%,0,"1,762"
27,Arnaud Boetsch,FRA,0,34,25,57.6%,0,"1,874"
28,Aaron Krickstein,USA,0,31,15,67.4%,1,"1,825"
29,Carl Uwe Steeb,GER,0,31,24,56.4%,0,"1,787"
30,Andrei Chesnokov,RUS,0,28,27,50.9%,0,"1,726"
31,Alberto Mancini,ARG,0,26,20,56.5%,0,"1,720"
32,Andrei Cherkasov,RUS,0,29,29,50.0%,0,"1,711"
33,Cedric Pioline,FRA,0,31,27,53.5%,0,"1,845"
34,Magnus Larsson,SWE,0,27,19,58.7%,2,"1,802"
35,Marc Rosset,SUI,0,31,22,58.5%,1,"1,826"
36,Jakob Hlasek,SUI,0,24,22,52.2%,0,"1,806"
37,Jordi Arrese,ESP,0,26,21,55.3%,1,"1,724"
38,Wally Masur,AUS,0,38,27,58.5%,0,"1,787"
39,Paul Haarhuis,NED,0,32,28,53.3%,0,"1,681"
40,Mark Woodforde,AUS,0,27,23,54.0%,0,"1,814"
41,Javier Sanchez,ESP,0,33,32,50.8%,0,"1,699"
42,Omar Camporese,ITA,0,26,22,54.2%,1,"1,696"
43,Fabrice Santoro,FRA,0,25,22,53.2%,0,"1,728"
44,David Wheaton,USA,0,30,23,56.6%,0,"1,804"
45,Jeff Tarango,USA,0,28,24,53.9%,2,"1,694"
46,Franco Davin,ARG,0,21,16,56.8%,0,"1,682"
47,Magnus Gustafsson,SWE,0,26,20,56.5%,1,"1,787"
48,Jaime Oncins,BRA,0,24,18,57.1%,2,"1,765"
49,Jaime Yzaga,PER,0,25,18,58.1%,2,"1,687"
50,Guillermo Perez-Roldan,ARG,0,24,18,57.1%,1,"1,646"
51,Luiz Mattar,BRA,0,21,16,56.8%,1,"1,718"
52,Bernd Karbacher,GER,0,16,14,53.3%,1,"1,684"
53,Renzo Furlan,ITA,0,24,28,46.1%,0,"1,667"
54,Todd Woodbridge,AUS,0,25,22,53.2%,0,"1,684"
