rank,player,country,points,wins,losses,win_pct,titles,elo
1,Novak Djokovic,SRB,"9,045",53,12,81.5%,4,"2,332"
2,Rafael Nadal,ESP,"7,480",43,4,91.5%,5,"2,339"
3,Roger Federer,SUI,"6,420",49,10,83.0%,4,"2,261"
4,Alexander Zverev,GER,"6,385",55,18,75.3%,4,"2,125"
5,Juan Martin del Potro,ARG,"5,300",48,13,78.7%,2,"2,190"
6,Kevin Anderson,RSA,"4,710",48,19,71.6%,2,"2,123"
7,Marin Cilic,CRO,"4,250",40,19,67.8%,1,"2,056"
8,Dominic Thiem,AUT,"4,095",50,21,70.4%,3,"2,064"
9,Kei Nishikori,JPN,"3,590",43,21,67.2%,0,"2,105"
10,John Isner,USA,"3,155",32,22,59.3%,2,"1,956"
11,Karen Khachanov,RUS,"2,835",44,22,66.7%,3,"2,096"
12,Borna Coric,CRO,"2,480",35,19,64.8%,1,"2,014"
13,Fabio Fognini,ITA,"2,315",44,22,66.7%,3,"1,949"
14,Kyle Edmund,GBR,"2,150",37,21,63.8%,1,"1,958"
15,Stefanos Tsitsipas,GRE,"2,095",41,27,60.3%,1,"1,984"
16,Daniil Medvedev,RUS,"1,977",41,23,64.1%,3,"2,033"
17,Diego Schwartzman,ARG,"1,880",30,25,54.5%,1,"1,874"
18,Milos Raonic,CAN,"1,855",31,18,63.3%,0,"1,952"
19,Grigor Dimitrov,BUL,"1,835",24,19,55.8%,0,"1,933"
20,Marco Cecchinato,ITA,"1,819",23,23,50.0%,2,"1,771"
21,Nikoloz Basilashvili,GEO,"1,795",29,26,52.7%,2,"1,925"
22,David Goffin,BEL,"1,785",27,16,62.8%,0,"2,024"
23,Pablo Carreno Busta,ESP,"1,705",31,21,59.6%,0,"1,867"
24,Roberto Bautista Agut,ESP,"1,605",33,18,64.7%,2,"1,932"
25,Hyeon Chung,KOR,"1,585",29,18,61.7%,0,"1,871"
26,Richard Gasquet,FRA,"1,535",34,23,59.6%,1,"1,933"
27,Denis Shapovalov,CAN,"1,440",33,27,55.0%,0,"1,868"
28,Fernando Verdasco,ESP,"1,410",33,28,54.1%,0,"1,915"
29,Gael Monfils,FRA,"1,400",30,20,60.0%,1,"1,921"
30,Gilles Simon,FRA,"1,370",33,24,57.9%,2,"1,861"
31,Alex de Minaur,AUS,"1,298",25,19,56.8%,0,"1,851"
32,Lucas Pouille,FRA,"1,245",22,20,52.4%,1,"1,804"
33,Steve Johnson,USA,"1,190",27,22,55.1%,2,"1,833"
34,Philipp Kohlschreiber,GER,"1,125",24,22,52.2%,0,"1,886"
35,Nick Kyrgios,AUS,"1,125",24,13,64.9%,1,"1,965"
36,Marton Fucsovics,HUN,"1,122",25,23,52.1%,1,"1,807"
37,Andreas Seppi,ITA,"1,106",24,21,53.3%,0,"1,783"
38,John Millman,AUS,"1,083",19,19,50.0%,0,"1,835"
39,Frances Tiafoe,USA,"1,080",27,22,55.1%,1,"1,821"
40,Jeremy Chardy,FRA,"1,050",24,21,53.3%,0,"1,830"
41,Martin Klizan,SVK,"1,050",18,9,66.7%,1,"1,917"
42,Adrian Mannarino,FRA,"1,045",25,29,46.3%,0,"1,791"
43,Nicolas Jarry,CHI,"1,022",25,21,54.4%,0,"1,765"
44,Joao Sousa,POR,"1,017",25,26,49.0%,1,"1,783"
45,Malek Jaziri,TUN,"1,014",20,22,47.6%,0,"1,715"
46,Matthew Ebden,AUS,"1,001",19,22,46.3%,0,"1,791"
