rank,player,country,points,wins,losses,win_pct,titles,elo
1,Novak Djokovic,SRB,"13,630",72,6,92.3%,10,"2,357"
2,Rafael Nadal,ESP,"9,595",64,15,81.0%,3,"2,260"
3,Roger Federer,SUI,"8,170",61,12,83.6%,4,"2,340"
4,Andy Murray,GBR,"7,380",54,13,80.6%,5,"2,254"
5,David Ferrer,ESP,"4,925",55,19,74.3%,2,"2,108"
6,Jo-Wilfried Tsonga,FRA,"4,335",56,23,70.9%,2,"2,161"
7,Tomas Berdych,CZE,"3,700",51,23,68.9%,1,"2,080"
8,Mardy Fish,USA,"2,965",42,22,65.6%,1,"2,012"
9,Janko Tipsarevic,SRB,"2,595",49,24,67.1%,2,"2,006"
10,Nicolas Almagro,ESP,"2,380",47,23,67.1%,3,"1,874"
11,Juan Martin del Potro,ARG,"2,315",46,17,73.0%,2,"2,042"
12,Gilles Simon,FRA,"2,165",38,25,60.3%,2,"1,905"
13,Robin Soderling,SWE,"2,120",34,9,79.1%,4,"2,127"
14,Andy Roddick,USA,"1,940",32,15,68.1%,1,"2,024"
15,Alexandr Dolgopolov,UKR,"1,925",38,29,56.7%,1,"1,846"
16,Gael Monfils,FRA,"1,910",37,17,68.5%,1,"1,996"
17,Stan Wawrinka,SUI,"1,820",33,19,63.5%,1,"1,915"
18,John Isner,USA,"1,800",34,19,64.2%,2,"2,021"
19,Richard Gasquet,FRA,"1,765",34,18,65.4%,0,"1,984"
20,Feliciano Lopez,ESP,"1,755",35,25,58.3%,0,"1,968"
21,Marin Cilic,CRO,"1,665",40,23,63.5%,1,"1,963"
22,Viktor Troicki,SRB,"1,655",34,24,58.6%,0,"1,846"
23,Florian Mayer,GER,"1,630",42,24,63.6%,1,"1,939"
24,Fernando Verdasco,ESP,"1,550",34,24,58.6%,0,"1,930"
25,Kei Nishikori,JPN,"1,430",32,22,59.3%,0,"1,922"
26,Juan Monaco,ARG,"1,335",26,24,52.0%,0,"1,932"
27,Marcel Granollers,ESP,"1,335",27,22,55.1%,2,"1,897"
28,Radek Stepanek,CZE,"1,275",30,24,55.6%,1,"1,880"
29,Juan Ignacio Chela,ARG,"1,270",24,24,50.0%,0,"1,737"
30,Ivan Ljubicic,CRO,"1,270",25,19,56.8%,0,"1,909"
31,Milos Raonic,CAN,"1,255",30,18,62.5%,1,"1,839"
32,Kevin Anderson,RSA,"1,235",39,27,59.1%,1,"1,889"
