rank,player,country,points,wins,losses,win_pct,titles,elo
1,Stefan Edberg,SWE,0,67,13,83.8%,7,"2,172"
2,Boris Becker,GER,0,69,14,83.1%,5,"2,206"
3,Ivan Lendl,USA,0,54,12,81.8%,5,"2,130"
4,Andre Agassi,USA,0,43,10,81.1%,4,"2,112"
5,Pete Sampras,USA,0,51,19,72.9%,4,"2,047"
6,Andres Gomez,ECU,0,38,27,58.5%,3,"1,726"
7,Thomas Muster,AUT,0,45,17,72.6%,3,"1,862"
8,Emilio Sanchez,ESP,0,48,24,66.7%,2,"1,812"
9,Goran Ivanisevic,CRO,0,46,22,67.7%,1,"1,921"
10,Brad Gilbert,USA,0,46,19,70.8%,3,"1,952"
11,Jonas Svensson,SWE,0,41,19,68.3%,1,"1,894"
12,Andrei Chesnokov,RUS,0,43,20,68.2%,2,"1,861"
13,John McEnroe,USA,0,33,15,68.8%,1,"1,967"
14,Guillermo Perez-Roldan,ARG,0,41,21,66.1%,1,"1,788"
15,Michael Chang,USA,0,34,19,64.2%,1,"1,917"
16,Guy Forget,FRA,0,38,23,62.3%,1,"1,799"
17,Jakob Hlasek,SUI,0,41,22,65.1%,1,"1,937"
18,Jay Berger,USA,0,32,18,64.0%,0,"1,849"
19,Juan Aguilera,ESP,0,31,19,62.0%,2,"1,770"
20,Aaron Krickstein,USA,0,37,26,58.7%,0,"1,816"
21,Andrei Cherkasov,RUS,0,35,26,57.4%,1,"1,877"
22,Marc Rosset,SUI,0,35,23,60.3%,1,"1,811"
23,Richey Reneberg,USA,0,37,25,59.7%,0,"1,821"
24,Alexander Volkov,RUS,0,34,26,56.7%,0,"1,835"
25,Jim Courier,USA,0,39,21,65.0%,0,"1,861"
26,Horst Skoff,AUT,0,31,22,58.5%,1,"1,753"
27,David Wheaton,USA,0,35,20,63.6%,1,"1,873"
28,Sergi Bruguera,ESP,0,33,24,57.9%,0,"1,785"
29,Ronald Agenor,HAI,0,33,25,56.9%,2,"1,815"
30,Henri Leconte,FRA,0,25,17,59.5%,0,"1,797"
31,Magnus Gustafsson,SWE,0,25,16,61.0%,0,"1,825"
32,Richard Fromberg,AUS,0,29,21,58.0%,2,"1,662"
33,Amos Mansdorf,ISR,0,39,23,62.9%,1,"1,827"
34,Karel Novacek,CZE,0,31,29,51.7%,1,"1,705"
35,Franco Davin,ARG,0,33,20,62.3%,1,"1,761"
36,Martin Jaite,ARG,0,31,19,62.0%,2,"1,767"
37,Tim Mayotte,USA,0,18,19,48.6%,0,"1,745"
38,Petr Korda,CZE,0,23,26,46.9%,0,"1,729"
39,Jordi Arrese,ESP,0,26,21,55.3%,2,"1,736"
40,Yannick Noah,FRA,0,22,21,51.2%,1,"1,724"
41,Mats Wilander,SWE,0,21,13,61.8%,1,"1,894"
42,Michael Stich,GER,0,29,23,55.8%,1,"1,781"
43,Luiz Mattar,BRA,0,25,18,58.1%,1,"1,696"
44,Scott Davis,USA,0,24,22,52.2%,1,"1,771"
45,Omar Camporese,ITA,0,28,21,57.1%,0,"1,731"
46,Carl Uwe Steeb,GER,0,21,21,50.0%,0,"1,711"
47,Derrick Rostagno,USA,0,21,18,53.9%,1,"1,728"
48,Mark Koevermans,NED,0,26,19,57.8%,1,"1,753"
49,Marcelo Filippini,URU,0,24,22,52.2%,0,"1,685"
50,Todd Woodbridge,AUS,0,16,17,48.5%,0,"1,704"
51,Nicklas Kulti,SWE,0,15,11,57.7%,0,"1,745"
53,Wally Masur,AUS,0,24,22,52.2%,0,"1,725"
54,Paul Haarhuis,NED,0,20,25,44.4%,0,"1,668"
55,Goran Prpic,CRO,0,26,21,55.3%,1,"1,669"
56,Magnus Larsson,SWE,0,15,9,62.5%,1,"1,680"
57,Darren Cahill,AUS,0,22,19,53.7%,0,"1,823"
58,Todd Witsken,USA,0,23,20,53.5%,0,"1,770"
59,Thierry Champion,FRA,0,15,16,48.4%,0,"1,696"
60,Jimmy Arias,USA,0,24,26,48.0%,0,"1,681"
62,Fabrice Santoro,FRA,0,15,16,48.4%,0,"1,684"
63,Horacio de la Pena,ARG,0,20,14,58.8%,1,"1,724"
64,Alex Antonitsch,AUT,0,25,19,56.8%,1,"1,700"
