rank,player,country,points,wins,losses,win_pct,titles,elo
1,Roger Federer,SUI,"6,335",70,5,93.3%,11,"2,301"
2,Andy Roddick,USA,"3,655",66,15,81.5%,4,"2,078"
3,Lleyton Hewitt,AUS,"3,590",64,16,80.0%,4,"2,076"
4,Marat Safin,RUS,"3,060",50,21,70.4%,3,"1,987"
5,Carlos Moya,ESP,"2,520",53,17,75.7%,3,"1,903"
6,Tim Henman,GBR,"2,465",41,20,67.2%,0,"1,926"
7,Guillermo Coria,ARG,"2,400",37,15,71.2%,2,"1,923"
8,Andre Agassi,USA,"2,100",37,13,74.0%,1,"2,002"
9,David Nalbandian,ARG,"1,945",33,14,70.2%,0,"1,905"
10,Gaston Gaudio,ARG,"1,920",35,24,59.3%,1,"1,805"
11,Joachim Johansson,SWE,"1,595",34,21,61.8%,1,"1,821"
12,Guillermo Canas,ARG,"1,595",40,21,65.6%,3,"1,898"
13,Tommy Robredo,ESP,"1,465",39,24,61.9%,1,"1,823"
14,Dominik Hrbaty,SVK,"1,380",40,24,62.5%,3,"1,742"
15,Sebastien Grosjean,FRA,"1,370",25,14,64.1%,0,"1,821"
16,Mikhail Youzhny,RUS,"1,340",38,25,60.3%,1,"1,870"
17,Tommy Haas,GER,"1,330",35,18,66.0%,2,"1,909"
18,Andrei Pavel,ROU,"1,325",31,23,57.4%,0,"1,772"
19,Nicolas Massu,CHI,"1,320",30,27,52.6%,1,"1,738"
20,Vincent Spadea,USA,"1,285",39,25,60.9%,1,"1,784"
21,Nicolas Kiefer,GER,"1,240",32,19,62.8%,0,"1,897"
22,Ivan Ljubicic,CRO,"1,235",33,22,60.0%,0,"1,809"
23,Fernando Gonzalez,CHI,"1,235",29,20,59.2%,1,"1,728"
24,Jiri Novak,CZE,"1,195",37,20,64.9%,2,"1,918"
25,Feliciano Lopez,ESP,"1,185",30,24,55.6%,1,"1,833"
26,Juan Ignacio Chela,ARG,"1,135",33,25,56.9%,1,"1,735"
27,Paradorn Srichaphan,THA,"1,130",42,28,60.0%,1,"1,774"
28,Nikolay Davydenko,RUS,"1,085",32,28,53.3%,2,"1,758"
29,Mario Ancic,CRO,"1,061",26,21,55.3%,0,"1,732"
30,Thomas Johansson,SWE,"1,013",29,20,59.2%,1,"1,855"
31,Juan Carlos Ferrero,ESP,955,19,15,55.9%,0,"1,751"
32,Taylor Dent,USA,955,28,23,54.9%,0,"1,744"
33,Radek Stepanek,CZE,950,28,23,54.9%,0,"1,790"
34,Robin Soderling,SWE,950,31,26,54.4%,1,"1,824"
35,Florian Mayer,GER,939,19,16,54.3%,0,"1,739"
36,Fernando Verdasco,ESP,938,31,25,55.4%,1,"1,732"
37,Mardy Fish,USA,935,21,17,55.3%,0,"1,728"
38,Luis Horna,PER,925,30,27,52.6%,0,"1,736"
39,Jurgen Melzer,AUT,920,27,22,55.1%,0,"1,769"
40,Gustavo Kuerten,BRA,905,23,12,65.7%,1,"1,834"
41,Michael Llodra,FRA,890,20,12,62.5%,1,"1,734"
