rank,player,country,points,wins,losses,win_pct,titles,elo
1,Stefan Edberg,SWE,0,73,14,83.9%,6,"2,146"
2,Jim Courier,USA,0,57,17,77.0%,3,"2,047"
3,Boris Becker,GER,0,46,13,78.0%,2,"2,112"
4,Michael Stich,GER,0,68,23,74.7%,4,"1,989"
5,Ivan Lendl,USA,0,55,18,75.3%,3,"2,031"
6,Pete Sampras,USA,0,52,17,75.4%,4,"2,091"
7,Guy Forget,FRA,0,57,19,75.0%,6,"1,985"
8,Karel Novacek,CZE,0,56,29,65.9%,4,"1,845"
9,Petr Korda,CZE,0,44,22,66.7%,2,"1,922"
10,Andre Agassi,USA,0,36,17,67.9%,2,"1,961"
11,Sergi Bruguera,ESP,0,49,22,69.0%,3,"1,831"
12,Magnus Gustafsson,SWE,0,47,17,73.4%,3,"1,947"
13,Derrick Rostagno,USA,0,39,24,61.9%,0,"1,889"
14,Emilio Sanchez,ESP,0,40,22,64.5%,3,"1,823"
15,Michael Chang,USA,0,47,20,70.2%,1,"2,002"
16,Goran Ivanisevic,CRO,0,35,21,62.5%,1,"1,922"
17,David Wheaton,USA,0,33,19,63.5%,1,"1,955"
18,Goran Prpic,CRO,0,36,28,56.2%,0,"1,709"
19,Brad Gilbert,USA,0,34,21,61.8%,0,"1,851"
20,Jakob Hlasek,SUI,0,45,25,64.3%,1,"1,869"
21,Andrei Cherkasov,RUS,0,37,29,56.1%,1,"1,815"
22,Alberto Mancini,ARG,0,25,17,59.5%,0,"1,717"
23,Jordi Arrese,ESP,0,36,22,62.1%,2,"1,806"
24,Omar Camporese,ITA,0,36,25,59.0%,1,"1,788"
25,Alexander Volkov,RUS,0,42,29,59.1%,1,"1,828"
26,Jan Siemerink,NED,0,30,21,58.8%,1,"1,756"
27,Richey Reneberg,USA,0,32,18,64.0%,1,"1,805"
28,John McEnroe,USA,0,32,18,64.0%,1,"1,831"
29,Jonas Svensson,SWE,0,24,21,53.3%,1,"1,787"
30,Francisco Clavet,ESP,0,38,26,59.4%,0,"1,753"
31,Andrei Chesnokov,RUS,0,28,21,57.1%,1,"1,781"
32,Javier Sanchez,ESP,0,36,28,56.2%,0,"1,733"
33,Horst Skoff,AUT,0,34,29,54.0%,0,"1,744"
34,Aaron Krickstein,USA,0,28,21,57.1%,0,"1,856"
35,Thomas Muster,AUT,0,30,18,62.5%,2,"1,835"
36,Patrick McEnroe,USA,0,29,21,58.0%,0,"1,763"
37,Paul Haarhuis,NED,0,25,25,50.0%,0,"1,728"
38,Carl Uwe Steeb,GER,0,27,27,50.0%,1,"1,745"
39,Olivier Delaitre,FRA,0,19,11,63.3%,0,"1,725"
40,Guillermo Perez-Roldan,ARG,0,26,16,61.9%,1,"1,767"
41,Wayne Ferreira,RSA,0,26,21,55.3%,0,"1,712"
42,Cristiano Caratti,ITA,0,22,22,50.0%,0,"1,595"
43,Fabrice Santoro,FRA,0,26,21,55.3%,0,"1,697"
44,Christian Bergstrom,SWE,0,29,23,55.8%,0,"1,752"
45,Richard Krajicek,NED,0,26,20,56.5%,1,"1,745"
46,Martin Jaite,ARG,0,24,21,53.3%,1,"1,706"
47,Anders Jarryd,SWE,0,26,21,55.3%,0,"1,763"
48,Thierry Champion,FRA,0,24,29,45.3%,0,"1,713"
49,Jimmy Connors,USA,0,19,14,57.6%,0,"1,887"
50,MaliVai Washington,USA,0,33,22,60.0%,0,"1,813"
51,Cedric Pioline,FRA,0,21,20,51.2%,0,"1,664"
52,Renzo Furlan,ITA,0,22,26,45.8%,0,"1,664"
53,Jaime Yzaga,PER,0,24,17,58.5%,1,"1,766"
54,Arnaud Boetsch,FRA,0,22,18,55.0%,0,"1,729"
55,Carlos Costa,ESP,0,15,13,53.6%,0,"1,659"
56,Wally Masur,AUS,0,26,24,52.0%,0,"1,721"
57,Markus Zoecke,GER,0,13,12,52.0%,0,"1,659"
58,Kevin Curren,USA,0,18,20,47.4%,0,"1,700"
59,Frederic Fontang,FRA,0,11,10,52.4%,1,"1,604"
60,Marc Rosset,SUI,0,18,28,39.1%,0,"1,648"
61,Magnus Larsson,SWE,0,21,21,50.0%,0,"1,718"
62,Amos Mansdorf,ISR,0,21,25,45.6%,0,"1,738"
63,Jimmy Arias,USA,0,23,19,54.8%,0,"1,691"
64,Jaime Oncins,BRA,0,22,17,56.4%,0,"1,677"
65,Stefano Pescosolido,ITA,0,10,16,38.5%,0,"1,537"
66,Gabriel Markus,ARG,0,11,10,52.4%,0,"1,595"
67,Javier Frana,ARG,0,23,15,60.5%,1,"1,692"
69,Shuzo Matsuoka,JPN,0,23,19,54.8%,0,"1,628"
70,Andres Gomez,ECU,0,20,19,51.3%,1,"1,722"
71,Mark Koevermans,NED,0,16,25,39.0%,0,"1,596"
72,Bryan Shelton,USA,0,16,12,57.1%,1,"1,636"
73,Jean-Philippe Fleurian,FRA,0,20,28,41.7%,0,"1,584"
74,Ronald Agenor,HAI,0,16,27,37.2%,0,"1,643"
75,Jason Stoltenberg,AUS,0,20,20,50.0%,0,"1,716"
76,Gianluca Pozzi,ITA,0,16,13,55.2%,1,"1,696"
77,Todd Woodbridge,AUS,0,23,25,47.9%,0,"1,702"
78,Lars Jonsson,SWE,0,21,18,53.9%,0,"1,673"
79,Grant Connell,CAN,0,20,21,48.8%,0,"1,665"
80,Nicklas Kulti,SWE,0,18,24,42.9%,1,"1,656"
81,German Lopez,ESP,0,11,9,55.0%,0,"1,624"
82,Patrick Baur,GER,0,17,22,43.6%,2,"1,494"
83,Christian Miniussi,ARG,0,12,4,75.0%,1,"1,687"
84,Christian Saceanu,GER,0,15,20,42.9%,1,"1,563"
85,Michiel Schapers,NED,0,6,5,54.5%,0,"1,611"
86,Patrik Kuhnen,GER,0,21,24,46.7%,0,"1,660"
87,Jim Grabb,USA,0,19,23,45.2%,0,"1,679"
88,Mark Woodforde,AUS,0,12,21,36.4%,0,"1,631"
89,Lars Koslowski,GER,0,4,2,66.7%,0,"1,589"
90,Bart Wuyts,BEL,0,7,17,29.2%,0,"1,479"
91,Darren Cahill,AUS,0,15,6,71.4%,1,"1,869"
92,Rodolphe Gilbert,FRA,0,11,17,39.3%,0,"1,553"
93,Roberto Azar,ARG,0,8,13,38.1%,0,"1,528"
94,Jan Gunnarsson,SWE,0,15,17,46.9%,0,"1,643"
95,Richard Fromberg,AUS,0,18,20,47.4%,1,"1,643"
96,Tomas Carbonell,ESP,0,14,26,35.0%,0,"1,623"
97,Marian Vajda,SVK,0,18,26,40.9%,0,"1,598"
98,Veli Paloheimo,FIN,0,12,20,37.5%,0,"1,624"
99,Eduardo Masso,BEL,0,15,19,44.1%,0,"1,642"
100,Fernando Roese,BRA,0,8,8,50.0%,0,"1,497"
101,Horacio de la Pena,ARG,0,16,18,47.1%,0,"1,720"
103,Dimitri Poliakov,UKR,0,12,11,52.2%,1,"1,604"
104,Guillaume Raoux,FRA,0,14,25,35.9%,0,"1,615"
105,Alexander Mronz,GER,0,16,25,39.0%,0,"1,578"
106,Jeff Tarango,USA,0,16,23,41.0%,0,"1,612"
107,Marcelo Filippini,URU,0,9,21,30.0%,0,"1,528"
108,Pat Cash,AUS,0,14,11,56.0%,0,"1,806"
109,Diego Nargiso,ITA,0,9,14,39.1%,0,"1,603"
110,Todd Witsken,USA,0,12,16,42.9%,0,"1,677"
111,Alex Antonitsch,AUT,0,10,15,40.0%,0,"1,600"
112,Franco Davin,ARG,0,11,14,44.0%,0,"1,711"
113,Luiz Mattar,BRA,0,17,24,41.5%,0,"1,635"
114,Jacco Eltingh,NED,0,12,24,33.3%,0,"1,510"
115,Tim Mayotte,USA,0,12,13,48.0%,0,"1,716"
116,Claudio Pistolesi,ITA,0,5,13,27.8%,0,"1,531"
117,Chuck Adams,USA,0,10,12,45.5%,0,"1,574"
118,Eric Jelen,GER,0,13,24,35.1%,0,"1,613"
119,Marcos Aurelio Gorriz,ESP,0,4,3,57.1%,0,"1,504"
120,Martin Strelba,CZE,0,0,3,0.0%,0,"1,511"
121,Pablo Arraya,PER,0,9,10,47.4%,0,"1,545"
122,Paolo Cane,ITA,0,8,6,57.1%,1,"1,684"
123,Byron Black,ZIM,0,2,3,40.0%,0,"1,521"
124,Danilo Marcelino,BRA,0,10,13,43.5%,0,"1,539"
125,Gilad Bloom,ISR,0,15,24,38.5%,0,"1,634"
126,Massimo Cierro,ITA,0,3,4,42.9%,0,"1,521"
127,Claudio Mezzadri,SUI,0,5,7,41.7%,0,"1,589"
128,Luis Herrera,MEX,0,13,23,36.1%,0,"1,514"
129,Francisco Roig,ESP,0,9,11,45.0%,0,"1,617"
130,Thomas Hogstedt,SWE,0,11,23,32.4%,0,"1,518"
131,Henrik Holm,SWE,0,6,12,33.3%,0,"1,503"
132,Chris Pridham,CAN,0,3,5,37.5%,0,"1,494"
133,Leonardo Lavalle,MEX,0,5,3,62.5%,1,"1,656"
134,Todd Martin,USA,0,10,8,55.6%,0,"1,648"
135,Glenn Layendecker,USA,0,6,8,42.9%,0,"1,610"
136,Andrei Olhovskiy,RUS,0,4,10,28.6%,0,"1,513"
137,Marcos Ondruska,RSA,0,3,5,37.5%,0,"1,588"
138,Peter Lundgren,SWE,0,13,25,34.2%,0,"1,608"
139,Steve Bryan,USA,0,5,3,62.5%,0,"1,570"
140,Simon Youl,AUS,0,5,9,35.7%,0,"1,564"
142,Johan Anderson,AUS,0,5,8,38.5%,0,"1,552"
143,Scott Davis,USA,0,9,22,29.0%,0,"1,590"
144,Francisco Montana,USA,0,2,3,40.0%,0,"1,511"
145,Nicolas Pereira,VEN,0,2,6,25.0%,0,"1,483"
146,Karsten Braasch,GER,0,2,3,40.0%,0,"1,525"
148,Chris Garner,USA,0,8,11,42.1%,0,"1,544"
149,David Engel,SWE,0,6,11,35.3%,0,"1,551"
150,Thierry Guardiola,FRA,0,0,4,0.0%,0,"1,466"
151,Nuno Marques,POR,0,8,14,36.4%,0,"1,497"
153,Martin Wostenholme,CAN,0,6,7,46.1%,0,"1,523"
154,Martin Laurendeau,CAN,0,4,7,36.4%,0,"1,511"
