rank,player,country,points,wins,losses,win_pct,titles,elo
—,Markus Nagel,GER,—,0,1,0.0%,0,"1,489"
—,Peter Langsford,AUS,—,0,1,0.0%,0,"1,457"
—,Rocky Vasquez,USA,—,0,1,0.0%,0,"1,494"
—,Terry Rocavert,AUS,—,0,1,0.0%,0,"1,484"
—,Thies Roepcke,GER,—,0,1,0.0%,0,"1,482"
—,Toma Ovici,ROU,—,0,2,0.0%,0,"1,574"
—,Tom Christensen,DEN,—,0,1,0.0%,0,"1,453"
—,Tom Fontana,USA,—,0,1,0.0%,0,"1,495"
—,Tony Parun,NZL,—,0,1,0.0%,0,"1,373"
—,Wayne Cowley,AUS,—,0,1,0.0%,0,"1,454"
