rank,player,country,points,wins,losses,win_pct,titles,elo
1,Novak Djokovic,SRB,"12,920",71,10,87.7%,6,"2,429"
2,Roger Federer,SUI,"10,265",67,11,85.9%,6,"2,347"
3,Andy Murray,GBR,"8,000",53,17,75.7%,2,"2,254"
4,Rafael Nadal,ESP,"6,690",42,7,85.7%,4,"2,333"
5,David Ferrer,ESP,"6,505",68,14,82.9%,7,"2,241"
6,Tomas Berdych,CZE,"4,680",52,20,72.2%,2,"2,157"
7,Juan Martin del Potro,ARG,"4,480",57,16,78.1%,4,"2,212"
8,Jo-Wilfried Tsonga,FRA,"3,490",51,23,68.9%,2,"2,054"
9,Janko Tipsarevic,SRB,"2,990",48,26,64.9%,1,"1,972"
10,Richard Gasquet,FRA,"2,515",41,21,66.1%,1,"2,002"
11,Nicolas Almagro,ESP,"2,515",51,21,70.8%,2,"2,010"
12,Juan Monaco,ARG,"2,430",36,17,67.9%,4,"1,944"
13,Milos Raonic,CAN,"2,380",42,20,67.7%,2,"1,987"
14,John Isner,USA,"2,215",38,18,67.9%,2,"1,965"
15,Marin Cilic,CRO,"2,210",37,17,68.5%,2,"2,009"
16,Gilles Simon,FRA,"2,165",41,23,64.1%,1,"1,959"
17,Stan Wawrinka,SUI,"1,900",34,18,65.4%,0,"2,018"
18,Alexandr Dolgopolov,UKR,"1,855",34,25,57.6%,1,"1,890"
19,Kei Nishikori,JPN,"1,830",32,17,65.3%,1,"1,971"
20,Philipp Kohlschreiber,GER,"1,770",40,24,62.5%,1,"1,888"
21,Tommy Haas,GER,"1,695",31,17,64.6%,1,"1,966"
22,Sam Querrey,USA,"1,650",37,24,60.7%,1,"2,005"
23,Andreas Seppi,ITA,"1,560",35,24,59.3%,2,"1,921"
24,Fernando Verdasco,ESP,"1,490",32,21,60.4%,0,"1,915"
25,Mikhail Youzhny,RUS,"1,335",33,21,61.1%,1,"1,902"
26,Jerzy Janowicz,POL,"1,299",9,4,69.2%,0,"1,834"
27,Mardy Fish,USA,"1,255",20,12,62.5%,0,"2,008"
28,Florian Mayer,GER,"1,215",19,24,44.2%,0,"1,795"
29,Jurgen Melzer,AUT,"1,177",18,22,45.0%,1,"1,758"
30,Martin Klizan,SVK,"1,175",16,13,55.2%,1,"1,795"
31,Radek Stepanek,CZE,"1,135",21,19,52.5%,0,"1,930"
32,Jeremy Chardy,FRA,"1,131",24,20,54.5%,0,"1,822"
33,Thomaz Bellucci,BRA,"1,112",24,21,53.3%,1,"1,828"
34,Marcel Granollers,ESP,"1,100",22,23,48.9%,0,"1,843"
35,Julien Benneteau,FRA,"1,075",26,21,55.3%,0,"1,874"
36,Marcos Baghdatis,CYP,"1,070",31,24,56.4%,0,"1,897"
37,Kevin Anderson,RSA,"1,065",31,26,54.4%,1,"1,859"
38,Viktor Troicki,SRB,"1,055",21,26,44.7%,0,"1,769"
39,Andy Roddick,USA,"1,015",22,12,64.7%,2,"1,987"
40,Feliciano Lopez,ESP,"1,005",24,26,48.0%,0,"1,844"
41,Jarkko Nieminen,FIN,927,23,26,46.9%,1,"1,744"
42,Pablo Andujar,ESP,915,19,29,39.6%,1,"1,647"
43,Denis Istomin,UZB,897,26,29,47.3%,0,"1,732"
44,Nikolay Davydenko,RUS,885,23,24,48.9%,0,"1,824"
45,Fabio Fognini,ITA,880,21,23,47.7%,0,"1,763"
46,David Goffin,BEL,868,14,13,51.9%,0,"1,789"
