rank,player,country,points,wins,losses,win_pct,titles,elo
1,Novak Djokovic,SRB,"11,540",46,5,90.2%,5,"2,372"
2,Daniil Medvedev,RUS,"8,640",50,12,80.7%,4,"2,244"
3,Alexander Zverev,GER,"7,840",52,13,80.0%,5,"2,242"
4,Stefanos Tsitsipas,GRE,"6,540",51,18,73.9%,2,"2,039"
5,Andrey Rublev,RUS,"5,150",46,21,68.7%,1,"1,970"
6,Rafael Nadal,ESP,"4,875",24,5,82.8%,2,"2,269"
7,Matteo Berrettini,ITA,"4,568",38,12,76.0%,2,"2,083"
8,Casper Ruud,NOR,"4,160",53,18,74.7%,5,"2,050"
9,Hubert Hurkacz,POL,"3,706",36,22,62.1%,3,"1,949"
10,Jannik Sinner,ITA,"3,350",47,22,68.1%,4,"2,001"
11,Felix Auger-Aliassime,CAN,"3,308",38,22,63.3%,0,"1,982"
12,Cameron Norrie,GBR,"2,945",50,24,67.6%,2,"1,996"
13,Diego Schwartzman,ARG,"2,625",34,19,64.2%,1,"1,962"
14,Denis Shapovalov,CAN,"2,475",31,20,60.8%,0,"1,904"
15,Dominic Thiem,AUT,"2,425",8,8,50.0%,0,"2,014"
16,Roger Federer,SUI,"2,385",9,5,64.3%,0,"2,128"
17,Cristian Garin,CHI,"2,353",21,17,55.3%,1,"1,820"
18,Aslan Karatsev,RUS,"2,351",33,19,63.5%,2,"1,869"
19,Roberto Bautista Agut,ESP,"2,260",29,23,55.8%,0,"1,849"
20,Pablo Carreno Busta,ESP,"2,230",30,16,65.2%,2,"1,906"
21,Gael Monfils,FRA,"2,158",19,16,54.3%,0,"1,910"
22,Nikoloz Basilashvili,GEO,"2,101",32,26,55.2%,2,"1,865"
23,Taylor Fritz,USA,"2,050",34,22,60.7%,0,"1,939"
24,John Isner,USA,"1,991",23,11,67.7%,1,"1,933"
25,Daniel Evans,GBR,"1,942",23,22,51.1%,1,"1,836"
26,Reilly Opelka,USA,"1,936",21,21,50.0%,0,"1,862"
27,Lorenzo Sonego,ITA,"1,825",27,22,55.1%,1,"1,841"
28,Grigor Dimitrov,BUL,"1,801",24,18,57.1%,0,"1,935"
29,Karen Khachanov,RUS,"1,731",30,23,56.6%,0,"1,877"
30,Marin Cilic,CRO,"1,710",31,18,63.3%,2,"1,933"
31,Lloyd Harris,RSA,"1,644",29,23,55.8%,0,"1,914"
32,Carlos Alcaraz,ESP,"1,612",27,17,61.4%,1,"1,946"
33,Dusan Lajovic,SRB,"1,591",17,25,40.5%,0,"1,712"
34,Alex de Minaur,AUS,"1,561",24,22,52.2%,2,"1,787"
35,Ugo Humbert,FRA,"1,558",16,19,45.7%,1,"1,807"
36,Alexander Bublik,KAZ,"1,538",33,28,54.1%,0,"1,761"
37,Fabio Fognini,ITA,"1,494",18,21,46.1%,0,"1,766"
38,Frances Tiafoe,USA,"1,492",31,23,57.4%,0,"1,927"
39,David Goffin,BEL,"1,476",14,15,48.3%,1,"1,745"
40,Marton Fucsovics,HUN,"1,459",26,24,52.0%,0,"1,836"
41,Sebastian Korda,USA,"1,426",27,17,61.4%,1,"1,856"
42,Filip Krajinovic,SRB,"1,402",20,22,47.6%,0,"1,761"
43,Tommy Paul,USA,"1,349",25,22,53.2%,1,"1,925"
44,Federico Delbonis,ARG,"1,327",24,24,50.0%,0,"1,719"
45,Albert Ramos-Vinolas,ESP,"1,294",24,25,49.0%,1,"1,730"
46,Benoit Paire,FRA,"1,245",13,28,31.7%,0,"1,658"
47,Kei Nishikori,JPN,"1,210",24,15,61.5%,0,"1,945"
48,Ilya Ivashka,BLR,"1,194",29,16,64.4%,1,"1,914"
49,James Duckworth,AUS,"1,176",21,18,53.9%,0,"1,791"
50,Alejandro Davidovich Fokina,ESP,"1,160",25,22,53.2%,0,"1,811"
51,Jan-Lennard Struff,GER,"1,134",22,26,45.8%,0,"1,762"
52,Laslo Djere,SRB,"1,131",23,26,46.9%,0,"1,690"
53,Soonwoo Kwon,KOR,"1,115",17,14,54.8%,1,"1,764"
54,Dominik Koepfer,GER,"1,101",19,23,45.2%,0,"1,771"
55,Mackenzie McDonald,USA,"1,084",18,19,48.6%,0,"1,787"
56,Jenson Brooksby,USA,"1,063",15,7,68.2%,0,"1,896"
57,Botic van de Zandschulp,NED,"1,034",15,10,60.0%,0,"1,856"
58,Arthur Rinderknech,FRA,"1,029",18,16,52.9%,0,"1,758"
59,Lorenzo Musetti,ITA,"1,004",20,19,51.3%,0,"1,720"
60,Pedro Martinez,ESP,"1,001",17,19,47.2%,0,"1,785"
61,Alexei Popyrin,AUS,"1,000",22,21,51.2%,1,"1,780"
62,Gianluca Mager,ITA,978,16,23,41.0%,0,"1,713"
63,Federico Coria,ARG,976,15,17,46.9%,0,"1,625"
64,Benjamin Bonzi,FRA,969,2,7,22.2%,0,"1,548"
65,Tallon Griekspoor,NED,966,4,6,40.0%,0,"1,692"
66,Marcos Giron,USA,929,22,19,53.7%,0,"1,857"
67,Hugo Gaston,FRA,919,9,6,60.0%,0,"1,762"
68,Brandon Nakashima,USA,917,15,10,60.0%,0,"1,800"
69,Miomir Kecmanovic,SRB,916,13,24,35.1%,0,"1,681"
70,Milos Raonic,CAN,884,6,4,60.0%,0,"1,964"
71,Adrian Mannarino,FRA,879,13,25,34.2%,0,"1,713"
72,John Millman,AUS,875,21,24,46.7%,0,"1,768"
73,Borna Coric,CRO,874,6,3,66.7%,0,"1,891"
74,Guido Pella,ARG,866,6,17,26.1%,0,"1,691"
75,Jordan Thompson,AUS,860,21,21,50.0%,0,"1,691"
76,Facundo Bagnis,ARG,860,11,11,50.0%,0,"1,677"
77,Jaume Munar,ESP,848,12,19,38.7%,0,"1,604"
78,Stefano Travaglia,ITA,846,11,20,35.5%,0,"1,621"
79,Roberto Carballes Baena,ESP,837,11,16,40.7%,0,"1,735"
80,Kevin Anderson,RSA,829,13,13,50.0%,1,"1,809"
81,Yoshihito Nishioka,JPN,823,10,20,33.3%,0,"1,734"
82,Stan Wawrinka,SUI,822,3,4,42.9%,0,"1,916"
83,Jiri Vesely,CZE,822,10,15,40.0%,0,"1,629"
84,Daniel Altmaier,GER,813,7,8,46.7%,0,"1,726"
85,Steve Johnson,USA,812,10,12,45.5%,0,"1,704"
86,Peter Gojowczyk,GER,808,13,9,59.1%,0,"1,756"
87,Richard Gasquet,FRA,807,14,17,45.2%,0,"1,772"
88,Alex Molcan,SVK,806,7,5,58.3%,0,"1,715"
89,Thiago Monteiro,BRA,805,13,15,46.4%,0,"1,620"
90,Juan Manuel Cerundolo,ARG,803,6,3,66.7%,1,"1,577"
91,Pablo Andujar,ESP,800,12,17,41.4%,0,"1,737"
92,Corentin Moutet,FRA,797,12,13,48.0%,0,"1,742"
93,Nick Kyrgios,AUS,793,7,7,50.0%,0,"1,878"
94,Mikael Ymer,SWE,782,17,18,48.6%,0,"1,744"
95,Emil Ruusuvuori,FIN,778,22,22,50.0%,0,"1,772"
96,Tennys Sandgren,USA,773,8,15,34.8%,0,"1,689"
97,Pablo Cuevas,URU,770,9,11,45.0%,0,"1,651"
98,Henri Laaksonen,SUI,765,7,8,46.7%,0,"1,790"
99,Sebastian Baez,ARG,762,1,2,33.3%,0,"1,552"
100,Marco Cecchinato,ITA,759,16,21,43.2%,0,"1,679"
101,Oscar Otte,GER,747,4,4,50.0%,0,"1,793"
102,Andreas Seppi,ITA,744,7,13,35.0%,0,"1,652"
103,Holger Rune,DEN,740,6,11,35.3%,0,"1,685"
104,Ricardas Berankis,LTU,739,13,18,41.9%,0,"1,710"
105,Denis Kudla,USA,733,9,11,45.0%,0,"1,696"
106,Feliciano Lopez,ESP,731,9,20,31.0%,0,"1,595"
107,Jeremy Chardy,FRA,718,17,17,50.0%,0,"1,774"
108,Sam Querrey,USA,715,10,16,38.5%,0,"1,702"
109,Aljaz Bedene,SLO,715,15,15,50.0%,0,"1,773"
110,Pierre-Hugues Herbert,FRA,713,9,14,39.1%,0,"1,693"
111,Carlos Taberner,ESP,707,6,8,42.9%,0,"1,633"
112,Maxime Cressy,USA,683,6,6,50.0%,0,"1,655"
113,Egor Gerasimov,BLR,665,15,23,39.5%,0,"1,661"
114,Philipp Kohlschreiber,GER,658,7,8,46.7%,0,"1,717"
115,Hugo Dellien,BOL,654,1,4,20.0%,0,"1,608"
116,Andrej Martin,SVK,643,6,11,35.3%,0,"1,597"
117,Kamil Majchrzak,POL,633,4,7,36.4%,0,"1,668"
118,Norbert Gombos,SVK,624,7,13,35.0%,0,"1,644"
119,Dennis Novak,AUT,621,4,11,26.7%,0,"1,642"
120,Daniel Elahi Galan,COL,618,9,11,45.0%,0,"1,605"
122,Gilles Simon,FRA,597,5,16,23.8%,0,"1,634"
123,Radu Albot,MDA,587,6,15,28.6%,0,"1,569"
124,Bernabe Zapata Miralles,ESP,586,5,10,33.3%,0,"1,621"
125,Taro Daniel,JPN,584,5,10,33.3%,0,"1,613"
126,Yannick Hanfmann,GER,583,9,13,40.9%,0,"1,661"
127,Francisco Cerundolo,ARG,582,5,7,41.7%,0,"1,604"
128,Liam Broady,GBR,569,3,5,37.5%,0,"1,590"
129,Juan Pablo Varillas,PER,567,3,2,60.0%,0,"1,566"
130,Tomas Martin Etcheverry,ARG,556,1,2,33.3%,0,"1,505"
131,Thiago Seyboth Wild,BRA,550,1,6,14.3%,0,"1,545"
132,Attila Balazs,HUN,530,0,2,0.0%,0,"1,609"
133,Vasek Pospisil,CAN,524,8,14,36.4%,0,"1,761"
134,Andy Murray,GBR,521,15,14,51.7%,0,"1,897"
135,Juan Ignacio Londero,ARG,512,0,11,0.0%,0,"1,497"
136,Jurij Rodionov,AUT,510,3,4,42.9%,0,"1,527"
137,Alex Bolt,AUS,506,6,6,50.0%,0,"1,680"
138,Nikola Milojevic,SRB,506,1,2,33.3%,0,"1,549"
139,Alejandro Tabilo,CHI,505,2,4,33.3%,0,"1,630"
140,Joao Sousa,POR,500,1,12,7.7%,0,"1,545"
143,Tomas Machac,CZE,477,1,2,33.3%,0,"1,547"
144,Cem Ilkel,TUR,468,0,2,0.0%,0,"1,479"
145,Jack Sock,USA,461,6,5,54.5%,0,"1,775"
146,Nicolas Jarry,CHI,460,1,2,33.3%,0,"1,671"
147,Tomas Barrios Vera,CHI,458,0,2,0.0%,0,"1,544"
148,Emilio Gomez,ECU,455,2,3,40.0%,0,"1,588"
149,Jozef Kovalik,SVK,452,6,6,50.0%,0,"1,587"
150,Hugo Grenier,FRA,450,1,1,50.0%,0,"1,480"
151,Quentin Halys,FRA,448,0,3,0.0%,0,"1,556"
152,Mats Moraing,GER,444,1,1,50.0%,0,"1,525"
153,Federico Gaio,ITA,441,1,4,20.0%,0,"1,514"
154,Fernando Verdasco,ESP,440,2,8,20.0%,0,"1,627"
155,Lucas Pouille,FRA,440,5,14,26.3%,0,"1,671"
156,Aleksandar Vukic,AUS,440,2,4,33.3%,0,"1,634"
157,Salvatore Caruso,ITA,436,5,19,20.8%,0,"1,626"
158,Damir Dzumhur,BIH,436,3,5,37.5%,0,"1,603"
159,Stefan Kozlov,USA,434,0,1,0.0%,0,"1,550"
160,Christopher Eubanks,USA,428,1,4,20.0%,0,"1,612"
161,Yuichi Sugita,JPN,428,2,5,28.6%,0,"1,603"
162,Altug Celikbilek,TUR,428,2,3,40.0%,0,"1,562"
163,Illya Marchenko,UKR,427,3,6,33.3%,0,"1,636"
164,Ernesto Escobedo,MEX,422,5,4,55.6%,0,"1,687"
165,Bjorn Fratangelo,USA,422,3,4,42.9%,0,"1,654"
166,Gregoire Barrere,FRA,417,1,6,14.3%,0,"1,664"
167,Roman Safiullin,RUS,409,2,4,33.3%,0,"1,601"
168,Kacper Zuk,POL,404,0,2,0.0%,0,"1,449"
169,Mitchell Krueger,USA,404,0,2,0.0%,0,"1,525"
170,Elias Ymer,SWE,401,3,7,30.0%,0,"1,601"
171,Thanasi Kokkinakis,AUS,394,2,4,33.3%,0,"1,670"
172,Evgeny Donskoy,RUS,392,1,6,14.3%,0,"1,572"
173,Pedro Sousa,POR,391,2,7,22.2%,0,"1,452"
174,J.J. Wolf,USA,390,0,3,0.0%,0,"1,557"
