rank,player,country,points,wins,losses,win_pct,titles,elo
1,Carlos Alcaraz,ESP,"6,820",55,12,82.1%,5,"2,151"
2,Rafael Nadal,ESP,"6,020",40,9,81.6%,4,"2,194"
3,Casper Ruud,NOR,"5,820",46,20,69.7%,3,"2,048"
4,Stefanos Tsitsipas,GRE,"5,550",57,22,72.2%,2,"2,048"
5,Novak Djokovic,SRB,"4,820",42,6,87.5%,5,"2,368"
6,Felix Auger-Aliassime,CAN,"4,195",51,23,68.9%,4,"2,051"
7,Daniil Medvedev,RUS,"4,065",42,18,70.0%,2,"2,064"
8,Andrey Rublev,RUS,"3,930",51,20,71.8%,4,"2,034"
9,Taylor Fritz,USA,"3,355",41,18,69.5%,3,"2,005"
10,Hubert Hurkacz,POL,"2,905",38,20,65.5%,1,"1,958"
11,Holger Rune,DEN,"2,888",40,24,62.5%,3,"2,078"
12,Alexander Zverev,GER,"2,700",25,10,71.4%,0,"2,165"
13,Pablo Carreno Busta,ESP,"2,495",33,23,58.9%,1,"1,920"
14,Cameron Norrie,GBR,"2,445",48,21,69.6%,2,"1,955"
15,Jannik Sinner,ITA,"2,410",41,16,71.9%,1,"2,031"
16,Matteo Berrettini,ITA,"2,375",27,10,73.0%,2,"2,026"
17,Marin Cilic,CRO,"2,105",32,20,61.5%,0,"1,958"
18,Denis Shapovalov,CAN,"2,075",30,23,56.6%,0,"1,915"
19,Frances Tiafoe,USA,"2,000",34,23,59.6%,0,"1,979"
20,Karen Khachanov,RUS,"1,990",37,25,59.7%,0,"1,975"
21,Roberto Bautista Agut,ESP,"1,940",31,19,62.0%,2,"1,870"
22,Nick Kyrgios,AUS,"1,870",40,12,76.9%,1,"2,096"
23,Lorenzo Musetti,ITA,"1,865",31,25,55.4%,2,"1,918"
24,Alex de Minaur,AUS,"1,790",38,23,62.3%,1,"1,931"
25,Diego Schwartzman,ARG,"1,700",28,23,54.9%,0,"1,801"
26,Borna Coric,CRO,"1,685",16,12,57.1%,1,"1,931"
27,Daniel Evans,GBR,"1,585",27,26,50.9%,0,"1,850"
28,Grigor Dimitrov,BUL,"1,460",26,22,54.2%,0,"1,864"
29,Miomir Kecmanovic,SRB,"1,420",37,24,60.7%,0,"1,879"
30,Francisco Cerundolo,ARG,"1,395",23,20,53.5%,1,"1,772"
31,Alejandro Davidovich Fokina,ESP,"1,280",21,26,44.7%,0,"1,797"
32,Tommy Paul,USA,"1,210",36,26,58.1%,0,"1,935"
33,Sebastian Korda,USA,"1,175",33,22,60.0%,0,"1,932"
34,Maxime Cressy,USA,"1,163",26,27,49.1%,1,"1,778"
35,Botic van de Zandschulp,NED,"1,160",34,28,54.8%,0,"1,835"
36,Yoshihito Nishioka,JPN,"1,134",19,17,52.8%,1,"1,858"
37,Alexander Bublik,KAZ,"1,130",30,25,54.5%,1,"1,849"
38,Reilly Opelka,USA,"1,095",21,15,58.3%,2,"1,820"
39,Albert Ramos-Vinolas,ESP,"1,075",24,27,47.1%,1,"1,741"
40,Emil Ruusuvuori,FIN,"1,011",32,28,53.3%,0,"1,784"
41,John Isner,USA,"1,005",22,16,57.9%,0,"1,891"
42,Jack Draper,GBR,990,17,12,58.6%,0,"1,808"
43,Sebastian Baez,ARG,987,25,27,48.1%,1,"1,750"
44,Arthur Rinderknech,FRA,952,20,18,52.6%,0,"1,819"
45,Lorenzo Sonego,ITA,950,24,28,46.1%,1,"1,760"
46,Adrian Mannarino,FRA,946,26,26,50.0%,1,"1,746"
47,Brandon Nakashima,USA,927,30,23,56.6%,1,"1,860"
48,Jenson Brooksby,USA,920,25,22,53.2%,0,"1,810"
49,Andy Murray,GBR,920,25,19,56.8%,0,"1,865"
50,Alex Molcan,SVK,895,24,20,54.5%,0,"1,760"
51,Corentin Moutet,FRA,892,14,11,56.0%,0,"1,828"
52,Gael Monfils,FRA,880,14,7,66.7%,1,"1,934"
53,David Goffin,BEL,870,23,25,47.9%,1,"1,759"
54,Filip Krajinovic,SRB,845,17,16,51.5%,0,"1,830"
55,Fabio Fognini,ITA,843,19,24,44.2%,0,"1,700"
56,Marc-Andrea Huesler,SUI,818,10,11,47.6%,1,"1,757"
57,Pedro Cachin,ARG,813,5,6,45.5%,0,"1,599"
58,Jaume Munar,ESP,802,19,24,44.2%,0,"1,694"
59,Aslan Karatsev,RUS,795,17,29,37.0%,1,"1,631"
60,Benjamin Bonzi,FRA,781,20,23,46.5%,0,"1,713"
61,Marcos Giron,USA,776,18,28,39.1%,0,"1,778"
62,Pedro Martinez,ESP,776,20,25,44.4%,1,"1,619"
63,Mackenzie McDonald,USA,775,26,28,48.1%,0,"1,721"
64,Quentin Halys,FRA,767,3,11,21.4%,0,"1,617"
65,Constant Lestienne,FRA,760,7,4,63.6%,0,"1,655"
66,J.J. Wolf,USA,746,15,13,53.6%,0,"1,799"
67,Daniel Elahi Galan,COL,741,13,12,52.0%,0,"1,719"
68,Richard Gasquet,FRA,740,24,19,55.8%,0,"1,860"
69,Mikael Ymer,SWE,739,21,18,53.9%,0,"1,840"
70,Laslo Djere,SRB,738,20,24,45.5%,0,"1,764"
71,Thiago Monteiro,BRA,738,14,18,43.8%,0,"1,681"
72,Bernabe Zapata Miralles,ESP,712,10,16,38.5%,0,"1,709"
73,Ilya Ivashka,BLR,705,22,21,51.2%,0,"1,826"
74,Roberto Carballes Baena,ESP,695,11,18,37.9%,0,"1,727"
