rank,player,country,points,wins,losses,win_pct,titles,elo
1,Rafael Nadal,ESP,"10,645",67,12,84.8%,6,"2,277"
2,Roger Federer,SUI,"9,605",53,5,91.4%,7,"2,385"
3,Grigor Dimitrov,BUL,"5,150",49,19,72.1%,4,"2,134"
4,Alexander Zverev,GER,"4,610",54,21,72.0%,5,"2,052"
5,Dominic Thiem,AUT,"4,015",47,27,63.5%,1,"1,958"
6,Marin Cilic,CRO,"3,805",43,22,66.2%,1,"2,055"
7,David Goffin,BEL,"3,775",53,24,68.8%,2,"2,061"
8,Jack Sock,USA,"3,165",38,20,65.5%,3,"1,992"
9,Stan Wawrinka,SUI,"3,150",26,11,70.3%,1,"2,120"
10,Pablo Carreno Busta,ESP,"2,615",36,24,60.0%,1,"1,887"
11,Juan Martin del Potro,ARG,"2,595",38,17,69.1%,1,"2,160"
12,Novak Djokovic,SRB,"2,585",31,8,79.5%,2,"2,293"
13,Sam Querrey,USA,"2,535",35,20,63.6%,2,"1,943"
14,Kevin Anderson,RSA,"2,480",32,21,60.4%,0,"1,974"
15,Jo-Wilfried Tsonga,FRA,"2,320",35,15,70.0%,4,"2,007"
16,Andy Murray,GBR,"2,290",26,10,72.2%,1,"2,223"
17,John Isner,USA,"2,265",36,21,63.2%,2,"1,984"
18,Lucas Pouille,FRA,"2,235",34,20,63.0%,3,"1,954"
19,Tomas Berdych,CZE,"2,095",35,18,66.0%,0,"2,027"
20,Roberto Bautista Agut,ESP,"2,015",46,22,67.7%,2,"1,999"
21,Nick Kyrgios,AUS,"2,010",27,17,61.4%,0,"1,986"
22,Kei Nishikori,JPN,"1,885",30,14,68.2%,0,"2,067"
23,Albert Ramos-Vinolas,ESP,"1,845",33,30,52.4%,0,"1,813"
24,Milos Raonic,CAN,"1,795",29,14,67.4%,0,"2,053"
25,Gilles Muller,LUX,"1,695",32,18,64.0%,2,"1,939"
26,Diego Schwartzman,ARG,"1,675",38,27,58.5%,0,"1,963"
27,Fabio Fognini,ITA,"1,670",35,23,60.3%,1,"1,945"
28,Adrian Mannarino,FRA,"1,635",33,27,55.0%,0,"1,945"
29,Philipp Kohlschreiber,GER,"1,440",32,20,61.5%,1,"1,957"
30,Damir Dzumhur,BIH,"1,391",34,23,59.6%,2,"1,933"
31,Richard Gasquet,FRA,"1,375",28,18,60.9%,0,"1,956"
32,Pablo Cuevas,URU,"1,370",20,21,48.8%,1,"1,788"
33,Mischa Zverev,GER,"1,302",30,31,49.2%,0,"1,850"
34,Filip Krajinovic,SRB,"1,298",6,2,75.0%,0,"1,807"
35,Fernando Verdasco,ESP,"1,295",29,25,53.7%,0,"1,895"
36,Feliciano Lopez,ESP,"1,295",25,24,51.0%,1,"1,900"
37,David Ferrer,ESP,"1,290",25,21,54.4%,1,"1,914"
38,Alexandr Dolgopolov,UKR,"1,231",26,23,53.1%,1,"1,905"
39,Andrey Rublev,RUS,"1,229",18,15,54.5%,1,"1,833"
40,Yuichi Sugita,JPN,"1,219",20,16,55.6%,1,"1,801"
41,Benoit Paire,FRA,"1,155",31,31,50.0%,0,"1,785"
42,Robin Haase,NED,"1,130",25,29,46.3%,0,"1,811"
43,Paolo Lorenzi,ITA,"1,095",24,32,42.9%,0,"1,700"
44,Steve Johnson,USA,"1,055",29,23,55.8%,1,"1,863"
45,Karen Khachanov,RUS,"1,030",24,27,47.1%,0,"1,797"
