rank,player,country,points,wins,losses,win_pct,titles,elo
1,Jimmy Connors,USA,0,79,10,88.8%,9,"2,260"
2,Guillermo Vilas,ARG,0,87,18,82.9%,5,"2,129"
3,Bjorn Borg,SWE,0,77,19,80.2%,5,"2,178"
4,Arthur Ashe,USA,0,102,23,81.6%,8,"2,132"
5,Manuel Orantes,ESP,0,89,18,83.2%,8,"2,052"
6,Ken Rosewall,AUS,0,41,12,77.4%,3,"1,994"
7,Ilie Nastase,ROU,0,91,21,81.2%,6,"2,170"
8,John Alexander,AUS,0,67,24,73.6%,2,"1,957"
9,Roscoe Tanner,USA,0,65,24,73.0%,3,"1,965"
10,Rod Laver,AUS,0,52,13,80.0%,5,"2,087"
11,Tom Okker,NED,0,39,13,75.0%,2,"2,068"
12,Tony Roche,AUS,0,31,13,70.5%,0,"1,962"
13,Raul Ramirez,MEX,0,67,29,69.8%,4,"1,983"
14,Adriano Panatta,ITA,0,53,27,66.2%,2,"2,013"
15,Vitas Gerulaitis,USA,0,39,14,73.6%,2,"1,946"
16,Jaime Fillol,CHI,—,56,27,67.5%,0,"1,962"
17,Harold Solomon,USA,0,71,32,68.9%,4,"1,983"
18,Eddie Dibbs,USA,0,53,25,68.0%,2,"2,050"
19,Jan Kodes,CZE,0,51,20,71.8%,1,"1,982"
20,John Newcombe,AUS,0,21,9,70.0%,1,"2,004"
23,Brian Gottfried,USA,0,70,31,69.3%,3,"1,963"
24,Marty Riessen,USA,0,23,16,59.0%,1,"1,872"
25,Mark Cox,GBR,0,31,13,70.5%,3,"1,915"
26,Onny Parun,NZL,0,65,31,67.7%,1,"1,889"
27,Ross Case,AUS,0,38,22,63.3%,2,"1,933"
28,Sandy Mayer,USA,0,47,23,67.1%,0,"1,907"
29,Vijay Amritraj,IND,0,42,24,63.6%,2,"1,945"
30,Dick Stockton,USA,0,39,21,65.0%,1,"1,844"
31,Karl Meiler,GER,0,47,24,66.2%,0,"1,841"
32,Cliff Richey,USA,0,37,24,60.7%,0,"1,855"
33,Phil Dent,AUS,0,42,27,60.9%,0,"1,860"
34,Bob Hewitt,RSA,0,27,16,62.8%,0,"1,847"
