rank,player,country,points,wins,losses,win_pct,titles,elo
—,Ilie Nastase,ROU,—,106,20,84.1%,11,"2,157"
—,Jimmy Connors,USA,—,76,25,75.2%,6,"1,991"
—,Manuel Orantes,ESP,—,70,20,77.8%,5,"1,998"
—,John Newcombe,AUS,—,69,22,75.8%,7,"2,129"
—,Tom Okker,NED,—,69,31,69.0%,1,"2,041"
—,Arthur Ashe,USA,—,65,26,71.4%,4,"2,137"
—,Ken Rosewall,AUS,—,61,15,80.3%,7,"2,107"
—,Marty Riessen,USA,—,55,28,66.3%,1,"1,968"
—,Cliff Richey,USA,—,54,24,69.2%,3,"1,956"
—,Andres Gimeno,ESP,—,53,23,69.7%,4,"1,899"
—,Bob Hewitt,RSA,—,52,16,76.5%,5,"1,902"
—,Colin Dibley,AUS,—,52,30,63.4%,1,"1,818"
—,Cliff Drysdale,RSA,—,51,29,63.8%,0,"1,935"
—,Rod Laver,AUS,—,50,16,75.8%,5,"2,016"
—,Jaime Fillol,CHI,—,44,32,57.9%,0,"1,745"
—,Jan Kodes,CZE,—,44,15,74.6%,1,"1,937"
—,Tom Gorman,USA,—,44,28,61.1%,0,"1,955"
—,Mark Cox,GBR,—,43,29,59.7%,2,"1,871"
—,Roger Taylor,GBR,—,42,27,60.9%,1,"1,901"
—,Patrice Dominguez,FRA,—,40,24,62.5%,0,"1,767"
—,Pierre Barthes,FRA,—,40,25,61.5%,0,"1,745"
—,Onny Parun,NZL,—,39,36,52.0%,0,"1,703"
—,John Alexander,AUS,—,36,32,52.9%,0,"1,856"
—,Patrick Proisy,FRA,—,36,21,63.2%,0,"1,708"
—,Charlie Pasarell,USA,—,35,27,56.5%,1,"1,840"
—,Nikola Pilic,CRO,—,34,28,54.8%,1,"1,894"
—,Clark Graebner,USA,—,33,22,60.0%,0,"1,812"
—,Haroon Rahim,PAK,—,32,38,45.7%,0,"1,721"
—,Frew Mcmillan,RSA,—,31,26,54.4%,0,"1,748"
—,Roy Emerson,AUS,—,31,24,56.4%,0,"1,898"
—,Roscoe Tanner,USA,—,29,14,67.4%,0,"1,911"
—,Adriano Panatta,ITA,—,26,17,60.5%,0,"1,809"
—,Dick Stockton,USA,—,26,20,56.5%,0,"1,773"
—,Ian Fletcher,AUS,—,23,18,56.1%,0,"1,723"
—,Raymond Moore,RSA,—,23,21,52.3%,0,"1,699"
—,Fred Stolle,AUS,—,22,29,43.1%,0,"1,811"
—,Mal Anderson,AUS,—,22,8,73.3%,1,"1,852"
—,Ross Case,AUS,—,22,21,51.2%,0,"1,687"
—,Ion Tiriac,ROU,—,21,25,45.6%,0,"1,654"
—,Bob Carmichael,AUS,—,20,30,40.0%,0,"1,741"
—,Jeff Borowiak,USA,—,20,28,41.7%,0,"1,828"
—,Ray Ruffels,AUS,—,19,22,46.3%,1,"1,785"
—,Thomaz Koch,BRA,—,19,16,54.3%,1,"1,717"
—,Tony Roche,AUS,—,19,15,55.9%,1,"1,906"
—,Vladimir Zednik,CZE,—,19,20,48.7%,1,"1,647"
—,Dick Crealy,AUS,—,18,14,56.2%,0,"1,718"
—,Geoff Masters,AUS,—,18,18,50.0%,0,"1,669"
—,Gerald Battrick,GBR,—,18,32,36.0%,0,"1,665"
—,Guillermo Vilas,ARG,—,18,15,54.5%,0,"1,693"
—,Pat Cramer,RSA,—,18,19,48.6%,0,"1,609"
—,Wanaro N'Godrella,FRA,—,18,20,47.4%,0,"1,595"
—,Allan Stone,AUS,—,17,30,36.2%,0,"1,723"
—,John Paish,GBR,—,17,16,51.5%,0,"1,629"
—,Ove Bengtson,SWE,—,17,24,41.5%,0,"1,674"
—,Georges Goven,FRA,—,16,24,40.0%,0,"1,594"
—,Frantisek Pala,CZE,—,15,15,50.0%,0,"1,609"
—,Karl Meiler,GER,—,15,5,75.0%,1,"1,722"
—,Jim Mcmanus,USA,—,14,26,35.0%,0,"1,592"
—,Paul Gerken,USA,—,14,12,53.9%,0,"1,652"
—,Brian Fairlie,NZL,—,13,27,32.5%,1,"1,720"
—,Frank Froehling,USA,—,13,35,27.1%,0,"1,609"
