rank,player,country,points,wins,losses,win_pct,titles,elo
1,Andre Agassi,USA,"5,048",63,13,82.9%,5,"2,118"
2,Yevgeny Kafelnikov,RUS,"3,465",59,29,67.0%,3,"1,922"
3,Pete Sampras,USA,"3,024",38,9,80.8%,5,"2,117"
4,Thomas Enqvist,SWE,"2,606",45,25,64.3%,3,"1,913"
5,Gustavo Kuerten,BRA,"2,601",47,24,66.2%,2,"1,860"
6,Nicolas Kiefer,GER,"2,447",53,21,71.6%,3,"1,921"
7,Todd Martin,USA,"2,408",42,17,71.2%,1,"1,914"
8,Nicolas Lapentti,ECU,"2,284",52,24,68.4%,2,"1,883"
9,Marcelo Rios,CHI,"2,245",45,16,73.8%,3,"1,916"
10,Richard Krajicek,NED,"2,095",42,20,67.7%,2,"1,879"
11,Tommy Haas,GER,"1,921",45,23,66.2%,1,"1,859"
12,Tim Henman,GBR,"1,920",41,25,62.1%,0,"1,785"
13,Cedric Pioline,FRA,"1,814",37,28,56.9%,1,"1,795"
14,Greg Rusedski,GBR,"1,802",46,22,67.7%,2,"1,976"
15,Magnus Norman,SWE,"1,748",43,21,67.2%,5,"1,890"
16,Patrick Rafter,AUS,"1,731",31,16,66.0%,1,"1,933"
17,Karol Kucera,SVK,"1,633",38,20,65.5%,1,"1,851"
18,Albert Costa,ESP,"1,572",40,22,64.5%,3,"1,810"
19,Mark Philippoussis,AUS,"1,570",30,15,66.7%,2,"1,892"
20,Vincent Spadea,USA,"1,542",33,27,55.0%,0,"1,763"
21,Dominik Hrbaty,SVK,"1,499",37,27,57.8%,1,"1,700"
22,Felix Mantilla,ESP,"1,458",33,21,61.1%,1,"1,723"
23,Carlos Moya,ESP,"1,445",35,22,61.4%,0,"1,762"
24,Marat Safin,RUS,"1,437",36,29,55.4%,1,"1,775"
25,Lleyton Hewitt,AUS,"1,429",40,18,69.0%,1,"1,853"
26,Alex Corretja,ESP,"1,319",33,22,60.0%,0,"1,771"
27,Sebastien Grosjean,FRA,"1,298",35,25,58.3%,0,"1,748"
28,Mariano Zabaleta,ARG,"1,258",28,29,49.1%,0,"1,686"
29,Fernando Meligeni,BRA,"1,247",27,26,50.9%,0,"1,685"
30,Andrei Medvedev,UKR,"1,184",22,23,48.9%,0,"1,722"
31,Karim Alami,MAR,"1,175",26,22,54.2%,0,"1,734"
32,Jim Courier,USA,"1,071",29,20,59.2%,0,"1,795"
