rank,player,country,points,wins,losses,win_pct,titles,elo
—,Rod Laver,AUS,—,85,20,81.0%,7,"2,155"
—,Ken Rosewall,AUS,—,80,24,76.9%,8,"2,154"
—,Cliff Drysdale,RSA,—,76,29,72.4%,3,"1,997"
—,Clark Graebner,USA,—,75,29,72.1%,3,"1,878"
—,Tom Okker,NED,—,74,31,70.5%,2,"2,007"
—,Ilie Nastase,ROU,—,73,13,84.9%,7,"2,079"
—,Arthur Ashe,USA,—,70,28,71.4%,3,"2,094"
—,Marty Riessen,USA,—,68,31,68.7%,1,"1,984"
—,Cliff Richey,USA,—,67,23,74.4%,3,"1,906"
—,John Newcombe,AUS,—,61,18,77.2%,6,"2,082"
—,Zeljko Franulovic,CRO,—,59,28,67.8%,4,"1,921"
—,Jan Kodes,CZE,—,49,23,68.1%,2,"1,967"
—,Pierre Barthes,FRA,—,47,25,65.3%,0,"1,809"
—,Roy Emerson,AUS,—,46,30,60.5%,0,"1,910"
—,Andres Gimeno,ESP,—,45,26,63.4%,1,"1,911"
—,Frank Froehling,USA,—,44,31,58.7%,0,"1,761"
—,John Alexander,AUS,—,44,36,55.0%,0,"1,815"
—,Roger Taylor,GBR,—,44,37,54.3%,1,"1,864"
—,Tom Gorman,USA,—,44,27,62.0%,1,"1,789"
—,Jaime Fillol,CHI,—,43,21,67.2%,2,"1,774"
—,Colin Dibley,AUS,—,41,21,66.1%,1,"1,757"
—,Nikola Pilic,CRO,—,39,31,55.7%,1,"1,836"
—,Bob Carmichael,AUS,—,36,33,52.2%,1,"1,776"
—,Georges Goven,FRA,—,36,21,63.2%,0,"1,822"
—,Manuel Orantes,ESP,—,36,18,66.7%,2,"1,939"
—,Raymond Moore,RSA,—,36,25,59.0%,0,"1,739"
—,Gerald Battrick,GBR,—,34,18,65.4%,3,"1,828"
—,Ray Ruffels,AUS,—,32,32,50.0%,0,"1,808"
—,Phil Dent,AUS,—,28,33,45.9%,1,"1,680"
—,Dennis Ralston,USA,—,27,21,56.2%,0,"1,861"
—,Ion Tiriac,ROU,—,27,16,62.8%,1,"1,778"
—,Mark Cox,GBR,—,27,31,46.5%,0,"1,815"
—,Milan Holecek,CZE,—,27,28,49.1%,1,"1,680"
—,Patrick Proisy,FRA,—,27,18,60.0%,0,"1,721"
—,Charlie Pasarell,USA,—,26,32,44.8%,0,"1,801"
—,Jeff Borowiak,USA,—,26,20,56.5%,0,"1,782"
—,Onny Parun,NZL,—,26,24,52.0%,0,"1,689"
—,Ross Case,AUS,—,26,20,56.5%,0,"1,642"
—,Fred Stolle,AUS,—,24,26,48.0%,0,"1,755"
—,Thomaz Koch,BRA,—,24,13,64.9%,1,"1,717"
—,Jimmy Connors,USA,—,23,13,63.9%,0,"1,769"
—,Bob Hewitt,RSA,—,22,10,68.8%,1,"1,821"
—,Robert Maud,RSA,—,22,31,41.5%,0,"1,688"
—,Owen Davidson,AUS,—,21,29,42.0%,0,"1,691"
—,Tom Edlefsen,USA,—,21,19,52.5%,1,"1,626"
—,Brian Fairlie,NZL,—,20,29,40.8%,0,"1,662"
—,Mike Belkin,CAN,—,20,15,57.1%,1,"1,707"
—,Adriano Panatta,ITA,—,19,11,63.3%,1,"1,726"
—,Geoff Masters,AUS,—,19,22,46.3%,0,"1,571"
—,Haroon Rahim,PAK,—,17,17,50.0%,0,"1,648"
—,Tony Roche,AUS,—,17,16,51.5%,0,"1,850"
—,Vladimir Zednik,CZE,—,17,20,46.0%,0,"1,623"
—,Allan Stone,AUS,—,16,31,34.0%,0,"1,637"
—,Bill Bowrey,AUS,—,16,32,33.3%,0,"1,674"
—,Jean Loup Rouyer,FRA,—,16,13,55.2%,0,"1,692"
—,Roscoe Tanner,USA,—,16,10,61.5%,0,"1,703"
—,Harald Elschenbroich,GER,—,15,9,62.5%,0,"1,694"
—,Jean Baptiste Chanfreau,FRA,—,15,18,45.5%,0,"1,559"
—,Jim Osborne,USA,—,15,19,44.1%,0,"1,699"
—,Terry Addison,AUS,—,15,24,38.5%,0,"1,546"
—,Francois Jauffret,FRA,—,14,12,53.9%,0,"1,666"
—,Frew Mcmillan,RSA,—,14,32,30.4%,0,"1,613"
—,Jim Mcmanus,USA,—,14,27,34.1%,0,"1,501"
—,Manuel Santana,ESP,—,14,7,66.7%,0,"1,875"
—,Dick Stockton,USA,—,13,9,59.1%,0,"1,688"
—,Frank Sedgman,AUS,—,13,14,48.1%,0,"1,577"
—,Mal Anderson,AUS,—,13,3,81.2%,1,"1,784"
—,Patrice Dominguez,FRA,—,13,9,59.1%,0,"1,639"
—,Patricio Cornejo,CHI,—,13,20,39.4%,0,"1,556"
—,Peter Szoke,HUN,—,13,10,56.5%,0,"1,708"
—,Ray Keldie,AUS,—,12,20,37.5%,0,"1,556"
—,Richard Russell,JAM,—,12,24,33.3%,0,"1,496"
—,Christian Kuhnke,GER,—,11,3,78.6%,1,"1,825"
—,Ian Fletcher,AUS,—,11,8,57.9%,0,"1,650"
—,Istvan Gulyas,HUN,—,11,10,52.4%,0,"1,735"
—,Jose Edison Mandarino,BRA,—,11,9,55.0%,0,"1,645"
—,Bob Giltinan,AUS,—,10,6,62.5%,0,"1,703"
—,Dick Crealy,AUS,—,10,23,30.3%,0,"1,609"
—,Frantisek Pala,CZE,—,10,11,47.6%,0,"1,524"
—,Nicola Spear,SRB,—,10,20,33.3%,0,"1,487"
—,Butch Seewagen,USA,—,9,9,50.0%,0,"1,611"
—,Byron Bertram,RSA,—,9,13,40.9%,0,"1,542"
—,Graham Stilwell,GBR,—,9,32,21.9%,0,"1,552"
—,Jun Kuki,JPN,—,9,12,42.9%,0,"1,492"
—,Steve Faulk,USA,—,9,12,42.9%,0,"1,487"
—,Harold Solomon,USA,—,8,6,57.1%,0,"1,591"
—,Peter Curtis,GBR,—,8,20,28.6%,0,"1,486"
—,Syd Ball,AUS,—,8,13,38.1%,0,"1,459"
—,Eddie Dibbs,USA,—,7,4,63.6%,0,"1,619"
—,Hans Kary,AUT,—,7,15,31.8%,0,"1,455"
—,Jean Claude Barclay,FRA,—,7,10,41.2%,0,"1,548"
—,Nicola Pietrangeli,ITA,—,7,5,58.3%,0,"1,614"
—,Pat Cramer,RSA,—,7,9,43.8%,0,"1,538"
—,Paul Gerken,USA,—,7,9,43.8%,0,"1,560"
—,Premjit Lall,IND,—,7,5,58.3%,0,"1,619"
—,Alvin Gardiner,AUS,—,6,7,46.1%,0,"1,476"
—,Armistead Neely,USA,—,6,5,54.5%,0,"1,544"
—,Herb Fitzgibbon,USA,—,6,3,66.7%,0,"1,611"
—,Jiri Hrebec,CZE,—,6,5,54.5%,0,"1,592"
—,John Paish,GBR,—,6,9,40.0%,0,"1,526"
—,Jun Kamiwazumi,JPN,—,6,5,54.5%,0,"1,533"
—,Ove Bengtson,SWE,—,6,7,46.1%,0,"1,634"
