rank,player,country,points,wins,losses,win_pct,titles,elo
1,Novak Djokovic,SRB,"12,030",35,5,87.5%,4,"2,275"
2,Rafael Nadal,ESP,"9,850",23,5,82.1%,2,"2,299"
3,Dominic Thiem,AUT,"9,125",24,7,77.4%,1,"2,200"
4,Daniil Medvedev,RUS,"8,470",24,9,72.7%,2,"2,177"
5,Roger Federer,SUI,"6,630",5,1,83.3%,0,"2,240"
6,Stefanos Tsitsipas,GRE,"5,925",27,12,69.2%,1,"2,074"
7,Alexander Zverev,GER,"5,525",28,8,77.8%,2,"2,128"
8,Andrey Rublev,RUS,"4,119",41,10,80.4%,5,"2,134"
9,Diego Schwartzman,ARG,"3,455",24,13,64.9%,0,"2,001"
10,Matteo Berrettini,ITA,"3,075",9,6,60.0%,0,"1,941"
11,Gael Monfils,FRA,"2,860",15,6,71.4%,2,"1,934"
12,Denis Shapovalov,CAN,"2,830",15,13,53.6%,0,"1,884"
13,Roberto Bautista Agut,ESP,"2,710",14,8,63.6%,0,"1,960"
14,Milos Raonic,CAN,"2,580",23,10,69.7%,0,"1,996"
15,David Goffin,BEL,"2,555",9,10,47.4%,0,"1,862"
16,Pablo Carreno Busta,ESP,"2,535",20,12,62.5%,0,"2,020"
17,Fabio Fognini,ITA,"2,400",4,8,33.3%,0,"1,800"
18,Stan Wawrinka,SUI,"2,320",15,8,65.2%,0,"2,001"
19,Grigor Dimitrov,BUL,"2,260",17,10,63.0%,0,"1,957"
20,Karen Khachanov,RUS,"2,245",16,14,53.3%,0,"1,864"
21,Felix Auger-Aliassime,CAN,"2,216",22,16,57.9%,0,"1,856"
22,Cristian Garin,CHI,"2,170",18,9,66.7%,2,"1,861"
23,Alex de Minaur,AUS,"1,860",11,8,57.9%,0,"1,924"
24,Borna Coric,CRO,"1,855",15,10,60.0%,0,"1,883"
25,John Isner,USA,"1,850",10,7,58.8%,0,"1,845"
26,Dusan Lajovic,SRB,"1,785",10,14,41.7%,0,"1,699"
27,Casper Ruud,NOR,"1,739",19,12,61.3%,1,"1,860"
28,Benoit Paire,FRA,"1,738",8,12,40.0%,0,"1,708"
29,Taylor Fritz,USA,"1,670",12,13,48.0%,0,"1,782"
30,Ugo Humbert,FRA,"1,646",24,12,66.7%,2,"1,937"
31,Filip Krajinovic,SRB,"1,628",16,12,57.1%,0,"1,870"
32,Daniel Evans,GBR,"1,589",16,13,55.2%,0,"1,858"
33,Lorenzo Sonego,ITA,"1,568",12,14,46.1%,0,"1,808"
34,Hubert Hurkacz,POL,"1,518",12,13,48.0%,0,"1,757"
35,Adrian Mannarino,FRA,"1,516",14,17,45.2%,0,"1,823"
36,Jan-Lennard Struff,GER,"1,450",11,14,44.0%,0,"1,822"
37,Jannik Sinner,ITA,"1,444",20,11,64.5%,1,"1,939"
38,John Millman,AUS,"1,421",14,13,51.9%,1,"1,820"
39,Reilly Opelka,USA,"1,402",11,8,57.9%,1,"1,849"
40,Nikoloz Basilashvili,GEO,"1,395",2,11,15.4%,0,"1,663"
41,Kei Nishikori,JPN,"1,345",2,4,33.3%,0,"1,911"
42,Marin Cilic,CRO,"1,325",11,11,50.0%,0,"1,850"
43,Guido Pella,ARG,"1,310",5,8,38.5%,0,"1,762"
44,Miomir Kecmanovic,SRB,"1,308",17,12,58.6%,1,"1,809"
45,Nick Kyrgios,AUS,"1,170",3,2,60.0%,0,"1,951"
46,Albert Ramos-Vinolas,ESP,"1,165",9,14,39.1%,0,"1,704"
47,Richard Gasquet,FRA,"1,145",10,10,50.0%,0,"1,823"
48,Kyle Edmund,GBR,"1,085",10,9,52.6%,1,"1,765"
49,Tennys Sandgren,USA,"1,081",8,13,38.1%,0,"1,757"
50,Alexander Bublik,KAZ,"1,070",12,16,42.9%,0,"1,736"
51,Jordan Thompson,AUS,"1,068",10,12,45.5%,0,"1,756"
52,Alejandro Davidovich Fokina,ESP,"1,066",13,10,56.5%,0,"1,810"
53,Sam Querrey,USA,"1,065",3,6,33.3%,0,"1,817"
54,Tommy Paul,USA,"1,065",14,13,51.9%,0,"1,779"
55,Marton Fucsovics,HUN,"1,062",12,11,52.2%,0,"1,878"
56,Yoshihito Nishioka,JPN,"1,062",12,11,52.2%,0,"1,814"
57,Laslo Djere,SRB,"1,058",13,9,59.1%,1,"1,770"
58,Aljaz Bedene,SLO,"1,045",10,12,45.5%,0,"1,796"
59,Frances Tiafoe,USA,"1,030",9,11,45.0%,0,"1,814"
60,Pablo Andujar,ESP,"1,024",4,12,25.0%,0,"1,630"
61,Vasek Pospisil,CAN,"1,006",16,10,61.5%,0,"1,926"
62,Jo-Wilfried Tsonga,FRA,"1,005",0,2,0.0%,0,"1,910"
63,Gilles Simon,FRA,"1,005",10,12,45.5%,0,"1,754"
64,Feliciano Lopez,ESP,998,7,10,41.2%,0,"1,763"
65,Fernando Verdasco,ESP,975,6,7,46.1%,0,"1,768"
66,Dominik Koepfer,GER,921,6,6,50.0%,0,"1,757"
67,Pablo Cuevas,URU,917,7,10,41.2%,0,"1,691"
68,Jiri Vesely,CZE,913,10,6,62.5%,1,"1,764"
69,Ricardas Berankis,LTU,889,7,7,50.0%,0,"1,785"
71,Cameron Norrie,GBR,877,7,11,38.9%,0,"1,724"
72,Steve Johnson,USA,870,6,8,42.9%,0,"1,722"
73,Marcos Giron,USA,869,9,9,50.0%,0,"1,775"
74,Stefano Travaglia,ITA,869,4,9,30.8%,0,"1,696"
75,Jeremy Chardy,FRA,860,2,5,28.6%,0,"1,786"
76,Salvatore Caruso,ITA,843,7,13,35.0%,0,"1,696"
77,Corentin Moutet,FRA,838,10,11,47.6%,0,"1,702"
78,Egor Gerasimov,BLR,834,12,9,57.1%,0,"1,753"
79,Juan Ignacio Londero,ARG,832,8,9,47.1%,0,"1,653"
80,Marco Cecchinato,ITA,828,8,13,38.1%,0,"1,764"
81,Kevin Anderson,RSA,825,8,9,47.1%,0,"1,964"
82,Federico Delbonis,ARG,825,9,12,42.9%,0,"1,705"
83,Pierre-Hugues Herbert,FRA,812,10,10,50.0%,0,"1,791"
84,Thiago Monteiro,BRA,804,8,8,50.0%,0,"1,686"
85,Pedro Martinez,ESP,800,9,8,52.9%,0,"1,770"
86,Emil Ruusuvuori,FIN,796,6,9,40.0%,0,"1,696"
87,Lloyd Harris,RSA,793,10,9,52.6%,0,"1,795"
88,Norbert Gombos,SVK,789,7,8,46.7%,0,"1,787"
89,Mikhail Kukushkin,KAZ,776,6,9,40.0%,0,"1,744"
90,Joao Sousa,POR,776,0,9,0.0%,0,"1,606"
91,Federico Coria,ARG,775,6,9,40.0%,0,"1,625"
92,Attila Balazs,HUN,774,5,5,50.0%,0,"1,652"
93,Radu Albot,MDA,772,7,10,41.2%,0,"1,723"
94,Mikael Ymer,SWE,763,4,7,36.4%,0,"1,684"
95,Soonwoo Kwon,KOR,752,8,7,53.3%,0,"1,699"
96,Dennis Novak,AUT,737,3,10,23.1%,0,"1,671"
97,Roberto Carballes Baena,ESP,731,6,8,42.9%,0,"1,679"
98,Philipp Kohlschreiber,GER,729,2,7,22.2%,0,"1,725"
99,Yannick Hanfmann,GER,728,7,3,70.0%,0,"1,720"
100,Gianluca Mager,ITA,725,5,6,45.5%,0,"1,575"
101,Andrej Martin,SVK,724,4,8,33.3%,0,"1,553"
102,Yuichi Sugita,JPN,713,4,6,40.0%,0,"1,640"
103,James Duckworth,AUS,701,4,8,33.3%,0,"1,577"
104,Yasutaka Uchiyama,JPN,696,1,6,14.3%,0,"1,585"
105,Pedro Sousa,POR,691,4,3,57.1%,0,"1,501"
106,Andreas Seppi,ITA,689,7,7,50.0%,0,"1,653"
107,Kamil Majchrzak,POL,680,0,3,0.0%,0,"1,612"
108,Ilya Ivashka,BLR,674,3,4,42.9%,0,"1,709"
109,Gregoire Barrere,FRA,647,4,8,33.3%,0,"1,702"
110,Jaume Munar,ESP,646,3,8,27.3%,0,"1,616"
111,Hugo Dellien,BOL,638,2,7,22.2%,0,"1,596"
112,Aslan Karatsev,RUS,637,2,3,40.0%,0,"1,635"
113,Alexei Popyrin,AUS,623,2,5,28.6%,0,"1,680"
114,Denis Kudla,USA,600,0,1,0.0%,0,"1,663"
115,Daniel Elahi Galan,COL,599,2,3,40.0%,0,"1,622"
116,Thiago Seyboth Wild,BRA,586,6,2,75.0%,1,"1,537"
117,Taro Daniel,JPN,581,1,4,20.0%,0,"1,595"
118,Sebastian Korda,USA,563,3,3,50.0%,0,"1,662"
119,Damir Dzumhur,BIH,562,0,8,0.0%,0,"1,712"
120,Christopher O'Connell,AUS,558,1,2,33.3%,0,"1,510"
121,Antoine Hoang,FRA,550,0,3,0.0%,0,"1,562"
