rank,player,country,points,wins,losses,win_pct,titles,elo
1,Lleyton Hewitt,AUS,"4,365",71,15,82.6%,6,"2,116"
2,Gustavo Kuerten,BRA,"3,855",57,17,77.0%,6,"1,915"
3,Andre Agassi,USA,"3,520",46,15,75.4%,4,"1,956"
4,Yevgeny Kafelnikov,RUS,"3,090",64,26,71.1%,2,"1,979"
5,Juan Carlos Ferrero,ESP,"3,040",56,20,73.7%,4,"1,878"
6,Sebastien Grosjean,FRA,"2,790",48,23,67.6%,1,"1,943"
7,Patrick Rafter,AUS,"2,785",42,15,73.7%,1,"1,989"
8,Tommy Haas,GER,"2,285",53,21,71.6%,4,"2,009"
9,Tim Henman,GBR,"2,100",49,20,71.0%,2,"1,924"
10,Pete Sampras,USA,"1,940",33,15,68.8%,0,"2,003"
11,Marat Safin,RUS,"1,920",43,23,65.2%,2,"1,923"
12,Goran Ivanisevic,CRO,"1,761",28,21,57.1%,1,"1,814"
13,Roger Federer,SUI,"1,745",46,20,69.7%,1,"1,874"
14,Andy Roddick,USA,"1,573",39,16,70.9%,3,"1,855"
15,Guillermo Canas,ARG,"1,572",45,21,68.2%,1,"1,840"
16,Alex Corretja,ESP,"1,525",30,20,60.0%,1,"1,781"
17,Arnaud Clement,FRA,"1,475",31,25,55.4%,0,"1,768"
18,Thomas Johansson,SWE,"1,375",42,23,64.6%,2,"1,875"
19,Carlos Moya,ESP,"1,310",34,23,59.6%,1,"1,735"
20,Albert Portas,ESP,"1,220",32,28,53.3%,1,"1,684"
21,Jan-Michael Gambill,USA,"1,215",35,22,61.4%,1,"1,745"
22,Fabrice Santoro,FRA,"1,210",35,26,57.4%,0,"1,769"
23,Nicolas Lapentti,ECU,"1,170",30,22,57.7%,1,"1,837"
24,Thomas Enqvist,SWE,"1,165",31,21,59.6%,0,"1,848"
25,Hicham Arazi,MAR,"1,155",30,23,56.6%,0,"1,833"
26,Sjeng Schalken,NED,"1,140",36,27,57.1%,1,"1,846"
27,Nicolas Escude,FRA,"1,130",28,23,54.9%,1,"1,724"
28,Andrei Pavel,ROU,"1,105",29,26,52.7%,1,"1,754"
29,Jiri Novak,CZE,"1,091",28,17,62.2%,2,"1,859"
30,Tommy Robredo,ESP,"1,080",37,20,64.9%,1,"1,761"
31,Greg Rusedski,GBR,"1,075",37,24,60.7%,1,"1,807"
32,Bohdan Ulihrach,CZE,"1,055",34,26,56.7%,0,"1,772"
33,Xavier Malisse,BEL,"1,045",37,22,62.7%,0,"1,829"
34,Andreas Vinciguerra,SWE,"1,025",29,27,51.8%,0,"1,720"
35,Max Mirnyi,BLR,"1,015",29,26,52.7%,0,"1,865"
36,Dominik Hrbaty,SVK,"1,005",28,29,49.1%,1,"1,678"
37,Ivan Ljubicic,CRO,982,27,21,56.2%,1,"1,824"
38,Younes El Aynaoui,MAR,973,31,23,57.4%,1,"1,822"
39,Marcelo Rios,CHI,965,28,19,59.6%,2,"1,836"
40,Albert Costa,ESP,960,27,22,55.1%,0,"1,807"
41,Alberto Martin,ESP,933,32,26,55.2%,1,"1,673"
42,Nicolas Kiefer,GER,920,26,25,51.0%,0,"1,766"
43,Rainer Schuettler,GER,885,33,31,51.6%,1,"1,780"
44,Guillermo Coria,ARG,875,26,15,63.4%,1,"1,698"
45,Felix Mantilla,ESP,850,26,20,56.5%,1,"1,775"
46,Michel Kratochvil,SUI,836,27,24,52.9%,0,"1,736"
47,David Nalbandian,ARG,795,17,9,65.4%,0,"1,738"
48,Gaston Gaudio,ARG,760,23,23,50.0%,0,"1,693"
49,Magnus Norman,SWE,740,23,17,57.5%,0,"1,751"
50,Jerome Golmard,FRA,722,27,21,56.2%,0,"1,746"
51,Francisco Clavet,ESP,715,23,27,46.0%,1,"1,620"
52,Fernando Vicente,ESP,715,23,26,46.9%,1,"1,637"
53,Julien Boutter,FRA,710,25,25,50.0%,0,"1,757"
54,Andrea Gaudenzi,ITA,701,17,19,47.2%,2,"1,693"
55,Franco Squillari,ARG,690,22,26,45.8%,0,"1,658"
56,Galo Blanco,ESP,687,20,23,46.5%,0,"1,631"
57,Todd Martin,USA,620,13,11,54.2%,0,"1,823"
58,Mikhail Youzhny,RUS,616,20,18,52.6%,0,"1,694"
59,Mariano Zabaleta,ARG,614,18,18,50.0%,0,"1,723"
60,Jonas Bjorkman,SWE,605,23,24,48.9%,0,"1,736"
61,Jarkko Nieminen,FIN,603,4,1,80.0%,0,"1,608"
62,Wayne Ferreira,RSA,600,16,21,43.2%,0,"1,707"
63,Stefan Koubek,AUT,598,20,22,47.6%,0,"1,698"
64,Michal Tabara,CZE,591,20,19,51.3%,1,"1,597"
65,Albert Montanes,ESP,585,12,8,60.0%,0,"1,678"
66,Andrew Ilie,AUS,565,20,28,41.7%,0,"1,622"
67,Agustin Calleri,ARG,562,11,16,40.7%,0,"1,659"
68,Kristian Pless,DEN,560,12,10,54.5%,0,"1,658"
69,Christophe Rochus,BEL,550,14,21,40.0%,0,"1,617"
70,Juan Ignacio Chela,ARG,544,10,10,50.0%,0,"1,594"
71,Fernando Meligeni,BRA,539,17,16,51.5%,0,"1,709"
72,Sargis Sargsian,ARM,539,16,19,45.7%,0,"1,628"
73,James Blake,USA,534,11,9,55.0%,0,"1,647"
74,David Sanchez,ESP,531,12,19,38.7%,0,"1,569"
75,Jan Vacek,CZE,526,8,6,57.1%,1,"1,630"
76,Markus Hipfl,AUT,520,14,18,43.8%,0,"1,574"
77,Wayne Arthurs,AUS,518,19,23,45.2%,0,"1,638"
78,Harel Levy,ISR,515,15,25,37.5%,0,"1,561"
79,Nikolay Davydenko,RUS,512,6,15,28.6%,0,"1,568"
80,Nicolas Massu,CHI,510,21,27,43.8%,0,"1,627"
81,Andrei Stoliarov,RUS,510,17,24,41.5%,0,"1,586"
82,Magnus Gustafsson,SWE,505,19,18,51.4%,0,"1,695"
83,Lars Burgsmuller,GER,501,14,19,42.4%,0,"1,599"
84,Cedric Pioline,FRA,497,17,22,43.6%,0,"1,657"
85,Andre Sa,BRA,481,8,15,34.8%,0,"1,585"
86,Jose Acasuso,ARG,474,8,12,40.0%,0,"1,537"
87,Michael Russell,USA,466,8,17,32.0%,0,"1,573"
88,Jacobo Diaz,ESP,464,9,14,39.1%,0,"1,531"
89,Michael Llodra,FRA,464,6,11,35.3%,0,"1,602"
90,Antony Dupuis,FRA,453,11,20,35.5%,0,"1,559"
91,Davide Sanguinetti,ITA,451,10,27,27.0%,0,"1,528"
92,Ramon Delgado,PAR,450,8,7,53.3%,0,"1,639"
93,Attila Savolt,HUN,447,6,5,54.5%,0,"1,565"
94,Michael Chang,USA,445,16,21,43.2%,0,"1,701"
95,Juan Balcells,ESP,443,17,21,44.7%,0,"1,603"
96,Federico Luzzi,ITA,437,8,8,50.0%,0,"1,548"
