rank,player,country,points,wins,losses,win_pct,titles,elo
1,Bjorn Borg,SWE,—,66,7,90.4%,8,"2,376"
2,John McEnroe,USA,—,83,16,83.8%,9,"2,255"
3,Jimmy Connors,USA,—,73,15,83.0%,6,"2,197"
4,Guillermo Vilas,ARG,—,67,17,79.8%,4,"2,050"
5,Gene Mayer,USA,—,71,16,81.6%,5,"2,139"
6,Ivan Lendl,USA,—,103,28,78.6%,7,"2,131"
7,Harold Solomon,USA,—,64,23,73.6%,4,"1,991"
8,Jose Luis Clerc,ARG,—,68,22,75.6%,7,"2,010"
9,Vitas Gerulaitis,USA,—,50,17,74.6%,3,"2,011"
10,Eliot Teltscher,USA,—,71,27,72.5%,2,"1,974"
11,Brian Gottfried,USA,—,68,23,74.7%,4,"1,997"
12,Eddie Dibbs,USA,—,49,21,70.0%,2,"1,928"
13,Roscoe Tanner,USA,—,42,16,72.4%,1,"1,993"
14,Wojtek Fibak,POL,—,58,25,69.9%,3,"1,941"
15,John Sadri,USA,—,47,25,65.3%,1,"1,938"
16,Victor Amaya,USA,—,38,21,64.4%,1,"1,849"
17,Johan Kriek,USA,—,39,24,61.9%,0,"1,976"
18,Yannick Noah,FRA,—,29,16,64.4%,0,"1,887"
19,Vijay Amritraj,IND,—,49,24,67.1%,2,"1,982"
20,Brian Teacher,USA,—,63,26,70.8%,1,"2,039"
22,Balazs Taroczy,HUN,—,46,16,74.2%,3,"1,931"
23,Tomas Smid,CZE,—,45,21,68.2%,2,"1,950"
23,Corrado Barazzutti,ITA,—,33,17,66.0%,1,"1,847"
25,Bill Scanlon,USA,—,37,29,56.1%,0,"1,808"
26,Heinz Gunthardt,SUI,—,37,21,63.8%,3,"1,832"
27,Mel Purcell,USA,—,19,13,59.4%,0,"1,742"
29,Victor Pecci,PAR,—,37,20,64.9%,1,"1,837"
30,Jose Higueras,ESP,—,16,14,53.3%,0,"1,848"
32,Adriano Panatta,ITA,—,29,15,65.9%,1,"1,937"
34,Phil Dent,AUS,—,28,20,58.3%,0,"1,837"
35,Raul Ramirez,MEX,—,29,18,61.7%,1,"1,789"
36,Kim Warwick,AUS,—,39,25,60.9%,1,"1,926"
37,Peter Fleming,USA,—,21,19,52.5%,0,"1,768"
39,Rolf Gehring,GER,—,23,18,56.1%,1,"1,778"
40,Paul Mcnamee,AUS,—,45,30,60.0%,1,"1,880"
42,Andres Gomez,ECU,—,36,23,61.0%,0,"1,800"
43,Buster C Mottram,GBR,—,25,18,58.1%,0,"1,824"
44,Rod Frawley,AUS,—,29,25,53.7%,0,"1,767"
46,Trey Waltke,USA,—,27,22,55.1%,0,"1,789"
47,Butch Walts,USA,—,22,23,48.9%,0,"1,805"
49,Thomaz Koch,BRA,—,7,9,43.8%,0,"1,651"
50,Christophe Roger-Vasselin,FRA,—,19,13,59.4%,0,"1,724"
51,Sandy Mayer,USA,—,17,18,48.6%,0,"1,832"
52,Marcos Hocevar,BRA,—,13,9,59.1%,0,"1,650"
53,Terry Moor,USA,—,34,26,56.7%,0,"1,848"
55,Kevin Curren,USA,—,16,13,55.2%,0,"1,770"
57,Colin Dibley,AUS,—,18,23,43.9%,1,"1,648"
58,Manuel Orantes,ESP,—,15,9,62.5%,0,"1,877"
59,Chris Lewis,NZL,—,24,24,50.0%,0,"1,669"
60,Bernie Mitton,RSA,—,28,29,49.1%,0,"1,687"
61,Pascal Portes,FRA,—,26,24,52.0%,0,"1,780"
62,Hank Pfister,USA,—,21,25,45.6%,0,"1,727"
63,Peter Rennert,USA,—,18,16,52.9%,0,"1,732"
64,Carlos Kirmayr,BRA,—,18,13,58.1%,0,"1,713"
65,Shlomo Glickstein,ISR,—,37,29,56.1%,1,"1,783"
66,Fernando Luna,ESP,—,18,13,58.1%,0,"1,707"
67,Pat Dupre,USA,—,18,17,51.4%,0,"1,797"
68,Fritz Buehning,USA,—,26,26,50.0%,1,"1,831"
68,Pavel Slozil,CZE,—,10,10,50.0%,0,"1,700"
70,Jose Luis Damiani,URU,—,7,7,50.0%,0,"1,610"
71,Tony Giammalva,USA,—,13,12,52.0%,0,"1,602"
72,Paolo Bertolucci,ITA,—,16,13,55.2%,0,"1,761"
73,Ricardo Cano,ARG,—,3,8,27.3%,0,"1,555"
