rank,player,country,points,wins,losses,win_pct,titles,elo
1,Andy Roddick,USA,"4,535",71,18,79.8%,6,"2,092"
2,Roger Federer,SUI,"4,375",74,16,82.2%,7,"2,104"
3,Juan Carlos Ferrero,ESP,"4,205",63,18,77.8%,4,"2,005"
4,Andre Agassi,USA,"3,425",47,10,82.5%,4,"2,042"
5,Guillermo Coria,ARG,"3,330",61,17,78.2%,5,"2,009"
6,Rainer Schuettler,GER,"3,205",70,27,72.2%,2,"1,956"
7,Carlos Moya,ESP,"2,280",51,20,71.8%,3,"1,904"
8,David Nalbandian,ARG,"2,060",38,20,65.5%,0,"1,988"
9,Mark Philippoussis,AUS,"1,615",34,18,65.4%,1,"1,881"
10,Sebastien Grosjean,FRA,"1,610",34,21,61.8%,0,"1,804"
11,Paradorn Srichaphan,THA,"1,595",46,27,63.0%,2,"1,823"
12,Nicolas Massu,CHI,"1,559",35,20,63.6%,2,"1,861"
13,Jiri Novak,CZE,"1,510",41,25,62.1%,1,"1,827"
14,Younes El Aynaoui,MAR,"1,480",38,26,59.4%,0,"1,828"
15,Tim Henman,GBR,"1,480",30,16,65.2%,2,"1,970"
16,Gustavo Kuerten,BRA,"1,470",40,19,67.8%,2,"1,854"
17,Lleyton Hewitt,AUS,"1,450",29,10,74.4%,2,"1,939"
18,Sjeng Schalken,NED,"1,445",39,23,62.9%,2,"1,826"
19,Martin Verkerk,NED,"1,425",24,24,50.0%,1,"1,701"
20,Mardy Fish,USA,"1,300",38,23,62.3%,1,"1,841"
21,Tommy Robredo,ESP,"1,295",38,26,59.4%,0,"1,761"
22,Felix Mantilla,ESP,"1,265",27,22,55.1%,1,"1,709"
23,Max Mirnyi,BLR,"1,190",37,28,56.9%,1,"1,785"
24,Agustin Calleri,ARG,"1,185",33,23,58.9%,1,"1,726"
25,Albert Costa,ESP,"1,135",23,20,53.5%,0,"1,767"
26,Wayne Ferreira,RSA,"1,125",24,19,55.8%,1,"1,762"
27,Mariano Zabaleta,ARG,"1,125",33,24,57.9%,1,"1,763"
28,Feliciano Lopez,ESP,"1,110",34,31,52.3%,0,"1,841"
29,Vincent Spadea,USA,"1,100",34,25,57.6%,0,"1,723"
30,Jonas Bjorkman,SWE,"1,068",30,19,61.2%,0,"1,838"
31,Arnaud Clement,FRA,"1,065",31,20,60.8%,1,"1,819"
32,Robby Ginepri,USA,"1,055",31,19,62.0%,1,"1,789"
33,Taylor Dent,USA,"1,045",28,12,70.0%,3,"1,883"
34,Gaston Gaudio,ARG,"1,030",34,23,59.6%,0,"1,764"
35,Fernando Gonzalez,CHI,"1,025",31,25,55.4%,0,"1,733"
36,Jarkko Nieminen,FIN,980,37,29,56.1%,0,"1,728"
37,James Blake,USA,975,30,23,56.6%,0,"1,796"
38,Juan Ignacio Chela,ARG,965,35,27,56.5%,0,"1,762"
39,Sargis Sargsian,ARM,958,28,26,51.9%,0,"1,774"
40,Karol Kucera,SVK,930,24,18,57.1%,1,"1,764"
41,Yevgeny Kafelnikov,RUS,875,29,24,54.7%,0,"1,708"
42,Ivan Ljubicic,CRO,870,27,23,54.0%,0,"1,791"
43,Mikhail Youzhny,RUS,840,28,26,51.9%,0,"1,746"
44,Nikolay Davydenko,RUS,820,29,30,49.1%,2,"1,595"
45,Flavio Saretta,BRA,813,24,19,55.8%,0,"1,754"
46,Radek Stepanek,CZE,800,24,22,52.2%,0,"1,716"
47,Filippo Volandri,ITA,772,18,16,52.9%,0,"1,637"
48,Olivier Rochus,BEL,768,24,28,46.1%,0,"1,697"
49,Rafael Nadal,ESP,766,14,11,56.0%,0,"1,640"
50,David Sanchez,ESP,736,23,27,46.0%,2,"1,622"
51,Jan-Michael Gambill,USA,710,22,25,46.8%,1,"1,642"
52,Hicham Arazi,MAR,698,21,20,51.2%,0,"1,718"
53,Stefan Koubek,AUT,670,19,24,44.2%,1,"1,647"
54,Alberto Martin,ESP,667,19,26,42.2%,0,"1,656"
55,Xavier Malisse,BEL,640,18,20,47.4%,0,"1,795"
56,Hyung-Taik Lee,KOR,635,18,23,43.9%,1,"1,613"
57,Nicolas Lapentti,ECU,628,20,22,47.6%,0,"1,697"
58,Nicolas Kiefer,GER,616,19,17,52.8%,0,"1,727"
59,Raemon Sluiter,NED,608,19,24,44.2%,0,"1,630"
60,Robin Soderling,SWE,598,10,6,62.5%,0,"1,728"
61,Dominik Hrbaty,SVK,584,25,26,49.0%,0,"1,670"
62,Fabrice Santoro,FRA,578,17,21,44.7%,0,"1,708"
63,Fernando Vicente,ESP,550,20,29,40.8%,0,"1,600"
64,Luis Horna,PER,548,18,20,47.4%,0,"1,662"
65,Davide Sanguinetti,ITA,542,16,21,43.2%,0,"1,620"
66,Karol Beck,SVK,537,8,23,25.8%,0,"1,547"
67,Gregory Carraz,FRA,534,14,12,53.9%,0,"1,696"
68,Todd Martin,USA,524,15,11,57.7%,0,"1,828"
69,Andrei Pavel,ROU,519,8,11,42.1%,0,"1,778"
70,Victor Hanescu,ROU,515,13,12,52.0%,0,"1,667"
71,David Ferrer,ESP,515,20,27,42.5%,0,"1,672"
72,Irakli Labadze,GEO,503,6,17,26.1%,0,"1,481"
73,Ivo Karlovic,CRO,489,9,7,56.2%,0,"1,666"
74,Mario Ancic,CRO,475,14,18,43.8%,0,"1,621"
75,Brian Vahaly,USA,470,12,23,34.3%,0,"1,512"
76,Lars Burgsmuller,GER,470,15,22,40.5%,0,"1,615"
77,Marat Safin,RUS,465,12,13,48.0%,0,"1,727"
78,Antony Dupuis,FRA,459,17,22,43.6%,0,"1,598"
79,Jurgen Melzer,AUT,453,11,18,37.9%,0,"1,584"
80,Ruben Ramirez Hidalgo,ESP,450,5,11,31.2%,0,"1,477"
81,Albert Montanes,ESP,447,10,16,38.5%,0,"1,553"
82,Wesley Moodie,RSA,445,7,9,43.8%,0,"1,584"
83,Paul-Henri Mathieu,FRA,441,16,23,41.0%,0,"1,683"
84,Christophe Rochus,BEL,436,12,18,40.0%,0,"1,573"
85,Albert Portas,ESP,436,10,20,33.3%,0,"1,523"
86,Cyril Saulnier,FRA,423,14,15,48.3%,0,"1,712"
87,Tomas Behrend,GER,419,11,13,45.8%,0,"1,606"
88,Igor Andreev,RUS,417,4,4,50.0%,0,"1,565"
89,Oscar Hernandez,ESP,415,4,4,50.0%,0,"1,532"
90,Alexander Popp,GER,414,9,8,52.9%,0,"1,645"
91,Dennis van Scheppingen,NED,411,6,6,50.0%,0,"1,548"
93,Richard Gasquet,FRA,404,2,8,20.0%,0,"1,463"
94,Nicolas Mahut,FRA,399,3,6,33.3%,0,"1,538"
95,Joachim Johansson,SWE,399,2,4,33.3%,0,"1,533"
96,Thomas Enqvist,SWE,398,13,23,36.1%,0,"1,710"
97,Jean-Rene Lisnard,MON,397,16,19,45.7%,0,"1,645"
98,Dmitry Tursunov,RUS,392,2,3,40.0%,0,"1,610"
99,Galo Blanco,ESP,392,10,9,52.6%,0,"1,625"
100,Alex Corretja,ESP,391,11,22,33.3%,0,"1,650"
101,Jose Acasuso,ARG,384,11,19,36.7%,0,"1,613"
102,Thierry Ascione,FRA,383,3,5,37.5%,0,"1,487"
103,Scott Draper,AUS,379,13,16,44.8%,0,"1,686"
104,Olivier Mutis,FRA,374,16,18,47.1%,0,"1,581"
105,Marcelo Rios,CHI,370,12,6,66.7%,0,"1,809"
106,Justin Gimelstob,USA,370,9,17,34.6%,0,"1,534"
107,Paul Goldstein,USA,370,4,5,44.4%,0,"1,539"
108,Kenneth Carlsen,DEN,369,13,22,37.1%,0,"1,595"
109,Fernando Verdasco,ESP,366,7,12,36.8%,0,"1,592"
110,Julien Boutter,FRA,364,8,7,53.3%,1,"1,639"
111,Harel Levy,ISR,363,2,6,25.0%,0,"1,478"
112,Martin Vassallo Arguello,ARG,361,0,2,0.0%,0,"1,477"
113,Tomas Berdych,CZE,359,1,2,33.3%,0,"1,525"
114,Nicolas Escude,FRA,354,11,10,52.4%,0,"1,790"
116,Kristof Vliegen,BEL,351,5,8,38.5%,0,"1,503"
117,Wayne Arthurs,AUS,350,11,22,33.3%,0,"1,612"
118,Mariano Puerta,ARG,349,5,14,26.3%,0,"1,523"
119,Greg Rusedski,GBR,347,11,8,57.9%,1,"1,825"
120,Vladimir Voltchkov,BLR,343,10,16,38.5%,0,"1,570"
121,Andreas Vinciguerra,SWE,337,9,11,45.0%,0,"1,613"
122,Marc Rosset,SUI,330,6,9,40.0%,0,"1,586"
123,Ivan Miranda,PER,328,6,9,40.0%,0,"1,492"
124,Franco Squillari,ARG,327,16,19,45.7%,0,"1,612"
125,Magnus Norman,SWE,318,10,16,38.5%,0,"1,595"
126,Giovanni Lapentti,ECU,317,1,2,33.3%,0,"1,531"
127,Dick Norman,BEL,315,3,7,30.0%,0,"1,574"
128,Ricardo Mello,BRA,313,5,8,38.5%,0,"1,539"
129,Jan Vacek,CZE,310,5,13,27.8%,0,"1,566"
130,Stefano Pescosolido,ITA,310,0,2,0.0%,0,"1,461"
131,Michel Kratochvil,SUI,304,11,20,35.5%,0,"1,593"
132,Jeff Salzenstein,USA,304,3,4,42.9%,0,"1,529"
133,Eric Taino,PHI,283,5,6,45.5%,0,"1,523"
134,Robert Kendrick,USA,281,6,10,37.5%,0,"1,531"
135,Gilles Elseneer,BEL,280,2,4,33.3%,0,"1,561"
136,Federico Browne,ARG,280,5,8,38.5%,0,"1,551"
137,Werner Eschauer,AUT,272,3,6,33.3%,0,"1,496"
138,Julien Benneteau,FRA,268,3,7,30.0%,0,"1,547"
139,Nicolas Thomann,FRA,268,6,4,60.0%,0,"1,605"
140,Marc Lopez,ESP,267,2,4,33.3%,0,"1,581"
141,Peter Luczak,AUS,261,4,8,33.3%,0,"1,489"
142,Alex Calatrava,ESP,258,0,3,0.0%,0,"1,559"
143,Jiri Vanek,CZE,258,7,9,43.8%,0,"1,545"
144,Paul Baccanello,AUS,257,1,2,33.3%,0,"1,527"
145,Tomas Zib,CZE,257,1,5,16.7%,0,"1,466"
146,Julien Varlet,FRA,256,3,5,37.5%,0,"1,591"
147,Richard Krajicek,NED,255,11,10,52.4%,0,"1,762"
148,Giorgio Galimberti,ITA,254,3,8,27.3%,0,"1,523"
149,Razvan Sabau,ROU,254,3,1,75.0%,0,"1,479"
150,Alexander Peya,AUT,253,1,2,33.3%,0,"1,506"
153,Jeff Morrison,USA,249,4,10,28.6%,0,"1,558"
154,Adrian Voinea,ROU,248,8,19,29.6%,0,"1,532"
155,Ivo Heuberger,SUI,248,3,10,23.1%,0,"1,515"
156,Nicolas Almagro,ESP,248,1,1,50.0%,0,"1,511"
157,Alexander Waske,GER,247,2,18,10.0%,0,"1,481"
158,Bjorn Phau,GER,247,1,4,20.0%,0,"1,519"
159,Alessio Di Mauro,ITA,247,0,1,0.0%,0,"1,477"
161,Janko Tipsarevic,SRB,240,1,2,33.3%,0,"1,565"
162,Danai Udomchoke,THA,236,0,1,0.0%,0,"1,437"
163,Roko Karanusic,CRO,228,0,2,0.0%,0,"1,521"
164,Julian Knowle,AUT,225,2,6,25.0%,0,"1,445"
