rank,player,country,points,wins,losses,win_pct,titles,elo
1,Andy Murray,GBR,"12,410",71,8,89.9%,8,"2,464"
2,Novak Djokovic,SRB,"11,780",64,8,88.9%,7,"2,450"
3,Milos Raonic,CAN,"5,450",52,19,73.2%,1,"2,143"
4,Stan Wawrinka,SUI,"5,315",46,18,71.9%,4,"2,129"
5,Kei Nishikori,JPN,"4,905",52,20,72.2%,1,"2,151"
6,Marin Cilic,CRO,"3,650",42,20,67.7%,2,"2,133"
7,Gael Monfils,FRA,"3,625",40,17,70.2%,1,"2,052"
8,Dominic Thiem,AUT,"3,415",58,24,70.7%,4,"2,015"
9,Rafael Nadal,ESP,"3,300",36,13,73.5%,2,"2,123"
10,Tomas Berdych,CZE,"3,060",39,19,67.2%,1,"2,080"
11,David Goffin,BEL,"2,750",44,24,64.7%,0,"2,020"
12,Jo-Wilfried Tsonga,FRA,"2,550",34,15,69.4%,0,"2,141"
13,Nick Kyrgios,AUS,"2,460",39,15,72.2%,3,"2,058"
14,Roberto Bautista Agut,ESP,"2,350",46,22,67.7%,2,"1,991"
15,Lucas Pouille,FRA,"2,156",33,21,61.1%,1,"2,019"
16,Roger Federer,SUI,"2,130",21,7,75.0%,0,"2,283"
17,Grigor Dimitrov,BUL,"2,035",40,25,61.5%,0,"2,018"
18,Richard Gasquet,FRA,"1,885",33,17,66.0%,2,"1,998"
19,John Isner,USA,"1,850",30,20,60.0%,0,"2,019"
20,Ivo Karlovic,CRO,"1,795",32,22,59.3%,2,"1,970"
21,David Ferrer,ESP,"1,785",33,22,60.0%,0,"1,966"
22,Pablo Cuevas,URU,"1,780",33,22,60.0%,2,"1,818"
23,Jack Sock,USA,"1,710",36,18,66.7%,0,"2,034"
24,Alexander Zverev,GER,"1,655",44,22,66.7%,1,"2,013"
25,Gilles Simon,FRA,"1,585",30,25,54.5%,0,"1,937"
26,Bernard Tomic,AUS,"1,465",28,23,54.9%,0,"1,872"
27,Albert Ramos-Vinolas,ESP,"1,435",34,30,53.1%,1,"1,886"
28,Feliciano Lopez,ESP,"1,410",29,24,54.7%,1,"1,890"
29,Viktor Troicki,SRB,"1,385",33,27,55.0%,1,"1,895"
30,Pablo Carreno Busta,ESP,"1,370",40,26,60.6%,2,"1,962"
31,Sam Querrey,USA,"1,355",28,23,54.9%,1,"1,798"
32,Philipp Kohlschreiber,GER,"1,325",29,22,56.9%,1,"1,874"
33,Steve Johnson,USA,"1,320",27,27,50.0%,1,"1,880"
34,Gilles Muller,LUX,"1,255",33,23,58.9%,0,"1,956"
35,Martin Klizan,SVK,"1,230",14,15,48.3%,2,"1,750"
36,Marcos Baghdatis,CYP,"1,140",26,23,53.1%,0,"1,884"
37,Marcel Granollers,ESP,"1,136",22,25,46.8%,0,"1,863"
38,Juan Martin del Potro,ARG,"1,110",24,11,68.6%,1,"2,115"
39,Nicolas Mahut,FRA,"1,102",23,20,53.5%,1,"1,869"
