tournament,event,round,surface,winner,score
"Feb 1, 2026",Australian Open,Grand Slam,F,Hard,Carlos Alcaraz #1
"Sep 6, 2025*",US Open,Grand Slam,SF,Hard,Carlos Alcaraz #1
"Jan 23, 2025*",Australian Open,Grand Slam,QF,Hard,Novak Djokovic #7
"Jul 14, 2024*",Wimbledon,Grand Slam,F,Grass,Carlos Alcaraz #3
"Nov 20, 2023*",Tour Finals,ATP Finals,SF,Hard,Novak Djokovic #1
"Aug 20, 2023*",Cincinnati Masters,Masters 1000,F,Hard,Novak Djokovic #2
"Jul 16, 2023*",Wimbledon,Grand Slam,F,Grass,Carlos Alcaraz #1
"Jun 10, 2023*",Roland Garros,Grand Slam,SF,Clay,Novak Djokovic #3
"May 7, 2022*",Madrid Masters,Masters 1000,SF,Clay,Carlos Alcaraz #9
